region,GABAa
lh.bankssts,0.9054443706262868
lh.caudalanteriorcingulate,0.0154905169780513
lh.caudalmiddlefrontal,1.3286932150276725
lh.cuneus,-2.291501374529333
lh.entorhinal,0.0070223101298404
lh.fusiform,0.0376650447834734
lh.inferiorparietal,-0.3495362552453186
lh.inferiortemporal,0.4176720771542992
lh.isthmuscingulate,0.1591423229763711
lh.lateraloccipital,-0.3748873809153835
lh.lateralorbitofrontal,1.3378310250713257
lh.lingual,0.463887253635693
lh.medialorbitofrontal,-0.2110356083844829
lh.middletemporal,-0.8948228412402663
lh.parahippocampal,-0.4139819701624359
lh.paracentral,0.6047715027094303
lh.parsopercularis,-0.6603116774541443
lh.parsorbitalis,0.2166697203896846
lh.parstriangularis,1.260407366714339
lh.pericalcarine,-0.2506393543960076
lh.postcentral,0.8035837679831034
lh.posteriorcingulate,-0.1948076553416859
lh.precentral,0.363085336942714
lh.precuneus,1.1816722353622522
lh.rostralanteriorcingulate,0.2016212054843492
lh.rostralmiddlefrontal,-0.0423973321409627
lh.superiorfrontal,-0.2602345059143308
lh.superiorparietal,-0.0765769194991825
lh.superiortemporal,0.2351262181676504
lh.supramarginal,-0.7102668698762841
lh.frontalpole,-1.748286567649226
lh.temporalpole,1.762407988964474
lh.transversetemporal,0.6031077220232025
lh.insula,-2.451146565735647
rh.bankssts,1.0263270489864662
rh.caudalanteriorcingulate,-0.1723024370206726
rh.caudalmiddlefrontal,1.4430945087419391
rh.cuneus,-2.916729904422939
rh.entorhinal,-0.2235170800823414
rh.fusiform,-0.0788104358324525
rh.inferiorparietal,-0.5863041010840206
rh.inferiortemporal,0.6067216184176655
rh.isthmuscingulate,-0.0548255074753364
rh.lateraloccipital,-0.342746447252021
rh.lateralorbitofrontal,1.2001094705143904
rh.lingual,0.3554334646116121
rh.medialorbitofrontal,-0.1207679761832908
rh.middletemporal,-1.399078776221964
rh.parahippocampal,-0.2709285583033035
rh.paracentral,0.6053970731748853
rh.parsopercularis,-0.1301861735977739
rh.parsorbitalis,0.1170651474164164
rh.parstriangularis,2.05978595197738
rh.pericalcarine,-0.3815110187826419
rh.postcentral,1.0488074027567542
rh.posteriorcingulate,-0.4369549098089394
rh.precentral,0.754262429955024
rh.precuneus,1.547065233523243
rh.rostralanteriorcingulate,0.0911016169285462
rh.rostralmiddlefrontal,-0.144774723016842
rh.superiorfrontal,-0.6033755641026104
rh.superiorparietal,-0.0653525007806518
rh.superiortemporal,0.0810711761679846
rh.supramarginal,-1.314786727871011
rh.frontalpole,-1.7627791340479344
rh.temporalpole,1.3343658901588784
rh.transversetemporal,0.2969266734358817
rh.insula,-2.536671053519839
