region,D2
V1_L,-1.432004813534664
MST_L,-0.1073289199545335
V6_L,-0.8627133470370846
V2_L,-1.1729615891880123
V3_L,-0.9895600514402764
V4_L,-0.7246652616001351
V8_L,-0.2796471279154247
4_L,-1.008957229022262
3b_L,-0.7500228987416953
FEF_L,-0.8300003637562169
PEF_L,-0.6615620417595246
55b_L,-1.2364468553759818
V3A_L,-1.0435684354972103
RSC_L,-1.7005667663052688
POS2_L,-0.5416232616788805
V7_L,-0.3973908126599411
IPS1_L,-0.3182939804370759
FFC_L,0.6592469314522209
V3B_L,-0.5562996407953327
LO1_L,-0.8587190986910078
LO2_L,-0.6667076354448527
PIT_L,-0.092955953622306
MT_L,0.1422426612248981
A1_L,0.1359022114591717
PSL_L,-0.4296084196579866
SFL_L,-0.6891523288476099
PCV_L,-0.172433455840938
STV_L,-0.34766416268626
7Pm_L,-0.3802621353209978
7m_L,-0.2066262001627773
POS1_L,-0.6768585232584391
23d_L,-0.1686412639007579
v23ab_L,-0.7908947910878962
d23ab_L,-0.4131781842729082
31pv_L,-0.6063332600609802
5m_L,-1.0071405348343188
5mv_L,-0.8287028864904477
23c_L,-0.8464132895136078
5L_L,-1.1539815172222292
24dd_L,-0.5394522335288031
24dv_L,-0.6429341559649221
7AL_L,-0.5745388180294672
SCEF_L,-0.5673641486886747
6ma_L,-1.0860790417946808
7Am_L,-0.7139218163397761
7Pl_L,-1.25257862571329
7PC_L,-1.032424427643293
LIPv_L,-0.1018796314522501
VIP_L,-1.382706051485136
MIP_L,-0.3844138042352259
1_L,-1.7002566357383813
2_L,-0.1972718063314238
3a_L,-1.0557944800507992
6d_L,-1.4298644359488435
6mp_L,-1.267201505261406
6v_L,-0.931596528077376
p24pr_L,0.0021134761130121
33pr_L,-0.2370144908195458
a24pr_L,0.3025260531141968
p32pr_L,-0.1751251601286744
a24_L,0.327925118210894
d32_L,-0.0738244064386135
8BM_L,-0.3516764151622424
p32_L,-0.1311154939957734
10r_L,0.081522934842438
47m_L,-0.297116096477199
8Av_L,-1.1087395672403542
8Ad_L,-0.7221359178426532
9m_L,-0.248787904494776
8BL_L,-0.8096540605820325
9p_L,-0.5005944972094686
10d_L,-0.7055178550342655
8C_L,-0.6308455310956252
44_L,-0.2343339004087377
45_L,-0.3521611923249111
47l_L,-0.3144256370658533
a47r_L,-0.6158647310555542
6r_L,-0.1941596527696492
IFJa_L,-0.9155099853532264
IFJp_L,-1.102796662189932
IFSp_L,-0.7392029470209867
IFSa_L,-0.4137359345687955
p9-46v_L,-0.512241581354055
46_L,-0.4322835062851849
a9-46v_L,-0.344720759874856
9-46d_L,-0.4119364578713357
9a_L,-0.5517935444468712
10v_L,-0.5296111284193595
a10p_L,-0.3358990136456398
10pp_L,-0.9782489540268604
11l_L,-0.242484825597362
13l_L,-0.0491221681890799
OFC_L,-0.0925730990979668
47s_L,0.6419178906914348
LIPd_L,-0.6797853650168377
6a_L,-0.9178225417984126
i6-8_L,-0.7505577176350914
s6-8_L,-0.8760932837572578
43_L,-0.1234102293982672
OP4_L,-0.1056221838964489
OP1_L,0.1259921534797743
OP2-3_L,-0.1896697541387747
52_L,0.8927046406681802
RI_L,-0.9284181752725246
PFcm_L,0.4058726633677341
PoI2_L,2.440916896743021
TA2_L,1.4904174538290365
FOP4_L,0.6048987982029903
MI_L,2.333268109082341
Pir_L,2.6919668715819465
AVI_L,0.8291992935172997
AAIC_L,2.2117305860757224
FOP1_L,0.6731667290293873
FOP3_L,1.7459796098427716
FOP2_L,0.0367788142689805
PFt_L,0.4129071993948423
AIP_L,-0.2963069349692158
EC_L,0.3129707174866864
PreS_L,-0.7452083587462499
H_L,0.424342238738389
ProS_L,-1.0523386357730944
PeEc_L,2.103210868187807
STGa_L,1.4285862310573618
PBelt_L,0.2520010285667166
A5_L,1.2044760653441249
PHA1_L,0.1837559687396648
PHA3_L,1.4895066438450788
STSda_L,2.0409359884327425
STSdp_L,1.0345568695874636
STSvp_L,1.3672062793849693
TGd_L,1.6862670154045245
TE1a_L,1.5386202371831157
TE1p_L,1.5282081036983826
TE2a_L,1.741033439244308
TF_L,1.885876308578467
TE2p_L,1.435762077695572
PHT_L,0.496838675728798
PH_L,0.5798304257471405
TPOJ1_L,0.760916070167187
TPOJ2_L,0.2804161306980899
TPOJ3_L,0.2486602870126758
DVT_L,-0.6506043896350308
PGp_L,-0.9559844058432384
IP2_L,0.1005874924757684
IP1_L,0.1744518366861866
IP0_L,-0.0412521360388023
PFop_L,-0.2743973146388855
PF_L,-1.0516584088306986
PFm_L,-0.9137325603655304
PGi_L,-0.2069934118859093
PGs_L,-1.2985206255519282
V6A_L,-1.4712475868375297
VMV1_L,-0.317726151951371
VMV3_L,0.1336253632467016
PHA2_L,1.3877280804185237
V4t_L,-0.4903149422864439
FST_L,0.3289653776779336
V3CD_L,-0.5114927286584403
LO3_L,-0.2875389516663124
VMV2_L,-0.1122527738695637
31pd_L,-0.6925932179030064
31a_L,0.1674824030524229
VVC_L,0.4482663167196162
25_L,1.4809990291488169
s32_L,0.2200224399094774
pOFC_L,2.499648028288195
PoI1_L,2.7014975039297675
Ig_L,0.7685795370912857
FOP5_L,-0.2662141311685915
p10p_L,-0.6938115731704338
p47r_L,0.0101967050396384
TGv_L,1.1842558328658042
MBelt_L,0.564980596470653
LBelt_L,-0.4201107764314186
A4_L,0.065344992190114
STSva_L,1.8337033656496209
TE1m_L,1.685853942254003
PI_L,1.7890721223186703
a32pr_L,0.2367869427276998
p24_L,0.4166010388538489
V1_R,-1.235912626724811
