region,NET
lh.bankssts,-0.9395658629527656
lh.caudalanteriorcingulate,0.7521294704383477
lh.caudalmiddlefrontal,-0.617377982917331
lh.cuneus,-1.9658779469483367
lh.entorhinal,-1.5939710162221326
lh.fusiform,0.6105849491062401
lh.inferiorparietal,0.2356270501566543
lh.inferiortemporal,0.5872128912974951
lh.isthmuscingulate,1.2760037565869995
lh.lateraloccipital,-0.2463015728407924
lh.lateralorbitofrontal,-0.1427238395827262
lh.lingual,-0.3770174530689247
lh.medialorbitofrontal,-0.3067507104265261
lh.middletemporal,-0.2044126216291835
lh.parahippocampal,1.315067878112815
lh.paracentral,0.1037284963494922
lh.parsopercularis,-1.241248677629743
lh.parsorbitalis,-0.5133668128736614
lh.parstriangularis,-1.365369736444914
lh.pericalcarine,-0.7162139751824493
lh.postcentral,0.0272709258540306
lh.posteriorcingulate,-0.4355452222459642
lh.precentral,0.4210029361452245
lh.precuneus,0.964622288645089
lh.rostralanteriorcingulate,0.6309335340071595
lh.rostralmiddlefrontal,1.408346244769052
lh.superiorfrontal,-1.17018491858644
lh.superiorparietal,-1.0899192571253982
lh.superiortemporal,-0.9778398101163558
lh.supramarginal,-0.0348739847752692
lh.frontalpole,-1.7010600983218307
lh.temporalpole,0.1214197180554514
lh.transversetemporal,1.9739040599383504
lh.insula,-0.5961430033785542
rh.bankssts,-1.9720751884069996
rh.caudalanteriorcingulate,1.2848160677591531
rh.caudalmiddlefrontal,-0.3694590389187503
rh.cuneus,2.04257064003495
rh.entorhinal,-0.8234233183418013
rh.fusiform,-0.273800950243404
rh.inferiorparietal,-0.2435152666456891
rh.inferiortemporal,1.348607569601543
rh.isthmuscingulate,-0.6536468159707842
rh.lateraloccipital,-2.051733889177813
rh.lateralorbitofrontal,-0.4739416289785741
rh.lingual,-1.0048185403156191
rh.medialorbitofrontal,0.2651777576963647
rh.middletemporal,0.0122158334744366
rh.parahippocampal,1.7245189173026096
rh.paracentral,0.7999054467736448
rh.parsopercularis,0.2885788295784074
rh.parsorbitalis,1.516536147596487
rh.parstriangularis,0.4518866969099912
rh.pericalcarine,0.647629870992072
rh.postcentral,-0.1297203584433617
rh.posteriorcingulate,1.5502592155414794
rh.precentral,0.704089415629874
rh.precuneus,0.3747160273858443
rh.rostralanteriorcingulate,0.2357253225702885
rh.rostralmiddlefrontal,1.3647354906683928
rh.superiorfrontal,-0.7738314998359853
rh.superiorparietal,-0.3705054628029575
rh.superiortemporal,0.8501392152549331
rh.supramarginal,0.4144745547051894
rh.frontalpole,-1.7781069404354903
rh.temporalpole,-0.274589963547978
rh.transversetemporal,1.3409039251741124
rh.insula,-0.2164077787776729
