region,mGluR5
lh.bankssts,-0.996735364920271
lh.caudalanteriorcingulate,0.3497932855546327
lh.caudalmiddlefrontal,-0.5832356852855197
lh.cuneus,-0.9140957994638466
lh.entorhinal,-1.0590404909240194
lh.fusiform,-2.0293639696654084
lh.inferiorparietal,-2.0061357975510195
lh.inferiortemporal,0.4463252126377721
lh.isthmuscingulate,-2.523459427813793
lh.lateraloccipital,0.930243736246769
lh.lateralorbitofrontal,-0.0795474991857577
lh.lingual,0.474774812470505
lh.medialorbitofrontal,-1.7830361310465392
lh.middletemporal,0.6697663153925799
lh.parahippocampal,0.686873706183079
lh.paracentral,0.0497878710635367
lh.parsopercularis,-1.10197091654101
lh.parsorbitalis,-0.7497259373604185
lh.parstriangularis,-0.7655666407140636
lh.pericalcarine,-0.7123145200694334
lh.postcentral,-0.4047207031543204
lh.posteriorcingulate,-0.1535833570994939
lh.precentral,0.5516256467246667
lh.precuneus,0.331031315041062
lh.rostralanteriorcingulate,0.662443554419016
lh.rostralmiddlefrontal,0.5467852402175525
lh.superiorfrontal,-1.341954775998429
lh.superiorparietal,-0.4874070239277195
lh.superiortemporal,-1.444261129389072
lh.supramarginal,0.6405064095887725
lh.frontalpole,0.3867975256030583
lh.temporalpole,1.206514458183472
lh.transversetemporal,1.8256057831660844
lh.insula,-0.6745918721881177
rh.bankssts,-0.2310756380937265
rh.caudalanteriorcingulate,0.1796422186314034
rh.caudalmiddlefrontal,-0.2504176077053391
rh.cuneus,-1.707619229986978
rh.entorhinal,-0.716608849546688
rh.fusiform,0.052076215359614
rh.inferiorparietal,-0.2672343707092672
rh.inferiortemporal,1.449687387749617
rh.isthmuscingulate,-1.400448140914089
rh.lateraloccipital,0.2217102294539081
rh.lateralorbitofrontal,0.1065194845663632
rh.lingual,0.7693409322159916
rh.medialorbitofrontal,0.8518987463119483
rh.middletemporal,-1.2228994427975384
rh.parahippocampal,1.3921425892055703
rh.paracentral,0.9347559704972352
rh.parsopercularis,1.340625341600084
rh.parsorbitalis,1.890459837916349
rh.parstriangularis,-0.0159489718035121
rh.pericalcarine,0.8849716649346626
rh.postcentral,1.1661155608020164
rh.posteriorcingulate,0.570801427939087
rh.precentral,1.0829038545908547
rh.precuneus,0.5786596732778105
rh.rostralanteriorcingulate,0.4044841525918232
rh.rostralmiddlefrontal,1.2728172991273272
rh.superiorfrontal,-0.5422168471496663
rh.superiorparietal,0.6980195288396236
rh.superiortemporal,0.9717470550526044
rh.supramarginal,1.6819368116911804
rh.frontalpole,-0.7654271904918766
rh.temporalpole,-0.5600237338204285
rh.transversetemporal,-0.0246698255102646
rh.insula,-0.7448539640200045
