region,5HT1b
lh.bankssts,-0.4816283332810278
lh.caudalanteriorcingulate,0.6497123222146021
lh.caudalmiddlefrontal,-0.3531887526577269
lh.cuneus,-1.8723091072611984
lh.entorhinal,-1.5277620952221391
lh.fusiform,-0.9885019586127785
lh.inferiorparietal,-1.2299464709608026
lh.inferiortemporal,0.4363171264163675
lh.isthmuscingulate,-1.1677419570685272
lh.lateraloccipital,0.1616263484092822
lh.lateralorbitofrontal,0.4241093256156619
lh.lingual,0.5576605725957222
lh.medialorbitofrontal,-1.2296478561809172
lh.middletemporal,-1.163319590283706
lh.parahippocampal,0.8142585428885669
lh.paracentral,-0.1096119734303062
lh.parsopercularis,-1.3932888496611682
lh.parsorbitalis,-0.7356517765585269
lh.parstriangularis,-0.4229963831874954
lh.pericalcarine,-0.8234114907367217
lh.postcentral,-0.1337227821370508
lh.posteriorcingulate,-0.3146210532052121
lh.precentral,0.5295651825695415
lh.precuneus,1.3668113682262786
lh.rostralanteriorcingulate,0.943167702358756
lh.rostralmiddlefrontal,1.337501651271061
lh.superiorfrontal,-1.111217934067854
lh.superiorparietal,-1.0684450718672422
lh.superiortemporal,-0.883620494553583
lh.supramarginal,0.9639146517618422
lh.frontalpole,-1.3023912758627252
lh.temporalpole,0.8067740174124526
lh.transversetemporal,1.6031161273828525
lh.insula,-0.6671685667729034
rh.bankssts,-0.4122817110250157
rh.caudalanteriorcingulate,0.5669693204920859
rh.caudalmiddlefrontal,0.3288212177999216
rh.cuneus,-1.3046611145027962
rh.entorhinal,-1.0172598041717908
rh.fusiform,0.2469543393025215
rh.inferiorparietal,-0.8719162422951661
rh.inferiortemporal,1.6062440496595254
rh.isthmuscingulate,-0.7248699611262762
rh.lateraloccipital,-0.4629157585501266
rh.lateralorbitofrontal,0.8635092445126601
rh.lingual,0.1535462616409026
rh.medialorbitofrontal,0.3275715037584158
rh.middletemporal,-1.851607293000444
rh.parahippocampal,0.8262736768411718
rh.paracentral,0.9276781826496372
rh.parsopercularis,1.088273926084258
rh.parsorbitalis,2.4384094786457804
rh.parstriangularis,1.3877008830207638
rh.pericalcarine,0.3992806963390597
rh.postcentral,0.0465894372733926
rh.posteriorcingulate,0.4993208290592574
rh.precentral,1.1199620914144452
rh.precuneus,1.6477389980411976
rh.rostralanteriorcingulate,0.9601260595180384
rh.rostralmiddlefrontal,0.95398322256116
rh.superiorfrontal,-0.7365295782449828
rh.superiorparietal,-0.0541557336449288
rh.superiortemporal,0.8925686310957899
rh.supramarginal,1.0057287219560216
rh.frontalpole,-1.9079514807511757
rh.temporalpole,0.3450818315358837
rh.transversetemporal,0.014785467471977
rh.insula,-0.9173105589145386
