region,VAChT
lh.bankssts,1.2265709608887525
lh.caudalanteriorcingulate,-0.6645352235568279
lh.caudalmiddlefrontal,-0.3862835182982754
lh.cuneus,-0.6669738123151213
lh.entorhinal,-0.8060425923571798
lh.fusiform,-1.0809089967587997
lh.inferiorparietal,-1.4688845412091007
lh.inferiortemporal,-0.0584167222914975
lh.isthmuscingulate,-1.3210391287008614
lh.lateraloccipital,-0.1080887045895365
lh.lateralorbitofrontal,-0.1939122898600783
lh.lingual,0.4432655651381658
lh.medialorbitofrontal,-1.4203396528846164
lh.middletemporal,-0.1436216418795632
lh.parahippocampal,0.4567907770205586
lh.paracentral,-0.4072976119887652
lh.parsopercularis,-1.389010272758148
lh.parsorbitalis,-0.8621174620463697
lh.parstriangularis,-0.4793243185996126
lh.pericalcarine,-0.5463373190477657
lh.postcentral,0.6275293462328614
lh.posteriorcingulate,-0.3353644776203154
lh.precentral,-0.2072521609389652
lh.precuneus,1.3040490875716446
lh.rostralanteriorcingulate,-0.6128293066659491
lh.rostralmiddlefrontal,-0.2359963485122645
lh.superiorfrontal,-0.8934136711509076
lh.superiorparietal,-0.5166405291155496
lh.superiortemporal,-0.9192097450026656
lh.supramarginal,-0.7219677708162474
lh.frontalpole,-0.7435420430227592
lh.temporalpole,1.275047977382438
lh.transversetemporal,1.647918378360219
lh.insula,2.61425906610159
rh.bankssts,2.1751694079527475
rh.caudalanteriorcingulate,-0.3679058580171059
rh.caudalmiddlefrontal,-0.473213641177835
rh.cuneus,-0.2790461077743351
rh.entorhinal,-0.5480403869043947
rh.fusiform,-0.6258423185773173
rh.inferiorparietal,-0.7870680720139986
rh.inferiortemporal,0.083538582557932
rh.isthmuscingulate,-1.0548381481307825
rh.lateraloccipital,-0.1265339559687578
rh.lateralorbitofrontal,-0.2715896949425072
rh.lingual,0.5321982442403338
rh.medialorbitofrontal,-0.5112895307918909
rh.middletemporal,0.1585312404421844
rh.parahippocampal,0.6597088500744137
rh.paracentral,0.9340891377697998
rh.parsopercularis,-0.5148412214155212
rh.parsorbitalis,1.0974845861900395
rh.parstriangularis,-0.2805280943047609
rh.pericalcarine,0.0147738049687311
rh.postcentral,0.831516989845714
rh.posteriorcingulate,0.2153643653840233
rh.precentral,-0.0990709132122059
rh.precuneus,2.887410861164082
rh.rostralanteriorcingulate,0.009773612706323
rh.rostralmiddlefrontal,-0.1504716916059101
rh.superiorfrontal,-0.8598975803556942
rh.superiorparietal,0.3141054726103895
rh.superiortemporal,-0.1417245754148494
rh.supramarginal,-1.091041949236211
rh.frontalpole,-0.6008648634267565
rh.temporalpole,1.7279306271197583
rh.transversetemporal,2.050379070072551
rh.insula,2.685752453463328
