region,5HT2a
lh.bankssts,-0.0634667164089657
lh.caudalanteriorcingulate,0.6458723340390926
lh.caudalmiddlefrontal,0.267826910750874
lh.cuneus,-1.877364089429444
lh.entorhinal,0.1277065845984341
lh.fusiform,0.8345446131703091
lh.inferiorparietal,0.9268546694192704
lh.inferiortemporal,-0.351765875530319
lh.isthmuscingulate,0.2058945646740709
lh.lateraloccipital,0.657186260789796
lh.lateralorbitofrontal,-0.1231265519290394
lh.lingual,0.5437022293521
lh.medialorbitofrontal,1.2335606441166551
lh.middletemporal,-1.5002862735509457
lh.parahippocampal,-1.206524524164183
lh.paracentral,0.946739943923685
lh.parsopercularis,0.7585928780328812
lh.parsorbitalis,0.738692609293487
lh.parstriangularis,0.6637787943885736
lh.pericalcarine,-0.6360430475167491
lh.postcentral,0.3236717684364664
lh.posteriorcingulate,-0.1383432446863187
lh.precentral,0.3460580413594401
lh.precuneus,0.219847176451656
lh.rostralanteriorcingulate,0.8520633311076066
lh.rostralmiddlefrontal,0.6118902632504176
lh.superiorfrontal,-0.2448183587815268
lh.superiorparietal,0.3028403045993618
lh.superiortemporal,0.7007078912611605
lh.supramarginal,0.7405560724850291
lh.frontalpole,-0.9560604928974012
lh.temporalpole,0.6214899774551689
lh.transversetemporal,-0.3021055837723944
lh.insula,-3.922866387409482
rh.bankssts,-0.2193791641716788
rh.caudalanteriorcingulate,0.4579222562838824
rh.caudalmiddlefrontal,0.2364445739203176
rh.cuneus,-2.114532430920867
rh.entorhinal,-0.125970031449605
rh.fusiform,0.6977646342565819
rh.inferiorparietal,0.4860515068607702
rh.inferiortemporal,-0.3824587927073861
rh.isthmuscingulate,0.2050019010548587
rh.lateraloccipital,0.5573900742069813
rh.lateralorbitofrontal,-0.0625467303992779
rh.lingual,0.392720988728918
rh.medialorbitofrontal,1.0035048991151692
rh.middletemporal,-1.8965717006483231
rh.parahippocampal,-1.0943793094572494
rh.paracentral,0.7425376281219352
rh.parsopercularis,0.9225223756720112
rh.parsorbitalis,0.5857252406798968
rh.parstriangularis,0.6206049449850142
rh.pericalcarine,-0.6612830187666754
rh.postcentral,0.5725961688736119
rh.posteriorcingulate,-0.3194885991439599
rh.precentral,0.4642391005538173
rh.precuneus,-0.4758255863773957
rh.rostralanteriorcingulate,0.7261209928931343
rh.rostralmiddlefrontal,0.393267266267186
rh.superiorfrontal,-0.2633346949925181
rh.superiorparietal,0.2525797153756895
rh.superiortemporal,0.5795166056819271
rh.supramarginal,0.8011411174166403
rh.frontalpole,-0.8234031930925274
rh.temporalpole,0.3925159693782556
rh.transversetemporal,-0.6517773895433242
rh.insula,-3.946524035534547
