region,D1
lh.bankssts,1.1602399832249688
lh.caudalanteriorcingulate,-1.0504495063590609
lh.caudalmiddlefrontal,0.2852046813920317
lh.cuneus,-0.3017278894195588
lh.entorhinal,0.4186711422390366
lh.fusiform,-1.1257052499728104
lh.inferiorparietal,-0.4747443246592366
lh.inferiortemporal,0.9057010314918116
lh.isthmuscingulate,-1.885807343764755
lh.lateraloccipital,0.4219310579991152
lh.lateralorbitofrontal,0.9037639076814408
lh.lingual,1.8301290485277548
lh.medialorbitofrontal,-0.5268682581179478
lh.middletemporal,0.0831844551097881
lh.parahippocampal,-1.2375281184079174
lh.paracentral,-0.3320919022373449
lh.parsopercularis,-0.874129854031573
lh.parsorbitalis,-0.6792346994905094
lh.parstriangularis,-0.1770334366781956
lh.pericalcarine,-1.3703851950544268
lh.postcentral,1.0169256575500203
lh.posteriorcingulate,-1.3703462723315685
lh.precentral,0.4905943547027655
lh.precuneus,1.5755612417768448
lh.rostralanteriorcingulate,-0.614649360362654
lh.rostralmiddlefrontal,-0.6902820426429259
lh.superiorfrontal,-1.3607669298689484
lh.superiorparietal,-0.3568980701750895
lh.superiortemporal,-0.8049834201892773
lh.supramarginal,-1.165401233763539
lh.frontalpole,-0.5706208306496959
lh.temporalpole,1.059416953495016
lh.transversetemporal,1.6457934551951496
lh.insula,-0.2037005040789304
rh.bankssts,1.270971259712411
rh.caudalanteriorcingulate,-0.6365266430491685
rh.caudalmiddlefrontal,0.05179809247278
rh.cuneus,-0.5171531661830779
rh.entorhinal,0.490070499243424
rh.fusiform,-0.889499346126722
rh.inferiorparietal,-0.0226095642475984
rh.inferiortemporal,1.36943089537876
rh.isthmuscingulate,-2.015485725674867
rh.lateraloccipital,0.6340124948666558
rh.lateralorbitofrontal,0.3144729575795479
rh.lingual,1.9410387036623076
rh.medialorbitofrontal,0.4008450736373707
rh.middletemporal,0.0600356132889109
rh.parahippocampal,-0.7779765375083337
rh.paracentral,0.727564848687063
rh.parsopercularis,-0.228256427264606
rh.parsorbitalis,-0.1112741100684274
rh.parstriangularis,0.4711726307399476
rh.pericalcarine,-1.0772198485284212
rh.postcentral,1.7246249004422856
rh.posteriorcingulate,-0.9840725030861897
rh.precentral,0.6947338325787843
rh.precuneus,2.01806765300094
rh.rostralanteriorcingulate,-0.1441766159739308
rh.rostralmiddlefrontal,-0.5076960722412422
rh.superiorfrontal,-1.6046334901630146
rh.superiorparietal,0.4576638704098124
rh.superiortemporal,-0.1093295934519546
rh.supramarginal,-0.6270199859941792
rh.frontalpole,-0.2883110246413908
rh.temporalpole,1.3972270943377736
rh.transversetemporal,2.2091935266805125
rh.insula,-0.3154458206459241
