region,GABAa
V1_L,2.017451098451602
MST_L,0.6638182012471556
V6_L,0.4177372656342238
V2_L,1.672505096724608
V3_L,0.922641690673716
V4_L,0.8447583533436402
V8_L,1.5367881100346936
4_L,-0.7451177032748687
3b_L,0.177945312835656
FEF_L,-0.6243376866496694
PEF_L,1.2314674761925546
55b_L,-1.970302437743337
V3A_L,-0.4919158763056668
RSC_L,0.8664392263416777
POS2_L,0.857203533074435
V7_L,-1.8820418957683
IPS1_L,-0.8826279757240787
FFC_L,0.4216096951220779
V3B_L,0.5989286726102034
LO1_L,-0.4671136187164195
LO2_L,0.1048396882143472
PIT_L,-0.2631440999612506
MT_L,1.3119952048463093
A1_L,0.6317853991991947
PSL_L,-0.0639483345630884
SFL_L,-0.1036222264134522
PCV_L,0.3654494369423234
STV_L,-0.6351139698633913
7Pm_L,0.5840916421011279
7m_L,1.952251925334471
POS1_L,1.350085792724289
23d_L,1.0672637586157196
v23ab_L,2.14483997138152
d23ab_L,2.084679459734382
31pv_L,0.9163124185101856
5m_L,-0.5345379234836214
5mv_L,-0.389278367805533
23c_L,-0.6354799574850335
5L_L,-0.7615099384597661
24dd_L,0.4069683057402453
24dv_L,-0.1643148189347343
7AL_L,-0.2899350973331723
SCEF_L,0.8918260919250637
6ma_L,-0.9418596172128416
7Am_L,-0.394084539619659
7Pl_L,-0.8878117180544912
7PC_L,-1.041946397973137
LIPv_L,0.3617750936933433
VIP_L,-1.343945385808534
MIP_L,0.4870856865623973
1_L,-2.366313222034313
2_L,-0.0948556894966758
3a_L,-0.8476266544373794
6d_L,-1.2292752104454765
6mp_L,0.2395067938316349
6v_L,-2.857340005058828
p24pr_L,0.4631883474556951
33pr_L,0.9139967166257146
a24pr_L,0.3447730066865614
p32pr_L,0.6926250829417455
a24_L,1.3588486375841855
d32_L,0.543754718180739
8BM_L,0.9003430291799958
p32_L,0.5800796642196334
10r_L,1.7333437730910235
47m_L,-1.1670207338262548
8Av_L,-0.9158853142441185
8Ad_L,-0.16201575629845
9m_L,0.4241686981593253
8BL_L,-0.7680608711785454
9p_L,0.0876767303128013
10d_L,-0.4391654519108847
8C_L,-0.1420560550581729
44_L,-0.8102903392886786
45_L,-1.2739137715400264
47l_L,-0.6205319878706193
a47r_L,-0.922237070098848
6r_L,0.6762044357108223
IFJa_L,0.2107306346871962
IFJp_L,1.4423918627567576
IFSp_L,0.6809566148378609
IFSa_L,0.3039322639423724
p9-46v_L,-1.0786798135142437
46_L,-0.4163037289994101
a9-46v_L,-0.9172719751775732
9-46d_L,1.038775700985955
9a_L,-1.0304496285145566
10v_L,0.3848378424480437
a10p_L,1.02067521083001
10pp_L,-1.232414565287525
11l_L,-1.015548974961756
13l_L,-1.2956394833312257
OFC_L,-1.1379912963884042
47s_L,-0.8112598755406382
LIPd_L,-0.3003607912760986
6a_L,0.5039122023091483
i6-8_L,0.0430528162876101
s6-8_L,-0.9697938064367344
43_L,-0.1018878979121966
OP4_L,-0.0079068208332228
OP1_L,1.4755735640138536
OP2-3_L,1.0989373770002535
52_L,0.6137977053092837
RI_L,0.6601688464171399
PFcm_L,1.4928533232764063
PoI2_L,-0.4708237623588811
TA2_L,1.2816639864478696
FOP4_L,1.1514004031282472
MI_L,-1.080839584508085
Pir_L,-1.8449457724413576
AVI_L,0.5986400646360317
AAIC_L,-1.2051602794636818
FOP1_L,0.6285342517154857
FOP3_L,0.0905390960278824
FOP2_L,1.5327697600037984
PFt_L,0.9631949628326596
AIP_L,0.1522345723871847
EC_L,-2.4906488391112096
PreS_L,-0.7499812886037237
H_L,0.7266152342754983
ProS_L,0.6424190278073922
PeEc_L,-1.161813371126004
STGa_L,-1.3639743998351197
PBelt_L,1.6608829628037962
A5_L,-1.0607708273798335
PHA1_L,-1.0278709847886236
PHA3_L,0.4105038370936955
STSda_L,-0.6306600705268156
STSdp_L,0.3507464416430906
STSvp_L,1.4768925442102787
TGd_L,-1.2730071255204576
TE1a_L,-0.9057783762608004
TE1p_L,-0.9427119293604728
TE2a_L,-1.0614481205622122
TF_L,-0.4114438670266195
TE2p_L,0.3062579848136986
PHT_L,-0.4635010264500109
PH_L,1.018504849536083
TPOJ1_L,0.0208453786759073
TPOJ2_L,0.7855559018440968
TPOJ3_L,0.7207909566408052
DVT_L,0.4170387967049189
PGp_L,-0.6619868984075443
IP2_L,0.4505998883825347
IP1_L,1.0030794233910665
IP0_L,1.0731808366731574
PFop_L,-0.9001575908487538
PF_L,-0.8820598934039161
PFm_L,-0.1645500174872951
PGi_L,0.1556105347284455
PGs_L,-0.967207797616785
V6A_L,-1.9546785123440795
VMV1_L,1.2772197502069202
VMV3_L,1.6153252122056738
PHA2_L,0.7245029608257796
V4t_L,0.7345184468866993
FST_L,1.4501474024834216
V3CD_L,0.8587255868774043
LO3_L,0.4380654679005067
VMV2_L,0.7798190849560399
31pd_L,-0.0126659059166102
31a_L,0.4835982841127614
VVC_L,1.2966000068485295
25_L,2.109928827313114
s32_L,2.73840007340694
pOFC_L,-1.079995026406661
PoI1_L,-0.6116097250176347
Ig_L,-0.5284280409212889
FOP5_L,1.5237612292399227
p10p_L,0.0140617691175425
p47r_L,0.8664142688330514
TGv_L,-2.199150696423096
MBelt_L,2.6021676498518445
LBelt_L,1.3727500904542451
A4_L,-0.8573778111779202
STSva_L,1.0900959580397305
TE1m_L,-0.5773296144728813
PI_L,0.828034366144169
a32pr_L,0.2801725045383393
p24_L,1.0846015032319825
V1_R,1.6107307374680024
MST_R,0.9229151144501758
V6_R,0.3268938271294009
