region,5HT1b
V1_L,1.6797557336804252
MST_L,0.0036014250036013
V6_L,-0.4873859247519442
V2_L,0.2773574695533352
V3_L,-0.5617342658184007
V4_L,-0.3465939133818388
V8_L,-0.2408762529186611
4_L,0.2552965873667962
3b_L,0.1973879330310594
FEF_L,0.8825438590278528
PEF_L,1.4527328865012148
55b_L,-0.3659091589594116
V3A_L,-0.6918874458805576
RSC_L,-1.8600604262041205
POS2_L,0.2746985593583488
V7_L,0.5001967076796955
IPS1_L,0.4765561521897572
FFC_L,-0.6125934181583628
V3B_L,0.8773981163816187
LO1_L,-0.6901553235019083
LO2_L,-0.9483004541237032
PIT_L,-0.8707580659813191
MT_L,0.5750382348155728
A1_L,0.9600253971406544
PSL_L,0.0757719292778988
SFL_L,0.2315880571483118
PCV_L,0.1725630173371524
STV_L,-0.236700698669531
7Pm_L,-0.0571820983392567
7m_L,0.9439825983330136
POS1_L,0.6888792509988396
23d_L,0.60538799253598
v23ab_L,0.1301694083663763
d23ab_L,0.6622291960519546
31pv_L,-0.1943760823985825
5m_L,-0.6588193815556646
5mv_L,-1.0991390785206474
23c_L,-0.4396771234637059
5L_L,-2.0406734369966384
24dd_L,0.2435901436245851
24dv_L,-0.0276551632795076
7AL_L,-0.642793363273656
SCEF_L,0.7020648165857774
6ma_L,-0.7470557770516271
7Am_L,-0.9763845234377376
7Pl_L,-1.6663118455488113
7PC_L,-1.2927358116675418
LIPv_L,0.4133168321726364
VIP_L,-2.125984238478744
MIP_L,0.3355514447744913
1_L,-2.227262170114076
2_L,0.1464978159127605
3a_L,0.1213393454356058
6d_L,-1.3329726860168467
6mp_L,-0.3286685337688527
6v_L,-0.766859158335252
p24pr_L,0.9242122228508656
33pr_L,-0.6563462595176652
a24pr_L,1.206368796067732
p32pr_L,0.7295032628826461
a24_L,0.8780618688437465
d32_L,0.9441307007762526
8BM_L,1.019018671468688
p32_L,0.2821271565461538
10r_L,0.924552202269306
47m_L,0.4042018861788727
8Av_L,-0.5887761584536633
8Ad_L,0.8434069348226791
9m_L,0.608825831238155
8BL_L,-0.4418987287110835
9p_L,0.8051070070669508
10d_L,-0.3064051683686069
8C_L,1.2495267247618416
44_L,1.5119605747964198
45_L,0.5196424282907115
47l_L,-0.1072709073616019
a47r_L,-0.964749027933236
6r_L,1.7128335962160333
IFJa_L,1.2222585814062334
IFJp_L,0.4842271691357118
IFSp_L,1.2744732021394911
IFSa_L,1.2564152726719438
p9-46v_L,0.4683456905091744
46_L,0.4518403859945967
a9-46v_L,0.3941036988430085
9-46d_L,1.1285881154381032
9a_L,-0.0062974680540802
10v_L,-0.0151884834861931
a10p_L,0.5378184292648606
10pp_L,-0.9843792843492276
