region,5HT4
lh.bankssts,0.4996000340000746
lh.caudalanteriorcingulate,-0.1526016164348533
lh.caudalmiddlefrontal,-1.009593458197814
lh.cuneus,0.6187981842595247
lh.entorhinal,0.4055744735527319
lh.fusiform,1.487793491224897
lh.inferiorparietal,1.710825449152455
lh.inferiortemporal,-0.4982862657782968
lh.isthmuscingulate,-0.6283771805977035
lh.lateraloccipital,0.3183646631479838
lh.lateralorbitofrontal,-1.4297324356509613
lh.lingual,0.7233337886517809
lh.medialorbitofrontal,2.1973895064843147
lh.middletemporal,-0.9389476443683822
lh.parahippocampal,-1.7496374368898473
lh.paracentral,0.5403232615075576
lh.parsopercularis,0.4221288098296748
lh.parsorbitalis,0.3239966227420744
lh.parstriangularis,-1.958338136594888
lh.pericalcarine,-0.880817652444329
lh.postcentral,0.3734471387555678
lh.posteriorcingulate,-0.7753304437908217
lh.precentral,0.4647556062883866
lh.precuneus,0.6389192183041283
lh.rostralanteriorcingulate,0.6838427270971015
lh.rostralmiddlefrontal,-0.0562058154435428
lh.superiorfrontal,-0.2620435226696087
lh.superiorparietal,1.3461794566547711
lh.superiortemporal,1.443456913374618
lh.supramarginal,0.4966004842577595
lh.frontalpole,0.7620975471689226
lh.temporalpole,0.1350966009160271
lh.transversetemporal,0.5916479592804347
lh.insula,-2.233712931062989
rh.bankssts,0.1062102748533505
rh.caudalanteriorcingulate,-0.5321347078142746
rh.caudalmiddlefrontal,-1.155700677260769
rh.cuneus,-0.055596440285669
rh.entorhinal,0.0334758752047852
rh.fusiform,1.2305692726488733
rh.inferiorparietal,1.1911013629348406
rh.inferiortemporal,-0.4680690997072152
rh.isthmuscingulate,-0.6949069784849479
rh.lateraloccipital,0.0024055613575992
rh.lateralorbitofrontal,-1.520322802779503
rh.lingual,0.6690554803002572
rh.medialorbitofrontal,1.825707335386838
rh.middletemporal,-1.095758230268301
rh.parahippocampal,-1.55037962313232
rh.paracentral,0.1852909398043657
rh.parsopercularis,0.435143377644611
rh.parsorbitalis,0.1490838221793269
rh.parstriangularis,-2.009338303081658
rh.pericalcarine,-0.829344034679706
rh.postcentral,0.7113260973494901
rh.posteriorcingulate,-1.1103355248382047
rh.precentral,0.4213080739106496
rh.precuneus,0.0900174309149466
rh.rostralanteriorcingulate,0.3129185285767704
rh.rostralmiddlefrontal,-0.2915573169121675
rh.superiorfrontal,-0.2905667468231114
rh.superiorparietal,1.1501097853768167
rh.superiortemporal,1.3474059026323717
rh.supramarginal,0.3089252664422089
rh.frontalpole,0.3003863632607568
rh.temporalpole,-0.3963436586286231
rh.transversetemporal,0.3723232348017643
rh.insula,-2.45295723761099
