region,CB1
lh.bankssts,0.2943023243937454
lh.caudalanteriorcingulate,0.370515628565728
lh.caudalmiddlefrontal,-1.0494334050736305
lh.cuneus,-1.1928663962177353
lh.entorhinal,-1.2320285637722888
lh.fusiform,-2.223637723976397
lh.inferiorparietal,-2.171419769858548
lh.inferiortemporal,0.4768354977260695
lh.isthmuscingulate,-2.228920206437361
lh.lateraloccipital,1.0869974975370102
lh.lateralorbitofrontal,-0.1006646407597584
lh.lingual,1.028512621375335
lh.medialorbitofrontal,-2.092872250326683
lh.middletemporal,0.8354676363511463
lh.parahippocampal,0.7110939439872667
lh.paracentral,-0.7576206632899509
lh.parsopercularis,-1.6659058150802135
lh.parsorbitalis,-1.420594874799618
lh.parstriangularis,-0.9670457820832076
lh.pericalcarine,-1.5297003086115282
lh.postcentral,0.3523860616334114
lh.posteriorcingulate,-0.7225440115008783
lh.precentral,0.2433520539685587
lh.precuneus,1.2558157993410264
lh.rostralanteriorcingulate,0.4047829674575235
lh.rostralmiddlefrontal,0.727682007454972
lh.superiorfrontal,-1.9872811470551772
lh.superiorparietal,-1.044506599207518
lh.superiortemporal,-1.977240951884911
lh.supramarginal,0.9398781951372148
lh.frontalpole,0.2113717785032579
lh.temporalpole,0.6519533213744374
lh.transversetemporal,1.226827259134322
lh.insula,0.3921617940312566
rh.bankssts,0.1919721948496898
rh.caudalanteriorcingulate,0.601848546914063
rh.caudalmiddlefrontal,-0.6103139525531363
rh.cuneus,-0.0794628389828193
rh.entorhinal,0.4077663451023266
rh.fusiform,-0.0679380063375162
rh.inferiorparietal,0.4944943614701537
rh.inferiortemporal,0.5357191324896666
rh.isthmuscingulate,-1.4029254746963962
rh.lateraloccipital,0.2629022058584446
rh.lateralorbitofrontal,0.1561376409616111
rh.lingual,0.904981667599907
rh.medialorbitofrontal,0.5302255807912922
rh.middletemporal,0.3878263121727827
rh.parahippocampal,0.8149961029704824
rh.paracentral,0.8236948039727866
rh.parsopercularis,1.1906609410113516
rh.parsorbitalis,1.5444308902714856
rh.parstriangularis,-0.2942547092744186
rh.pericalcarine,0.4810679764326854
rh.postcentral,0.3755454625198802
rh.posteriorcingulate,0.5691887601348888
rh.precentral,0.4505864308963333
rh.precuneus,1.224246483080186
rh.rostralanteriorcingulate,0.847951331603488
rh.rostralmiddlefrontal,0.7302404844544006
rh.superiorfrontal,-0.8254150607636662
rh.superiorparietal,0.6832862500079313
rh.superiortemporal,0.5842766080485842
rh.supramarginal,1.014697085303424
rh.frontalpole,-0.7584884142618116
rh.temporalpole,0.5740577554585024
rh.transversetemporal,0.5426928516073029
rh.insula,0.2676509728492537
