region,VAChT
V1_L,-0.5750230157021493
MST_L,0.0876893320910931
V6_L,-0.4934937230391384
V2_L,-0.596223498877543
V3_L,-0.7720375283088906
V4_L,-0.92828885687689
V8_L,-0.1823695292044268
4_L,0.6764530580961219
3b_L,0.2811213595241997
FEF_L,0.079860719049202
PEF_L,0.3275829233884854
55b_L,-1.334866514949539
V3A_L,-0.8155947091041037
RSC_L,-0.0886690064907016
POS2_L,-0.2533548493730359
V7_L,-0.4842335058441505
IPS1_L,-0.4425526208234081
FFC_L,-0.3341994404595415
V3B_L,-0.285368226274182
LO1_L,-1.4157082881504133
LO2_L,-1.4709257280913413
PIT_L,-1.220569335137284
MT_L,0.1733384146916695
A1_L,2.080616212026673
PSL_L,-0.8341902337922883
SFL_L,-1.0157538381625126
PCV_L,0.2925624624038487
STV_L,-1.2964247433466292
7Pm_L,-0.1740524714816697
7m_L,0.2282121405501737
POS1_L,-0.0241281477870556
23d_L,1.748789849423601
v23ab_L,0.1930177232681056
d23ab_L,0.8192310404106026
31pv_L,0.0752775866954693
5m_L,0.4126321992040241
5mv_L,-0.1577409336713664
23c_L,0.4545171287258784
5L_L,-1.2318823049452456
24dd_L,1.221546088760666
24dv_L,0.6638194994806591
7AL_L,-0.6623671150954614
SCEF_L,0.3739957611671567
6ma_L,-1.5691359021062474
7Am_L,-0.5032241212796408
7Pl_L,-0.8792816108390848
7PC_L,-1.3670518133196514
LIPv_L,-0.462946406606551
VIP_L,-1.3561022043695965
MIP_L,-0.5845798206201979
1_L,-1.8814771512529465
2_L,-0.2361374910285188
3a_L,1.2341702377695642
6d_L,-1.0723691934624748
6mp_L,0.0476324650877309
6v_L,-1.9113681643741989
p24pr_L,2.402253111310508
33pr_L,1.0904088042278262
a24pr_L,1.889504090983313
p32pr_L,0.5749876947956614
a24_L,0.8497108896279776
d32_L,-0.1386855298401368
8BM_L,-0.1685194161140114
p32_L,-0.0654305968232061
10r_L,0.4465677999187991
47m_L,-0.4087977148520754
8Av_L,-1.5772151813083777
8Ad_L,-0.3930272341553747
9m_L,-0.3134045169337221
8BL_L,-1.5034845795204383
9p_L,-0.7989707952642126
10d_L,-0.7512687590326548
8C_L,-0.4409814265659296
44_L,-0.5989216977602659
45_L,-0.935744420997558
47l_L,-0.9449891277690406
a47r_L,-1.3760966563116288
6r_L,0.1477554564519891
IFJa_L,0.1976886517396634
IFJp_L,0.1553185819218707
IFSp_L,-0.4250293122772464
IFSa_L,-0.3837759539884368
p9-46v_L,-1.1660874372255652
46_L,-0.8706313767083793
a9-46v_L,-0.929738921567791
9-46d_L,-0.1831637999129344
9a_L,-1.1436812682627484
10v_L,-0.3362355618563227
a10p_L,-0.5173262015095494
10pp_L,-1.3582080427828842
11l_L,-0.4444880342420252
13l_L,-0.0170739603813496
OFC_L,0.0396101159435953
47s_L,-0.1999152222722172
LIPd_L,-0.5455486396576055
6a_L,0.2500502151994195
i6-8_L,-0.2877074369659364
s6-8_L,-1.457918391193859
43_L,0.0301531399888693
OP4_L,-0.254959572972527
OP1_L,1.3605289923185435
OP2-3_L,1.3138922048267891
52_L,1.614840984755277
RI_L,0.9646492331187928
PFcm_L,0.997193523162529
PoI2_L,1.7862027250343029
TA2_L,0.6113517478969744
FOP4_L,0.4273004433902613
MI_L,1.5872873352721015
Pir_L,1.1210947837227163
AVI_L,0.5008757476144778
AAIC_L,0.7975386220519918
FOP1_L,1.047441687767271
FOP3_L,2.072104330200072
FOP2_L,0.789911328164483
PFt_L,-0.0009059904228918
AIP_L,-0.2173785781224675
EC_L,0.5790721689912848
PreS_L,1.2933841334583325
H_L,1.7767350584435202
ProS_L,-0.5045900129106096
PeEc_L,-0.178454314550992
STGa_L,-0.5874671180550833
PBelt_L,0.9766909930166476
A5_L,-0.6045063158475976
PHA1_L,0.2489977335296572
PHA3_L,-0.3561414261649509
STSda_L,0.3305221501606968
STSdp_L,0.6231583825597854
STSvp_L,0.2308555844732434
TGd_L,-0.6782237650514601
TE1a_L,-1.6127086612139387
TE1p_L,-1.5781572036070814
TE2a_L,-1.4469414638067084
TF_L,-0.610677305970801
TE2p_L,-0.6764046161458058
PHT_L,-1.0797808745577344
PH_L,-0.4443514015048313
TPOJ1_L,0.2887443837100038
TPOJ2_L,-0.4259747647616476
TPOJ3_L,-0.1710053115640671
DVT_L,-0.4226708966589153
PGp_L,-1.160944940175118
IP2_L,-0.2247841417804399
IP1_L,-0.3773714476614198
IP0_L,-0.398349283888207
PFop_L,-1.2804101521752185
PF_L,-1.4983002476042258
PFm_L,-1.317401099513234
PGi_L,-0.6477827008571688
PGs_L,-1.3193254108308732
V6A_L,-1.1898024911681635
VMV1_L,0.2803865164383097
VMV3_L,-0.2146130960381881
PHA2_L,0.4105285809822416
V4t_L,-0.9557012004779476
FST_L,0.0549005853883351
V3CD_L,-0.8179495261497357
LO3_L,-0.6451400749805255
VMV2_L,-0.5321665732360865
31pd_L,-0.3633263979856552
31a_L,1.0016476384193818
VVC_L,0.1926957038413177
25_L,1.627866596345153
s32_L,0.7732913110970105
pOFC_L,2.2591483177745086
PoI1_L,2.4272078183492685
Ig_L,2.6200255657659537
FOP5_L,-0.0158930531710164
p10p_L,-0.9517476329304144
p47r_L,-0.3802884617152681
TGv_L,-1.7923505677761613
MBelt_L,1.657580703759281
LBelt_L,1.018318067942121
A4_L,-1.134767351708673
STSva_L,0.2601916634524009
TE1m_L,-1.5351747212688125
PI_L,0.5002340940549612
a32pr_L,0.5342117857305776
p24_L,1.0853504088606594
V1_R,-0.4091250692617932
MST_R,-0.0964804879688245
