region,H3
lh.bankssts,-0.6278888372565591
lh.caudalanteriorcingulate,0.5540291128641366
lh.caudalmiddlefrontal,-0.4762595718799229
lh.cuneus,-0.1383446153017245
lh.entorhinal,-0.455709307329922
lh.fusiform,-1.726808834265232
lh.inferiorparietal,-1.2788715782270268
lh.inferiortemporal,0.0420540229756725
lh.isthmuscingulate,-2.408775898573817
lh.lateraloccipital,0.7479252630814474
lh.lateralorbitofrontal,-0.2332212855226975
lh.lingual,0.5915622951943581
lh.medialorbitofrontal,-1.299577352810888
lh.middletemporal,0.110510412653276
lh.parahippocampal,0.0384087457222245
lh.paracentral,0.7000432778770849
lh.parsopercularis,-0.8775483648555799
lh.parsorbitalis,-0.126349712511037
lh.parstriangularis,-0.7004587269271778
lh.pericalcarine,-1.017841676598346
lh.postcentral,-0.5305426038303704
lh.posteriorcingulate,-0.2977433139087956
lh.precentral,-0.0864714535554781
lh.precuneus,0.4165950372893871
lh.rostralanteriorcingulate,0.7063348125719353
lh.rostralmiddlefrontal,0.3892370391177548
lh.superiorfrontal,-1.5401589375913407
lh.superiorparietal,-0.4099953981595288
lh.superiortemporal,-1.2025164038105989
lh.supramarginal,0.1918756448119398
lh.frontalpole,-0.0789378907079397
lh.temporalpole,0.1576386690000155
lh.transversetemporal,0.8108232979134188
lh.insula,-0.2974064338717104
rh.bankssts,0.3776605757833653
rh.caudalanteriorcingulate,-0.1542694736456308
rh.caudalmiddlefrontal,-0.3878147920954539
rh.cuneus,-2.441395968237477
rh.entorhinal,-0.3845857394467816
rh.fusiform,-0.3779681676805278
rh.inferiorparietal,-0.3729604224148675
rh.inferiortemporal,0.4839198744904385
rh.isthmuscingulate,-1.1681720932715067
rh.lateraloccipital,1.1077902325698703
rh.lateralorbitofrontal,-0.3674268267732354
rh.lingual,1.7766564758137815
rh.medialorbitofrontal,-0.2771753736495403
rh.middletemporal,-0.207943926755626
rh.parahippocampal,1.1024958047537172
rh.paracentral,1.646499542617986
rh.parsopercularis,1.2725677649405256
rh.parsorbitalis,1.8525605989400424
rh.parstriangularis,0.0865685304390369
rh.pericalcarine,0.2641960424484853
rh.postcentral,0.8800018405006371
rh.posteriorcingulate,0.149739910411657
rh.precentral,0.4259422237980114
rh.precuneus,0.9912381993656758
rh.rostralanteriorcingulate,0.0838180987043284
rh.rostralmiddlefrontal,1.9676481055404595
rh.superiorfrontal,-1.060296308636197
rh.superiorparietal,0.0557526782786928
rh.superiortemporal,0.0516022259148457
rh.supramarginal,1.2549860975356018
rh.frontalpole,-0.7629295438374182
rh.temporalpole,-0.7275099477180781
rh.transversetemporal,3.6234276651436352
rh.insula,-0.4102333374053714
