region,M1
V1_L,0.1181496972508672
MST_L,-0.3761308908998818
V6_L,-0.2738241952160987
V2_L,-0.4189335396879313
V3_L,-0.8081652258231466
V4_L,-0.6165898059480514
V8_L,-0.8328047114770405
4_L,-0.7580308948051862
3b_L,-0.3211999111348124
FEF_L,-0.8430903256138775
PEF_L,-0.528196216733798
55b_L,-1.0279853361628053
V3A_L,-0.3474807779206902
RSC_L,-2.699292017505241
POS2_L,0.6113038356966927
V7_L,0.878463674916937
IPS1_L,0.6351140896341864
FFC_L,-0.1338141968962999
V3B_L,0.1155676079126492
LO1_L,-0.7072176644400541
LO2_L,-1.0300916245372629
PIT_L,-0.4906540282318582
MT_L,0.7769889483835584
A1_L,0.8459042132877987
PSL_L,-0.7824139864385363
SFL_L,-0.1563252844137107
PCV_L,1.4776376852455857
STV_L,-0.4528049570134648
7Pm_L,0.7008959928903972
7m_L,1.7783200810748077
POS1_L,0.6250513751775669
23d_L,0.5329429129648938
v23ab_L,0.2802395938158061
d23ab_L,0.9191450222868536
31pv_L,-0.3285816311678263
5m_L,-0.1149057023192947
5mv_L,-1.024869721488699
23c_L,-1.2345966496272816
5L_L,-0.8195457960850576
24dd_L,0.4988876335315302
24dv_L,-1.3798416395762223
7AL_L,-0.1724762063826135
SCEF_L,-0.7106105298435478
6ma_L,-0.7143432766464726
7Am_L,0.0569848772812
7Pl_L,-1.1483510368618397
7PC_L,-1.4286897938561796
LIPv_L,0.7162625074252106
VIP_L,-1.742480641105451
MIP_L,0.2068771938023529
1_L,-2.6395092882368045
2_L,0.3376423149673853
3a_L,-1.704734581268554
6d_L,-1.9510176694674983
6mp_L,-1.3511410588541313
6v_L,0.1616084629003369
p24pr_L,0.4880314550397229
33pr_L,-1.1925253954987751
a24pr_L,-0.2164866375560298
p32pr_L,-0.9393742999767076
a24_L,0.3084034435973287
d32_L,-0.6056362163536351
8BM_L,-0.5142179119848177
p32_L,-0.7427782207559877
10r_L,0.426422136121963
47m_L,-0.3627595438173986
8Av_L,-0.5404697091633934
8Ad_L,-0.8673017287764782
9m_L,0.1993055077558067
8BL_L,-0.2503802935968849
9p_L,0.3511415472500681
10d_L,0.0843505157967006
8C_L,-0.0933406300414195
44_L,1.036104533679956
45_L,0.4853737967830122
47l_L,0.0510216731089893
a47r_L,-0.0263623341993465
6r_L,0.568148849613764
IFJa_L,-1.235374230349636
IFJp_L,-2.999736398495858
IFSp_L,-0.3844289678190549
IFSa_L,-0.084987676785719
p9-46v_L,0.9429778690158702
46_L,0.742047361772513
a9-46v_L,0.686027868115995
9-46d_L,-0.334626068756775
9a_L,0.2422389204181793
10v_L,0.2605540250537898
a10p_L,0.2245309620090014
10pp_L,-0.5309955585514922
11l_L,-0.4491504665372896
13l_L,-0.5974863127731477
OFC_L,0.1180921994078251
47s_L,-0.4145170363803932
LIPd_L,-0.339125108579146
6a_L,-1.618541087217837
i6-8_L,-0.2784743231446567
s6-8_L,-0.0279438846447092
43_L,0.4668742385652062
OP4_L,0.2778879856856639
OP1_L,-0.1544639437322958
OP2-3_L,-1.220234965359543
52_L,-0.7294732347153833
RI_L,-2.4488285842864035
PFcm_L,0.6715064448481419
PoI2_L,1.5186961735705302
TA2_L,0.249157439268335
FOP4_L,0.711419885898316
MI_L,1.5175291157203492
Pir_L,-0.5169105507655283
AVI_L,-1.0323857434219623
AAIC_L,0.6565281679799939
FOP1_L,0.8321097726528086
FOP3_L,-0.8376185268637594
FOP2_L,-1.1598797566761263
PFt_L,0.6846554649671723
AIP_L,-0.5786663630508649
EC_L,-1.1472149501438105
PreS_L,-3.066255631415934
H_L,-0.8980764866534546
ProS_L,-0.9975868816859192
PeEc_L,0.321338872954697
STGa_L,-0.2934503990659278
PBelt_L,0.2820308387948346
A5_L,0.8419797375321242
PHA1_L,-2.099185585090096
PHA3_L,0.4997098327953936
STSda_L,0.6643844710289745
STSdp_L,-0.0725205382075871
STSvp_L,0.4008274415655286
TGd_L,-0.23686466040756
TE1a_L,0.4581737906026409
TE1p_L,0.881171149249471
