region,CB1
V1_L,-2.076844551619508
MST_L,-1.1415023114604852
V6_L,-1.2995748349052163
V2_L,-1.562306146636136
V3_L,-1.0214079879069282
V4_L,-0.9009718087949136
V8_L,0.0482111268185606
4_L,-0.8387681746981153
3b_L,-0.480142584978012
FEF_L,-0.3554464460342513
PEF_L,-0.2544793317898843
55b_L,0.1248595739047285
V3A_L,-0.8978025039079162
RSC_L,-2.7328623905808933
POS2_L,-0.5925712945183488
V7_L,-0.1118393469677756
IPS1_L,-0.3058125803210095
FFC_L,0.3093192273223099
V3B_L,-0.9858614200651536
LO1_L,-1.1607832433688314
LO2_L,-1.3423637944848554
PIT_L,-0.4625723597503279
MT_L,-0.3638804623992978
A1_L,-0.6136487602126922
PSL_L,0.0109097643798588
SFL_L,-0.2656061592435991
PCV_L,0.6158480396358201
STV_L,0.0800381745007942
7Pm_L,-0.2835058972786249
7m_L,0.2516429107722168
POS1_L,-1.046577791333703
23d_L,0.5608684802455642
v23ab_L,-0.545079066860532
d23ab_L,0.069554627227218
31pv_L,-0.348719621685739
5m_L,-0.5255930625924279
5mv_L,-0.6632508083757851
23c_L,-0.5362962547629004
5L_L,-0.8760528059493697
24dd_L,0.5764607914203459
24dv_L,-0.3079106956278827
7AL_L,-0.3528363425386232
SCEF_L,-0.4772803807584243
6ma_L,-0.5079859374048414
7Am_L,-0.3079839344896614
7Pl_L,-1.0028050029733908
7PC_L,-0.5602660644607966
LIPv_L,-0.3428719515782967
VIP_L,-0.8478632350677651
MIP_L,-0.4243226144070373
1_L,-0.911698019582615
2_L,-0.0816618868731924
3a_L,-1.5377067902901629
6d_L,-0.426578757807237
6mp_L,-1.072611397662634
6v_L,1.0242676079316904
p24pr_L,1.6481469045452946
33pr_L,0.4758322264334637
a24pr_L,1.4730524807475782
p32pr_L,-0.0485146971711666
a24_L,1.5898474107767515
d32_L,0.315509538600879
8BM_L,-0.1553377829161359
p32_L,0.5946337184484681
10r_L,1.2221746919884984
47m_L,0.0389410026491655
8Av_L,0.1428059118808035
8Ad_L,-0.207022122725817
9m_L,0.8249402791162188
8BL_L,0.016687045208515
9p_L,0.9756940348779962
10d_L,0.6196956862326152
8C_L,-0.0205707112481767
44_L,1.3885302768730594
45_L,0.8808094196656544
47l_L,0.6566380360806114
a47r_L,1.0426274838059386
6r_L,0.8140804561911181
IFJa_L,-1.4109948866071826
IFJp_L,-2.138777611756538
IFSp_L,0.1592429134966633
IFSa_L,0.8312855090420378
p9-46v_L,1.3356128377723917
46_L,1.4267942535192597
a9-46v_L,1.2504333148242952
9-46d_L,0.6413535105636271
9a_L,0.8518097170802024
10v_L,0.0749592530082287
a10p_L,1.0734557498646151
10pp_L,-0.5779063233159106
11l_L,0.3284115683613006
13l_L,0.198331408374507
OFC_L,0.5709395315053337
47s_L,0.4350304820072708
LIPd_L,-1.346273251985488
6a_L,-1.1645072807484238
i6-8_L,-0.179951149156032
s6-8_L,-0.0770648041405625
43_L,1.2772577790531472
OP4_L,1.0459188097732648
OP1_L,-0.2456105104237247
OP2-3_L,-1.2286176632857022
52_L,-0.8358133292187025
RI_L,-2.5031912342669678
PFcm_L,0.4490386907847934
PoI2_L,2.0135449475996605
TA2_L,1.0283700070737267
FOP4_L,1.0409209832030508
MI_L,1.775642601420126
Pir_L,1.786134712972982
AVI_L,-0.5480482192476489
AAIC_L,1.9367608358154824
FOP1_L,1.431207637833769
FOP3_L,-0.3347261271127657
FOP2_L,-0.3681395114623103
PFt_L,1.3838572910850355
AIP_L,-0.849417422017791
EC_L,-0.3672210582068512
PreS_L,-1.420766749616533
H_L,0.6946202114385113
ProS_L,-1.9925226666415603
PeEc_L,0.6702237072784538
STGa_L,1.0819117319820557
PBelt_L,-0.107313101161004
A5_L,1.1107864733941264
PHA1_L,-0.6242181510724797
PHA3_L,0.5184397803959937
STSda_L,1.203536358982512
STSdp_L,-0.4086084133746455
STSvp_L,0.0799766416952184
TGd_L,1.3884412627192932
TE1a_L,1.0196429489836132
TE1p_L,0.906592078827618
TE2a_L,0.4451391120594372
TF_L,0.5106422481553016
TE2p_L,0.1538776052368031
PHT_L,0.0590055879927985
PH_L,-0.2420022009220707
TPOJ1_L,0.1028229170949519
TPOJ2_L,0.3232255957261766
TPOJ3_L,0.307754632375227
DVT_L,-0.9593979252122738
PGp_L,-0.1907390313835577
IP2_L,-0.0319824821054637
IP1_L,0.3045522269912121
IP0_L,0.2850220274283173
PFop_L,1.129112436698453
PF_L,-0.3942200884661845
PFm_L,0.2381640351708778
PGi_L,-0.0561709983500719
PGs_L,0.1038235776941576
V6A_L,-0.3977801571839376
VMV1_L,-0.518606488625101
VMV3_L,-0.2621001088209408
PHA2_L,0.8841914641847324
V4t_L,-0.8272648950669561
FST_L,-0.2812196405665798
V3CD_L,-0.7392120373763452
LO3_L,-0.0785207079704773
VMV2_L,-1.0835914904928718
31pd_L,-0.5865189228610959
31a_L,1.4703816286595115
VVC_L,0.4144056339875117
25_L,1.4970241962701143
s32_L,1.4573161322002663
pOFC_L,0.9821524312261648
PoI1_L,1.0582615823839998
Ig_L,-1.117990151582678
FOP5_L,-0.9513134501162472
p10p_L,0.4750773501603479
p47r_L,1.6093340270248235
TGv_L,0.9314839985948282
MBelt_L,-0.1974766142611122
LBelt_L,-1.7076415202441202
A4_L,0.683035827961619
STSva_L,0.6180523959682884
TE1m_L,0.8571865566239373
PI_L,1.2222315457442972
a32pr_L,0.5127761954379467
p24_L,1.4122150771952493
V1_R,-2.060578063604109
MST_R,-0.8567078039440975
