region,A4B2
V1_L,-1.6088919399010837
MST_L,-0.1781131405420667
V6_L,-0.751104201211052
V2_L,-1.327677632535638
V3_L,-1.3044562781636748
V4_L,-1.1482508668954623
V8_L,0.3030715815468892
4_L,0.3115922585385691
3b_L,0.2866416947298885
FEF_L,0.8505794622786766
PEF_L,1.2263763060921435
55b_L,0.1582331097899558
V3A_L,-1.4767520676061237
RSC_L,-1.782514776640835
POS2_L,-0.0604173982781712
V7_L,-0.0464183676853238
IPS1_L,0.4604211225691826
FFC_L,-0.4396259952566843
V3B_L,0.2493826943205523
LO1_L,-2.1135885605279405
LO2_L,-2.515767514799259
PIT_L,-1.5650408686876016
MT_L,0.2957832059065748
A1_L,0.1938605973841002
PSL_L,-1.5614929084267073
SFL_L,0.6465457465764103
PCV_L,0.5190050542538293
STV_L,-1.37682631148859
7Pm_L,-0.0009113258743893
7m_L,0.7605952640118769
POS1_L,-0.4631454034126692
23d_L,1.288951990335765
v23ab_L,-0.5395648785763434
d23ab_L,0.8254696482105545
31pv_L,0.8758917864314517
5m_L,-0.7886157141840698
5mv_L,0.221923905420188
23c_L,0.3148394201981663
5L_L,-1.6257702201718638
24dd_L,0.8656323475838407
24dv_L,1.298717539044636
7AL_L,-0.417810888272441
SCEF_L,0.950019093316522
6ma_L,0.1950310834841943
7Am_L,-1.0898097391939925
7Pl_L,-2.036866951769125
7PC_L,-2.084585079576248
LIPv_L,0.5008021135197527
VIP_L,-2.639370592537281
MIP_L,0.1961014226285211
1_L,-2.4841769837868326
2_L,0.2868693222102574
3a_L,0.1698508056164347
6d_L,-0.4984318929488445
6mp_L,0.0888100191390146
6v_L,1.1208984730038285
p24pr_L,1.075884170284904
33pr_L,0.6451519585807034
a24pr_L,0.9110861643458192
p32pr_L,1.2625575604073065
a24_L,0.009283189807043
d32_L,0.899250302140149
8BM_L,0.9580668122811842
p32_L,0.3403285526142761
10r_L,0.505374353822802
47m_L,0.3010064744549537
8Av_L,0.6388013755337478
8Ad_L,0.7994652840886626
9m_L,0.5681863259525753
8BL_L,0.59762346027901
9p_L,0.8214008112217285
10d_L,0.0986772697440485
8C_L,1.4511185470780537
44_L,1.6823330215940977
45_L,1.150440718929847
47l_L,0.3798834112579662
a47r_L,0.5231236751067029
6r_L,1.202638939582928
IFJa_L,0.7465028308966857
IFJp_L,0.3780356821763478
IFSp_L,1.192523579582174
IFSa_L,1.2220500318261742
p9-46v_L,1.7587693100568695
46_L,1.4407291851884838
a9-46v_L,1.1627653453874245
9-46d_L,0.6215026021648524
9a_L,0.6452015443628508
10v_L,-0.6864917997006381
