region,mGluR5
V1_L,-1.084471429756709
MST_L,0.2796860463919755
V6_L,-0.6496533314690771
V2_L,-0.9290270901902858
V3_L,-1.217230619531821
V4_L,-1.502783730285309
V8_L,-0.6491629340461139
4_L,-0.9806367769217618
3b_L,-0.9448709843190154
FEF_L,-0.26057268078368
PEF_L,0.2786788212678069
55b_L,-1.602495255823873
V3A_L,-1.4140223699165937
RSC_L,-1.6481901548325495
POS2_L,0.4557755326378029
V7_L,-0.1909049431992874
IPS1_L,-0.0447821609105947
FFC_L,0.0197100802012358
V3B_L,-0.7403588188658419
LO1_L,-1.524237595738856
LO2_L,-1.5798448016818998
PIT_L,-1.1835047811318349
MT_L,0.7503830754183575
A1_L,1.5553373154885726
PSL_L,-0.013595765466689
SFL_L,-0.6841652803503371
PCV_L,1.2807551522019738
STV_L,-0.3700652063029406
7Pm_L,0.5749043338186837
7m_L,1.545390325680729
POS1_L,0.3821971776047901
23d_L,1.7894522362661405
v23ab_L,0.9179628087961652
d23ab_L,1.713254268503786
31pv_L,0.1853111992977363
5m_L,-0.426201739485796
5mv_L,-0.8934638489310961
23c_L,0.0369673208897347
5L_L,-1.6810809396497
24dd_L,0.2331135367046758
24dv_L,-0.4920145449555067
7AL_L,-0.7287202144378258
SCEF_L,-0.0016485065076117
6ma_L,-1.2942413559079913
7Am_L,-0.095332785394236
7Pl_L,-1.14722589634062
7PC_L,-1.383136412036057
LIPv_L,-0.2097425444954678
VIP_L,-1.756398658729582
MIP_L,-0.31432106101508
1_L,-2.6830376226694663
2_L,-0.2885864113315453
3a_L,-0.9745330490394206
6d_L,-2.0667915269931885
6mp_L,-1.1411116318680037
6v_L,-2.308013411642028
p24pr_L,1.8169450923268573
33pr_L,-0.5353405860856548
a24pr_L,1.5324371888135246
p32pr_L,0.1968494139632687
a24_L,1.6135645432254044
d32_L,0.4647741469738837
8BM_L,0.1378046854260458
p32_L,-0.1395163476027745
10r_L,1.04568630660092
47m_L,-0.1113550893236079
8Av_L,-1.1797799697609368
8Ad_L,-0.0194096445614824
9m_L,0.4327992481787994
8BL_L,-1.0913446463638543
9p_L,-0.1135382317481878
10d_L,-0.4929956405914373
8C_L,0.0393940962885664
44_L,0.2383099905175166
45_L,-0.638809137900629
47l_L,-0.6757512275845142
a47r_L,-0.958703443906856
6r_L,0.7630219993089111
IFJa_L,0.5984105728966721
IFJp_L,-0.1732704989654553
IFSp_L,-0.0935864173090035
IFSa_L,-0.0238727959214419
p9-46v_L,-0.7035178467144529
46_L,0.0175503551796677
a9-46v_L,-0.1888161717547798
9-46d_L,0.1236516350387502
9a_L,-0.5789035248728739
10v_L,-0.151948427019863
a10p_L,-0.4276934581340418
10pp_L,-1.5051398320218352
11l_L,-0.568511786701634
13l_L,-0.4171533868294939
OFC_L,-0.4302545954803785
47s_L,0.0457873659879965
LIPd_L,-0.5799562401262867
6a_L,-0.2009642318730247
i6-8_L,-0.1383182099035282
s6-8_L,-0.8510864780509809
43_L,0.3358220104934337
OP4_L,0.3518420491284627
OP1_L,1.5931179965724898
OP2-3_L,0.9146244737697676
52_L,-0.7960312864175718
