region,M1
lh.bankssts,-0.5299532010538385
lh.caudalanteriorcingulate,0.372917116737714
lh.caudalmiddlefrontal,-0.6523635021801173
lh.cuneus,-1.1557706193161676
lh.entorhinal,-1.3419118040045237
lh.fusiform,-1.3729848795208766
lh.inferiorparietal,-1.3746377844001134
lh.inferiortemporal,0.3704866860043301
lh.isthmuscingulate,-1.3723444668612776
lh.lateraloccipital,0.8783107479050849
lh.lateralorbitofrontal,0.1398121789467114
lh.lingual,1.0042385042264228
lh.medialorbitofrontal,-1.343459344276685
lh.middletemporal,-0.1715969324299264
lh.parahippocampal,1.1315718259685208
lh.paracentral,-0.4125427138063123
lh.parsopercularis,-1.3034939865643511
lh.parsorbitalis,-0.9148412191583332
lh.parstriangularis,-0.7165102870691448
lh.pericalcarine,-1.0288335553948065
lh.postcentral,-0.539568828442248
lh.posteriorcingulate,-0.4542224571697915
lh.precentral,0.5115925178013686
lh.precuneus,1.8639775249938264
lh.rostralanteriorcingulate,0.5413848779650046
lh.rostralmiddlefrontal,0.3578154108695163
lh.superiorfrontal,-1.3194408436649503
lh.superiorparietal,-0.7088674729601365
lh.superiortemporal,-1.2525428532526908
lh.supramarginal,0.8264540394565659
lh.frontalpole,0.0510256828307446
lh.temporalpole,0.9497789723420677
lh.transversetemporal,1.7802210703485897
lh.insula,-0.2863801951632935
rh.bankssts,0.470183426073848
rh.caudalanteriorcingulate,0.1130208457778575
rh.caudalmiddlefrontal,-0.1987972998983018
rh.cuneus,-1.361143996254667
rh.entorhinal,-1.279160578151031
rh.fusiform,0.2207369390385342
rh.inferiorparietal,-0.8125871273449227
rh.inferiortemporal,1.1659686045751674
rh.isthmuscingulate,-0.7985289655016101
rh.lateraloccipital,-0.3581174626533356
rh.lateralorbitofrontal,0.0281273053205752
rh.lingual,0.5765711259715833
rh.medialorbitofrontal,0.6538664712056211
rh.middletemporal,-1.4239463913283517
rh.parahippocampal,0.98430717725359
rh.paracentral,0.4784343517935561
rh.parsopercularis,1.2240094174718
rh.parsorbitalis,2.6373422466122536
rh.parstriangularis,0.4390135088939523
rh.pericalcarine,0.2868409305657627
rh.postcentral,-0.2610436223896928
rh.posteriorcingulate,0.3650518426596495
rh.precentral,0.9174134499897588
rh.precuneus,3.2323362168886858
rh.rostralanteriorcingulate,0.57292970770447
rh.rostralmiddlefrontal,0.3854068739238895
rh.superiorfrontal,-0.5421324556769321
rh.superiorparietal,0.321353674906208
rh.superiortemporal,0.7522202179064498
rh.supramarginal,0.6578414487123616
rh.frontalpole,-1.49987409575334
rh.temporalpole,0.5236090253459754
rh.transversetemporal,-0.6149457043656225
rh.insula,-0.3836273189806219
