region,MOR
lh.bankssts,1.3348269372015729
lh.caudalanteriorcingulate,0.1865022794919131
lh.caudalmiddlefrontal,-1.6871372460156118
lh.cuneus,0.4960731201897487
lh.entorhinal,-0.0976427936998413
lh.fusiform,-0.4376861584155305
lh.inferiorparietal,0.1300929282643968
lh.inferiortemporal,-0.6138745893708825
lh.isthmuscingulate,-1.538590746146376
lh.lateraloccipital,0.6486335269254784
lh.lateralorbitofrontal,-1.539676414416294
lh.lingual,1.0917704190950606
lh.medialorbitofrontal,-0.0890660217510006
lh.middletemporal,-0.6359693780192825
lh.parahippocampal,-0.5212349721053354
lh.paracentral,0.4379629100364764
lh.parsopercularis,-0.1836425184788038
lh.parsorbitalis,0.0555551708997844
lh.parstriangularis,-2.126531956513334
lh.pericalcarine,-0.796123592325196
lh.postcentral,0.5899374637892336
lh.posteriorcingulate,-0.4699178790562474
lh.precentral,-0.3816117451095002
lh.precuneus,1.4526191020399688
lh.rostralanteriorcingulate,0.369243513432641
lh.rostralmiddlefrontal,0.5125231771596566
lh.superiorfrontal,-0.8768903840775365
lh.superiorparietal,0.0391142038101837
lh.superiortemporal,0.0640119100656734
lh.supramarginal,-0.4063282328046089
lh.frontalpole,0.5033626888463861
lh.temporalpole,-0.5461825695803744
lh.transversetemporal,1.0753656645277028
lh.insula,2.4335133219296297
rh.bankssts,1.5562309524803692
rh.caudalanteriorcingulate,0.3810920421464167
rh.caudalmiddlefrontal,-1.9410389836309956
rh.cuneus,0.1188654023903842
rh.entorhinal,-0.2614895236702941
rh.fusiform,-0.5580284952765315
rh.inferiorparietal,0.2023792941851873
rh.inferiortemporal,-0.4099866514747227
rh.isthmuscingulate,-1.6862576451306184
rh.lateraloccipital,0.7931096544604329
rh.lateralorbitofrontal,-1.6443192108994138
rh.lingual,1.1672358646030887
rh.medialorbitofrontal,0.3302728574312984
rh.middletemporal,-0.8177633810453542
rh.parahippocampal,-0.2507310295264485
rh.paracentral,0.6768838783592859
rh.parsopercularis,0.2922876624207285
rh.parsorbitalis,0.4368000977834519
rh.parstriangularis,-2.22014593532056
rh.pericalcarine,-0.6640641355280655
rh.postcentral,0.8899003905666445
rh.posteriorcingulate,-0.3942415459776776
rh.precentral,-0.3257209593717627
rh.precuneus,1.9618164476883853
rh.rostralanteriorcingulate,0.7098138827133162
rh.rostralmiddlefrontal,0.6420329031622208
rh.superiorfrontal,-0.9333120436128516
rh.superiorparietal,0.175181468525028
rh.superiortemporal,0.2119460096575393
rh.supramarginal,-0.3949604179818616
rh.frontalpole,0.5272744510987221
rh.temporalpole,-0.8910820695304839
rh.transversetemporal,1.0663868678089816
rh.insula,2.780630760676412
