region,NET
V1_L,-0.3804914024872648
MST_L,-0.1271418304428355
V6_L,0.2201576284320268
V2_L,-0.3423115399710877
V3_L,-0.37014740613315
V4_L,-0.3053016858675128
V8_L,0.4113682495130517
4_L,2.5009270702956083
3b_L,2.071503328252636
FEF_L,1.014705574812943
PEF_L,1.082576616676456
55b_L,-0.5196657370749297
V3A_L,-0.2700227130960629
RSC_L,-1.7803674548507409
POS2_L,0.4981517057485982
V7_L,0.7300838489913982
IPS1_L,0.6125211945724639
FFC_L,-0.1804614774000973
V3B_L,0.4474479423145594
LO1_L,-1.1413476767392683
LO2_L,-1.3553027682253551
PIT_L,-0.6204010138010461
MT_L,0.5001437267170339
A1_L,1.550145041265332
PSL_L,-1.1323072474606706
SFL_L,-0.4553243484197326
PCV_L,0.9564693444040075
STV_L,-1.1814697777856835
7Pm_L,0.438068087131972
7m_L,0.9681238364437712
POS1_L,-0.0170901012725787
23d_L,1.1594707635226769
v23ab_L,-0.3070909565184381
d23ab_L,0.3430929474782686
31pv_L,0.3468123781725745
5m_L,1.4171817791315346
5mv_L,0.7063929584582507
23c_L,0.56951560202761
5L_L,-0.8948252500519114
24dd_L,2.093228290312506
24dv_L,0.9330125047800928
7AL_L,-0.0247931049519876
SCEF_L,0.9446180201959408
6ma_L,-0.991112236971214
7Am_L,-0.3869381536908773
7Pl_L,-1.829340283202858
7PC_L,-1.7534919293221438
LIPv_L,0.4628157530885444
VIP_L,-2.2925034402588578
MIP_L,0.2189314706864112
1_L,-1.90234229992826
2_L,1.0177153165147932
3a_L,1.809498187068448
6d_L,-0.3572893006919111
6mp_L,1.752553917774132
6v_L,0.4081664000670867
p24pr_L,1.6359370114061769
33pr_L,0.1945329422645101
a24pr_L,0.6418919418704208
p32pr_L,0.4931583115976353
a24_L,0.0751518418206759
d32_L,0.3004995995859821
8BM_L,0.2052434542338402
p32_L,0.1823369745249289
10r_L,0.1729216717417787
47m_L,-0.4952475890851158
8Av_L,-1.2372155214879328
8Ad_L,-0.4128135533259717
9m_L,-0.4036104408559403
8BL_L,-1.439350083639571
9p_L,-0.7785585516719623
10d_L,-1.577450481617807
8C_L,0.2919118801569703
44_L,1.1566359119541023
45_L,0.3993871968812489
47l_L,-0.3296964932994149
a47r_L,-1.4408791193538537
6r_L,1.040735024568514
IFJa_L,-0.1824305465910257
IFJp_L,-0.4797957938051342
IFSp_L,0.4646338089547614
IFSa_L,0.6659143333184131
p9-46v_L,0.2124733553909622
46_L,-0.4230942278440895
a9-46v_L,-0.7106170715475016
9-46d_L,-0.1432690559584895
9a_L,-1.316805656024217
10v_L,-1.6948819491553515
a10p_L,-0.9127109134555368
10pp_L,-2.506465475761005
11l_L,-0.7094777384387437
13l_L,-1.052983885112717
OFC_L,-1.386679866700379
47s_L,-1.5157267769964535
LIPd_L,0.0620175392592238
6a_L,0.3320123695907035
i6-8_L,0.2659487384077276
s6-8_L,-1.2217855024575797
43_L,1.1571621892595534
OP4_L,1.1926826744341517
OP1_L,1.057171031970038
OP2-3_L,0.4845269406897307
52_L,-0.1491085528367563
RI_L,-0.601262763206354
PFcm_L,0.9577083336000466
PoI2_L,0.752565696221579
TA2_L,-0.4968394642534575
FOP4_L,0.4176148070236314
MI_L,0.6420464455654568
Pir_L,-0.379807102048824
AVI_L,-0.4829124345166607
AAIC_L,-0.0447453590886655
FOP1_L,0.955959097150092
FOP3_L,-0.2036420615930661
FOP2_L,0.3090453775572114
PFt_L,1.2564337525520826
AIP_L,0.1335736291737111
EC_L,-2.1277544583865784
PreS_L,-1.1313655505214535
H_L,-0.8043511457711496
ProS_L,-0.692323152960034
PeEc_L,-1.3693040462272617
STGa_L,-1.944551564833837
PBelt_L,1.131577417816711
A5_L,0.1834332479768404
PHA1_L,-0.7899591739958113
PHA3_L,-0.6200931762318677
STSda_L,-0.0598609492055744
STSdp_L,0.0082969763135825
STSvp_L,0.0815228027502788
TGd_L,-2.0768981488381617
TE1a_L,-0.958217201526294
TE1p_L,0.2079155720559697
TE2a_L,-0.7118545928211121
TF_L,-0.8068891304497947
TE2p_L,-0.3994226521535075
PHT_L,-0.4732406433187202
PH_L,-0.1152297128350333
TPOJ1_L,0.2869323895663913
TPOJ2_L,-0.2192147860490697
TPOJ3_L,0.4040879080363597
DVT_L,0.4822515883020755
PGp_L,-1.4421632849032873
IP2_L,0.5210005649454493
IP1_L,0.922923259835574
IP0_L,0.9228913032315056
PFop_L,0.0087180459844267
PF_L,-1.9792160627590063
PFm_L,-2.194473634736846
PGi_L,-0.8642283802061342
PGs_L,-2.664019721449069
V6A_L,-1.960043865689569
VMV1_L,-0.1548471081170779
VMV3_L,0.4568438309336095
PHA2_L,-0.2005959940612486
V4t_L,-0.6991078504769274
FST_L,0.4614393274646823
V3CD_L,0.0037855148345756
LO3_L,-0.4245532574576038
VMV2_L,-0.5242425212738281
31pd_L,0.2798285469684825
31a_L,1.375802777103426
VVC_L,0.1371850626981497
25_L,-0.7159843467387274
s32_L,-0.2765254325738885
pOFC_L,-1.3079599728057032
PoI1_L,0.4331917653659429
Ig_L,0.6140106634318345
FOP5_L,-0.5089824880797789
p10p_L,-1.6008732051888022
p47r_L,0.7397693201495358
TGv_L,-2.368727111251328
MBelt_L,0.8278002137144225
LBelt_L,0.3360234635388885
A4_L,0.0714254357721672
STSva_L,-0.1184816299277984
TE1m_L,-0.2081714038912059
PI_L,-0.4556168384655851
a32pr_L,0.3580116761819485
p24_L,0.1822282366784706
V1_R,-0.0565604590266639
MST_R,0.4340746043029719
V6_R,0.3459608143116548
