region,fa
V1_L,0.13269197660550575
MST_L,0.1296989945276627
V6_L,0.12198610270804004
V2_L,0.13431776658826025
V3_L,0.1353469630677489
V4_L,0.13635948097330056
V8_L,0.14801335274336563
4_L,0.14859892435349364
3b_L,0.11787527379941823
FEF_L,0.1351193139388042
PEF_L,0.12961750958411483
55b_L,0.14183678432930788
V3A_L,0.13169518130418165
RSC_L,0.17167905952345286
POS2_L,0.14167824032866222
V7_L,0.12773987996162825
IPS1_L,0.11970321833996339
FFC_L,0.1414121527240261
V3B_L,0.12261713663785734
LO1_L,0.13202627494980246
LO2_L,0.1383803570824742
PIT_L,0.14135117379288295
MT_L,0.1318867290624716
A1_L,0.1278173132719587
PSL_L,0.133688651387877
SFL_L,0.14397967580180335
PCV_L,0.14041552604641425
STV_L,0.1410031883872548
7Pm_L,0.1385452070797652
7m_L,0.1398936100490046
POS1_L,0.16019218354880388
23d_L,0.13662830014003474
v23ab_L,0.1497225975048143
d23ab_L,0.14583085029976328
31pv_L,0.135758876053818
5m_L,0.14783252767784075
5mv_L,0.12840139151970295
23c_L,0.12769117060014298
5L_L,0.13692067041583117
24dd_L,0.14797507791208836
24dv_L,0.1365392098514697
7AL_L,0.13418371947453295
SCEF_L,0.15072232264594956
6ma_L,0.1387715085704293
7Am_L,0.1400880952466019
7Pl_L,0.1404592836629129
7PC_L,0.1345009013895549
LIPv_L,0.13348186742706183
VIP_L,0.13875494670749805
MIP_L,0.13130006568860378
1_L,0.13971146628544073
2_L,0.1316566768832896
3a_L,0.11048184249881635
6d_L,0.1386607823606459
6mp_L,0.13704812327429394
6v_L,0.14681779224331212
p24pr_L,0.13945991001233538
33pr_L,0.16264764264547557
a24pr_L,0.13400382739327066
p32pr_L,0.13824383087631054
a24_L,0.14926774688903358
d32_L,0.14918538092880432
8BM_L,0.1560777939779162
p32_L,0.14307968737638072
10r_L,0.13636538718117783
47m_L,0.14132212700076174
8Av_L,0.13721951675855648
8Ad_L,0.12788374385641835
9m_L,0.15290919821332963
8BL_L,0.14112366762391698
9p_L,0.13165965272863073
10d_L,0.13892470160195494
8C_L,0.14035901400033532
44_L,0.14735416229562975
45_L,0.14732780836528564
47l_L,0.14369834071576412
a47r_L,0.13720895343882067
6r_L,0.14015418876550237
IFJa_L,0.13180179741862674
IFJp_L,0.1319044917878041
IFSp_L,0.12913890396896255
IFSa_L,0.12929368661149282
p9-46v_L,0.13879280338639355
46_L,0.13353071582510875
a9-46v_L,0.13121573201534506
9-46d_L,0.12900350977127095
9a_L,0.13088461641758428
10v_L,0.14182461680576489
a10p_L,0.12380305645251986
10pp_L,0.1358205485485454
11l_L,0.13479580264378593
13l_L,0.12931552633580257
OFC_L,0.14389803509321467
47s_L,0.15210618843346005
LIPd_L,0.1235806278113859
6a_L,0.12554135382479148
i6-8_L,0.1306288762245832
s6-8_L,0.1352336238283437
43_L,0.1504771485611748
OP4_L,0.15286665991370507
OP1_L,0.15454082799597696
OP2-3_L,0.15109875765441003
52_L,0.12193846491518985
RI_L,0.13382671098529256
PFcm_L,0.14685430156588686
PoI2_L,0.15897867492158388
TA2_L,0.1397945570335326
FOP4_L,0.1494505464757242
MI_L,0.14749790759287595
