region,mkt
V1_L,0.6779300229014706
MST_L,0.6139279927033832
V6_L,0.6035208974978892
V2_L,0.6633232231193879
V3_L,0.6381081406972672
V4_L,0.632966967361698
V8_L,0.6436971031381346
4_L,0.7050556698510567
3b_L,0.6530377327910375
FEF_L,0.6270765533916705
PEF_L,0.6046470608608281
55b_L,0.6129556692028003
V3A_L,0.6172678321002829
RSC_L,0.763332395449376
POS2_L,0.61724038626019
V7_L,0.6459039399555472
IPS1_L,0.6205512403238761
FFC_L,0.6403096142076441
V3B_L,0.5892610332914854
LO1_L,0.5803910619821445
LO2_L,0.6026106199096924
PIT_L,0.6189665199978941
MT_L,0.616240678218681
A1_L,0.7400232156591423
PSL_L,0.5612492216520593
SFL_L,0.6083741125628233
PCV_L,0.5823177955917953
STV_L,0.5672834270212308
7Pm_L,0.562255699259668
7m_L,0.5970281793987599
POS1_L,0.6716769414501801
23d_L,0.6658376769907215
v23ab_L,0.6599742952236795
d23ab_L,0.6680452698771577
31pv_L,0.6188883430373877
5m_L,0.6635024126587884
5mv_L,0.6004238992788719
23c_L,0.6046245580081923
5L_L,0.5832783824377723
24dd_L,0.6756755099826214
24dv_L,0.6431222106701006
7AL_L,0.5825264694495884
SCEF_L,0.6392794697844645
6ma_L,0.6194402926869915
7Am_L,0.5563166562105566
7Pl_L,0.5783145229491014
7PC_L,0.6058330156279756
LIPv_L,0.6395328634520222
VIP_L,0.5943068840599545
MIP_L,0.602695075247196
1_L,0.6473505475499077
2_L,0.6328433298760219
3a_L,0.6732220825999049
6d_L,0.6502207220130358
6mp_L,0.6493043722795007
6v_L,0.5839191148407132
p24pr_L,0.6374930566827813
33pr_L,0.6765382313071064
a24pr_L,0.622198000149635
p32pr_L,0.6332925569824088
a24_L,0.6579878566285128
d32_L,0.5917065442646584
8BM_L,0.5996238511731512
p32_L,0.6367478153794891
10r_L,0.6851970938157562
47m_L,0.7103869970240305
8Av_L,0.5983219031867295
8Ad_L,0.6018174019543199
9m_L,0.5654454179834242
8BL_L,0.5784513505233398
9p_L,0.5688786460981831
10d_L,0.5721384669540587
8C_L,0.6149898233754568
44_L,0.6101175410906992
45_L,0.6242011942331559
47l_L,0.6274596531245921
a47r_L,0.6008834071839424
6r_L,0.592311206934557
IFJa_L,0.6303441188449932
IFJp_L,0.6225484573144525
IFSp_L,0.6141786486101222
IFSa_L,0.5944278533191916
p9-46v_L,0.5936528825100054
46_L,0.5709611801353239
a9-46v_L,0.5811610115382647
9-46d_L,0.5780282445242055
9a_L,0.5616737982709308
10v_L,0.741391715078858
a10p_L,0.5960354131499361
10pp_L,0.6797335379654074
11l_L,0.6866008898378136
13l_L,0.7807226266740637
OFC_L,0.8320724125057067
47s_L,0.7035909606086942
LIPd_L,0.6213262221099891
6a_L,0.6386791909370211
i6-8_L,0.6166042742970566
s6-8_L,0.6108496174011586
43_L,0.6220614820355465
OP4_L,0.6109435071745474
OP1_L,0.6577429062248642
OP2-3_L,0.6940861392165375
52_L,0.6666704118026979
RI_L,0.6762684741576696
PFcm_L,0.6183541821491276
PoI2_L,0.6529707166331786
TA2_L,0.6261955073317209
FOP4_L,0.653681770931021
MI_L,0.6299296024291604
Pir_L,0.7332104861014377
AVI_L,0.6740179546219468
AAIC_L,0.6722877962739375
FOP1_L,0.6437725605025603
FOP3_L,0.6542243960593275
FOP2_L,0.6578640552800801
PFt_L,0.555578380421346
AIP_L,0.6014662719281677
EC_L,0.8032117289757706
PreS_L,0.8093292390543899
H_L,0.7135874087951313
ProS_L,0.6897228699179982
PeEc_L,0.7522554032704019
STGa_L,0.5926167213572127
PBelt_L,0.6350273427193854
A5_L,0.6082205076001903
PHA1_L,0.7119354355862629
PHA3_L,0.679358219816177
STSda_L,0.6167095502387071
STSdp_L,0.6053242126201301
STSvp_L,0.556398673012764
TGd_L,0.6739788390572257
TE1a_L,0.5977193535098563
TE1p_L,0.5651272797091568
TE2a_L,0.6576260782873133
TF_L,0.7364500143616103
TE2p_L,0.6588153626141062
PHT_L,0.5482743116279798
PH_L,0.5802614731625738
TPOJ1_L,0.5908589290629651
TPOJ2_L,0.5687212783194667
TPOJ3_L,0.5737247797312391
DVT_L,0.5916075270746054
PGp_L,0.5587979246253174
IP2_L,0.5609885559324862
IP1_L,0.5667608679239291
IP0_L,0.5436802952634411
PFop_L,0.5650291860668093
PF_L,0.5607532205335193
PFm_L,0.5517648158583336
PGi_L,0.5588095874820167
PGs_L,0.5578613476407198
V6A_L,0.5821577759002321
VMV1_L,0.71363988397062
VMV3_L,0.6559446961715683
PHA2_L,0.672792102194963
V4t_L,0.5979214831152563
FST_L,0.5703177448680876
V3CD_L,0.582601800500944
LO3_L,0.5710998153366275
VMV2_L,0.6744961485664401
31pd_L,0.602626219366774
31a_L,0.6064732243211333
VVC_L,0.6841919354949849
25_L,0.789286121264862
s32_L,0.7601556329704305
pOFC_L,0.8029589106303787
PoI1_L,0.6495433299110811
Ig_L,0.6874513049281935
FOP5_L,0.6781040958666014
p10p_L,0.5969003336218828
p47r_L,0.5800989504406044
TGv_L,0.7350764212773024
MBelt_L,0.7128858322321087
LBelt_L,0.6968669544689128
A4_L,0.5994279589235196
STSva_L,0.5921789793371642
TE1m_L,0.586235274011069
PI_L,0.6457577102234073
a32pr_L,0.6108861085677461
p24_L,0.6094127283661414
V1_R,0.6768496708858074
MST_R,0.6001430192061683
V6_R,0.6190680925085229
V2_R,0.6620125424385827
V3_R,0.6271628614412171
V4_R,0.6138983571975498
V8_R,0.6401116969679121
4_R,0.7025769387765538
3b_R,0.6825352131647686
FEF_R,0.634161742872222
PEF_R,0.6180074719233152
55b_R,0.6086263512438862
V3A_R,0.5984461658044457
RSC_R,0.7727921371637096
POS2_R,0.6111296748410606
V7_R,0.5942174271613055
IPS1_R,0.5738660415761518
FFC_R,0.6472950558990077
V3B_R,0.5732248977815341
LO1_R,0.5705013727589956
LO2_R,0.5876268042857248
PIT_R,0.6025693843745407
MT_R,0.5918842945155888
A1_R,0.7266824560696215
PSL_R,0.5377320973125002
SFL_R,0.6214733523784626
PCV_R,0.6018595038481753
STV_R,0.5568513379295262
7Pm_R,0.57510117184995
7m_R,0.6125872094064286
POS1_R,0.6623489213042384
23d_R,0.6773087311475828
v23ab_R,0.6777310000937687
d23ab_R,0.6685137546015907
31pv_R,0.6301869440958058
5m_R,0.6790605800583958
5mv_R,0.6401817664226239
23c_R,0.6167341162477183
5L_R,0.5993255473231051
24dd_R,0.698467665636433
24dv_R,0.6730921506599548
7AL_R,0.5611701302238552
SCEF_R,0.6733293377025186
6ma_R,0.6191663940206882
7Am_R,0.566521957237179
7Pl_R,0.5590727308759035
7PC_R,0.5730978982778271
LIPv_R,0.5964944835121845
VIP_R,0.5653790107364562
MIP_R,0.5682145601992675
1_R,0.6313910287119817
2_R,0.6050248918249429
3a_R,0.6786305115658039
6d_R,0.6530742173556077
6mp_R,0.6518976590195857
6v_R,0.5855081779091618
p24pr_R,0.6495617199742814
33pr_R,0.6931946940810144
a24pr_R,0.6449763926576765
p32pr_R,0.6644575785963488
a24_R,0.6685304514519533
d32_R,0.6350562590585649
8BM_R,0.6446105213950709
p32_R,0.6621253084384838
10r_R,0.7034684332522098
47m_R,0.7336669055562105
8Av_R,0.609456428511862
8Ad_R,0.6107903593022698
9m_R,0.6081532906880903
8BL_R,0.5828494228367177
9p_R,0.5706961452768968
10d_R,0.5949018146239293
8C_R,0.6160571348161373
44_R,0.6143376998987085
45_R,0.6164127444214775
47l_R,0.6284580686356788
a47r_R,0.617952098338455
6r_R,0.6046464689383122
IFJa_R,0.6427922338971201
IFJp_R,0.6357986584523085
IFSp_R,0.6319051425606472
IFSa_R,0.6080442176463389
p9-46v_R,0.6030788197442623
46_R,0.5993709600673406
a9-46v_R,0.6014807473358869
9-46d_R,0.5935530451627993
9a_R,0.5659915862681333
10v_R,0.731200400178215
a10p_R,0.6184475739532556
10pp_R,0.6905481690765782
11l_R,0.6975704060341686
13l_R,0.8003185001231747
OFC_R,0.8175330062908656
47s_R,0.7136218281049815
LIPd_R,0.5767349985875196
6a_R,0.6358066827440397
i6-8_R,0.6322901877900687
s6-8_R,0.6068025079322579
43_R,0.6145749537904582
OP4_R,0.601057844076741
OP1_R,0.6492029378434798
OP2-3_R,0.6759381307708476
52_R,0.6697871055099734
RI_R,0.6418690643793258
PFcm_R,0.5924257031347643
PoI2_R,0.6523846564541752
TA2_R,0.6395807932446576
FOP4_R,0.6657186709634948
MI_R,0.631666340259775
Pir_R,0.7299241790274416
AVI_R,0.6757877840245641
AAIC_R,0.6621306690009457
FOP1_R,0.656539285998532
FOP3_R,0.6558459185514331
FOP2_R,0.6619617575054566
PFt_R,0.5535025180362548
AIP_R,0.5765305453646512
EC_R,0.801979152553359
PreS_R,0.8022642889460652
H_R,0.707278766462907
ProS_R,0.6955062616698455
PeEc_R,0.7472492705243711
STGa_R,0.5928988219656205
PBelt_R,0.6295788165248276
A5_R,0.5860567367350913
PHA1_R,0.709274847342018
PHA3_R,0.6770786104677199
STSda_R,0.598437587502399
STSdp_R,0.5918842762780745
STSvp_R,0.5505690131226292
TGd_R,0.678785873692101
TE1a_R,0.5902928134993369
TE1p_R,0.5573429703535009
TE2a_R,0.6566599466533999
TF_R,0.7363139141416802
TE2p_R,0.6685603148409314
PHT_R,0.5409595764806692
PH_R,0.5789256112237672
TPOJ1_R,0.5681040449789042
TPOJ2_R,0.559756613351532
TPOJ3_R,0.5565998827628825
DVT_R,0.6113303930989821
PGp_R,0.5362254757279064
IP2_R,0.5631701682767125
IP1_R,0.5581538670185041
IP0_R,0.5631209987479989
PFop_R,0.5529193763330803
PF_R,0.5380706551386233
PFm_R,0.5399263773493471
PGi_R,0.5381717527159952
PGs_R,0.5347229612855012
V6A_R,0.5785714889540837
VMV1_R,0.7099678685071834
VMV3_R,0.6650512819865637
PHA2_R,0.6706351050060517
V4t_R,0.58401915403496
FST_R,0.5641583175050621
V3CD_R,0.5597439276393484
LO3_R,0.5608257483755119
VMV2_R,0.6660472261877223
31pd_R,0.6204495735481741
31a_R,0.627941658226974
VVC_R,0.6879430185401556
25_R,0.7716037012266772
s32_R,0.7643950342539589
pOFC_R,0.8049234240670268
PoI1_R,0.6479672992446359
Ig_R,0.670710418292493
FOP5_R,0.6840582839410771
p10p_R,0.603288514549168
p47r_R,0.5881187045837362
TGv_R,0.7303093378294023
MBelt_R,0.7238405093954323
LBelt_R,0.6675271987611023
A4_R,0.5832530372370718
STSva_R,0.5946350206330444
TE1m_R,0.5778501820557181
PI_R,0.6399058392508323
a32pr_R,0.6446526998351312
p24_R,0.6351098079419392
