region,F2_li
V1,-0.19244369267812422
MST,0.23472443594454595
V6,-0.8828049401947851
V2,-0.3881766348796938
V3,-0.28128078418412594
V4,-0.005264876871132085
V8,-0.5538371360585677
4,0.6476267393082411
3b,-1.2179093143086288
FEF,0.7749230177129085
PEF,0.678048550688373
55b,1.1966989469496916
V3A,0.7512480412300384
RSC,-1.2771953100071352
POS2,0.14507264710179812
V7,2.2760201816407974
IPS1,2.3345932978463804
FFC,0.970576537413453
V3B,-0.054942929908994076
LO1,-0.516693052801182
LO2,-0.3509596099491763
PIT,-0.004302750754152207
MT,0.29955489985239536
A1,-0.4714135464780534
PSL,0.5466913307661585
SFL,-0.4297808596871753
PCV,-1.1637792703858794
STV,0.4392545198015905
7Pm,-1.152167117705266
7m,-1.427914762523091
POS1,-0.2125011245700179
23d,-1.5277679418778527
v23ab,-1.0431164154233472
d23ab,-1.1923489516127375
31pv,-1.098791024863657
5m,-1.3375753906519203
5mv,-1.888548893741889
23c,0.15823418635433223
5L,-0.5976616823357467
24dd,-1.5618003425176517
24dv,-1.695228926889358
7AL,0.7636728284694169
SCEF,-2.0288312944270808
6ma,0.8989221463534609
7Am,-0.8307456091230913
7Pl,0.1889133518484269
7PC,1.1308405269385742
LIPv,1.6589662731951051
VIP,0.7300483289214528
MIP,1.266407403874633
1,0.8797936705652231
2,1.6960173808268801
3a,1.2040657787628235
6d,0.42967105456806665
6mp,0.20108105482576089
6v,0.6958463333297972
p24pr,-1.6149503995867978
33pr,-2.8952381341651154
a24pr,-1.7282868707947758
p32pr,-2.2288841782159516
a24,-1.156635485046822
d32,-2.0599674060768387
8BM,-2.988472951138312
p32,-1.3049026900788383
10r,-1.4697550528405359
47m,0.9632417262390518
8Av,1.1495335285088406
8Ad,1.2711848726023254
9m,-2.357976103901589
8BL,0.25680525309379554
9p,1.0161083432746265
10d,-0.6923540317936154
8C,1.1767433414447157
44,0.8872831329132612
45,0.5349629465464931
47l,1.1345184004761841
a47r,0.7405114249623224
6r,0.43722640662168355
IFJa,0.11799766695960462
IFJp,0.25303239255577503
IFSp,0.23983319420457216
IFSa,0.028030090742567904
p9-46v,0.6360781045089755
46,0.1944635674264168
a9-46v,0.42504790606887854
9-46d,0.1017724824622448
9a,0.7623213185210214
10v,-1.7580455491844913
a10p,0.49186955447979375
10pp,-0.014562850163513552
11l,1.1280437202241278
13l,0.5064626135857664
OFC,0.860578057505071
47s,0.9511720863636003
LIPd,1.6890703245492353
6a,1.5446333332427926
i6-8,0.45492280762839254
s6-8,1.8912468226227208
43,1.0941224286242566
OP4,0.2568411737906845
OP1,-0.37920385006772217
OP2-3,-0.3465570454478891
52,-0.0891984953354128
RI,-0.6965540759508381
PFcm,0.34750644483348087
PoI2,2.3623378543482296
TA2,-1.1244396512003525
FOP4,-0.5171777526168748
MI,1.6610114241551848
Pir,-0.04225774993491416
AVI,1.4318721035351991
AAIC,1.8147699513512556
FOP1,-0.18072944362489202
FOP3,0.3680010266917757
FOP2,-0.9591924061541292
PFt,0.4280714384779603
AIP,1.149691637511274
EC,0.17562855030644647
PreS,-0.6834696660842485
H,0.6477024983633477
ProS,-0.6857179474755822
PeEc,0.9132732497395764
STGa,1.1894352838037365
PBelt,-0.7680777284397399
A5,2.1713228777439175
PHA1,0.2622821135893294
PHA3,-0.13910497625521456
STSda,2.6153438205164434
STSdp,0.928638012020762
STSvp,-0.20217695043207695
TGd,0.29376016639474023
TE1a,0.8323301269790085
TE1p,-0.009331037270430609
TE2a,-0.29143333370217306
TF,0.4931629716506324
TE2p,-0.03686383617312117
PHT,0.005988967016542168
PH,0.3958494124005023
TPOJ1,0.07145887425764119
TPOJ2,0.09140502676899875
TPOJ3,0.6397785417248572
DVT,-1.4504139675829308
PGp,0.4436010778163318
IP2,-0.25064071089393225
IP1,-0.37997528837877675
IP0,-2.2992565868911274
PFop,1.248184352234336
PF,1.3207594746345643
PFm,0.5577149679027018
PGi,0.4966261881814106
PGs,0.806289410812487
V6A,-0.2280668049964798
VMV1,0.195015712055284
VMV3,-0.81188819492469
PHA2,1.0343481465737203
V4t,-0.10903035468729627
FST,0.07478101203405452
V3CD,-0.1887142422974532
LO3,-0.3702244478919051
VMV2,0.046917895403212784
31pd,-1.8167416173692241
31a,-0.9921018101234526
VVC,0.16849690875267131
25,0.11229243253957644
s32,-0.3845687853602515
pOFC,0.2534743782707667
PoI1,1.7703860056864535
Ig,1.00684050188912
FOP5,-0.26439044040994625
p10p,1.1899600960337124
p47r,1.0925590666001297
TGv,-0.2373487234668717
MBelt,-1.2287127642477518
LBelt,-0.9396795902045845
A4,0.5561776748840251
STSva,0.48246045869448495
TE1m,0.39516680409488497
PI,-0.967896039263791
a32pr,-2.00533357116303
p24,-1.5692625351601115
