region,grad7
V1_L,1.8501562443676411
MST_L,1.618610292297395
V6_L,0.835750814917333
V2_L,1.329512935320005
V3_L,1.019777944416893
V4_L,0.7588052213162102
V8_L,0.11874953483646028
4_L,0.14862903546245218
3b_L,0.5023715079115716
FEF_L,-1.1116046705273779
PEF_L,-0.5614113786659743
55b_L,-1.0638889723739313
V3A_L,0.42537317326502877
RSC_L,2.056064513090583
POS2_L,0.023175652634842194
V7_L,-0.021740376799148774
IPS1_L,-0.22839577735984884
FFC_L,-0.8774029573313818
V3B_L,0.5940209784848896
LO1_L,1.2022561372355804
LO2_L,0.5710402061699928
PIT_L,0.3064799484851824
MT_L,1.435822765058789
A1_L,0.26531409777193005
PSL_L,-0.47784603828115085
SFL_L,0.17913484352647827
PCV_L,-0.2398131402832027
STV_L,0.19617201899726214
7Pm_L,0.5498320975395996
7m_L,0.4917331812693257
POS1_L,2.3513242756404646
23d_L,0.726994535038492
v23ab_L,1.8966762638558556
d23ab_L,1.070562403334897
31pv_L,0.5668127784006595
5m_L,0.9247467265316598
5mv_L,-0.15028789774490028
23c_L,-0.35018193791411484
5L_L,1.3035457973725348
24dd_L,-0.021946477371868302
24dv_L,0.4196620598984878
7AL_L,0.8552204098842469
SCEF_L,0.4109649657001444
6ma_L,0.035282064582840916
7Am_L,0.6211844428384653
7Pl_L,0.3033651249500784
7PC_L,-0.2420319306852569
LIPv_L,-0.767320501793101
VIP_L,0.6826607050274511
MIP_L,-0.486391052796509
1_L,0.03805394811209685
2_L,-0.783792921399805
3a_L,-0.26488056779771424
6d_L,0.10324938466482309
6mp_L,0.4291312719595625
6v_L,-0.3300866188859907
p24pr_L,0.7854961369330403
33pr_L,1.4611675847763401
a24pr_L,0.897519936446297
p32pr_L,1.0357624232845926
a24_L,0.3909313622914649
d32_L,0.33435472925454135
8BM_L,1.1035691642299992
p32_L,0.6172107442168947
10r_L,1.2226412898905028
47m_L,-1.4508239570506274
8Av_L,-1.1603823512468507
8Ad_L,-0.41092807103572654
9m_L,0.405716482148833
8BL_L,-0.07838280540477695
9p_L,-0.08719530167316505
10d_L,0.22221974834802768
8C_L,-0.69186979461983
44_L,-0.8527806121847614
45_L,-1.180111493934379
47l_L,-2.207406124653121
a47r_L,-1.2331783207919016
6r_L,-0.19360341224265046
IFJa_L,0.22843575628414656
IFJp_L,0.2626189016167694
IFSp_L,0.31835087419370484
IFSa_L,0.30325381535877244
p9-46v_L,-0.2891046403264528
46_L,-0.20637485042504006
a9-46v_L,-0.12483922990583957
9-46d_L,0.03902460004274625
9a_L,-0.17566629227575045
10v_L,1.1640200677500117
a10p_L,0.24978354037227635
10pp_L,0.4823363741164359
11l_L,-0.6604506112727057
13l_L,-0.4516183183151717
OFC_L,0.6078913364614004
47s_L,-1.3172251462834486
LIPd_L,-1.5151289622965345
6a_L,-1.2760251317467752
i6-8_L,-0.9108721218566154
s6-8_L,-0.904902310092975
43_L,-0.9887982306398719
OP4_L,0.4194543538941243
OP1_L,1.1032103376033477
OP2-3_L,1.5013533804998676
52_L,-0.3954052442820461
RI_L,0.7577616671995845
PFcm_L,0.20147432036898372
PoI2_L,-1.7387151598948691
TA2_L,-1.9228314367117365
FOP4_L,-0.13466584450138558
MI_L,-1.3314555634221745
Pir_L,-1.5740608086922752
AVI_L,-1.801183736315402
AAIC_L,-2.370031226413412
FOP1_L,-1.4588913095964056
FOP3_L,0.6379877821510611
FOP2_L,1.106010545021176
PFt_L,-1.1899763825444019
AIP_L,-1.5630030092634406
EC_L,0.06174976655604609
PreS_L,-0.7872564825497925
H_L,-1.3197069608204004
ProS_L,1.4693571993907912
PeEc_L,-0.6384263268632479
STGa_L,-2.3326188225261797
PBelt_L,-0.13192974161968668
A5_L,-2.088477219682927
PHA1_L,-2.0510878269951016
PHA3_L,-1.2546206759460445
STSda_L,-2.5586637480318473
STSdp_L,-0.7897703424247134
STSvp_L,-0.8010702819830637
TGd_L,-0.8600858850593767
TE1a_L,-1.70727050702853
TE1p_L,-0.8678434294622775
TE2a_L,-1.30369393115706
TF_L,-0.9590333150366229
TE2p_L,-1.137013723565027
PHT_L,0.6866266733225822
PH_L,0.36625968716665624
TPOJ1_L,1.1047048389917147
TPOJ2_L,1.0329565556214562
TPOJ3_L,0.35935610135660967
DVT_L,1.1176239087615722
PGp_L,-0.014053480287249096
IP2_L,-0.9305686495119291
IP1_L,-0.8168970486447064
IP0_L,0.09127987997998338
PFop_L,-0.5335918004340836
PF_L,-1.392558439641675
PFm_L,-1.1094429512974524
PGi_L,-0.3764191398870842
PGs_L,-0.9845084860705963
V6A_L,0.2158017355898535
VMV1_L,-0.4218318907479889
VMV3_L,0.03382063520681572
PHA2_L,-2.1356598743085797
V4t_L,1.0031887488676332
FST_L,1.208428530518965
V3CD_L,0.43975975959334673
LO3_L,1.1651397027756678
VMV2_L,0.13760064329381214
31pd_L,0.3434006572622323
31a_L,-0.10284674888815722
VVC_L,-1.1354617181335445
25_L,0.7725240937695436
s32_L,1.123706173197063
pOFC_L,0.09859986409685496
PoI1_L,-1.7949793559233589
Ig_L,1.3137426312165723
FOP5_L,-0.18945138281131618
p10p_L,-0.32410975081410065
p47r_L,-0.6277587469357169
TGv_L,0.0438486239465341
MBelt_L,-0.41026747041557926
LBelt_L,0.5350992025828724
A4_L,-0.9833943189585042
STSva_L,-2.054532867097507
TE1m_L,-1.7275450470833627
PI_L,-1.9661763467037074
a32pr_L,0.8347451654565596
p24_L,0.07539735231149858
V1_R,0.5677002408154838
MST_R,-0.7258191060491922
