region,F4
V1_L,-1.0155037205592707
MST_L,-0.8071671819688438
V6_L,-1.5450732922690098
V2_L,-0.9679869492160644
V3_L,-0.8256187509926215
V4_L,-0.5957172693694881
V8_L,0.3777334053635944
4_L,0.3816662253239988
3b_L,-1.9196414739496346
FEF_L,-0.2917947363623725
PEF_L,-0.6298872862817042
55b_L,0.42755733225730475
V3A_L,-1.0482497689826373
RSC_L,2.3700459955946354
POS2_L,0.13669844999230105
V7_L,-1.0932089590289484
IPS1_L,-1.4911851406190528
FFC_L,0.10445496543633083
V3B_L,-1.4102735013227063
LO1_L,-0.9089485200879901
LO2_L,-0.4387250349781532
PIT_L,-0.22428639886452886
MT_L,-0.4782599512321557
A1_L,-1.5179127579146625
PSL_L,-0.0030100262883851468
SFL_L,0.3276132586895077
PCV_L,0.402613005468118
STV_L,0.39511425672809
7Pm_L,0.10711976688613163
7m_L,0.2454432285858749
POS1_L,1.3857741195780413
23d_L,-0.13810414574957505
v23ab_L,0.510130054011779
d23ab_L,0.4748860324411484
31pv_L,-0.1976138818480165
5m_L,0.22540838815475428
5mv_L,-1.009791174207746
23c_L,-0.6117094975633791
5L_L,-0.19635738173883796
24dd_L,0.8071931567435354
24dv_L,-0.1490592787276714
7AL_L,-0.5105196784436733
SCEF_L,0.9271868860979703
6ma_L,-0.3975351440682631
7Am_L,0.08686134075486515
7Pl_L,-0.1704785606673425
7PC_L,-0.4307887784950477
LIPv_L,-0.6241078641680557
VIP_L,-0.32084793740781214
MIP_L,-0.666163540857244
1_L,-0.40795071930450566
2_L,-0.7034726468679926
3a_L,-2.5171911010753543
6d_L,-0.5756830171177526
6mp_L,-0.852110530147308
6v_L,1.0241194936768545
p24pr_L,0.23184674434145777
33pr_L,2.4013619383414984
a24pr_L,-0.4967054491139319
p32pr_L,-0.09416774337790504
a24_L,1.1069869257087626
d32_L,1.0794318523039237
8BM_L,1.5466597734396772
p32_L,0.6301676488240973
10r_L,-0.30916805571901324
47m_L,0.44254381142024485
8Av_L,0.1109839838476512
8Ad_L,-0.6400876572479408
9m_L,1.485151222830594
8BL_L,0.4965571445185477
9p_L,-0.2014110407711818
10d_L,0.42038869293881476
8C_L,0.47171678026625624
44_L,1.2326039160893942
45_L,0.8915140547392574
47l_L,0.7265038928878845
a47r_L,0.10602772398044012
6r_L,0.493459845574827
IFJa_L,-0.4524170225007245
IFJp_L,-0.38201673756358145
IFSp_L,-0.6352659000640334
IFSa_L,-0.4713957159800764
