region,F1_li
V1,0.12866411644712605
MST,0.2947170351919195
V6,-0.027094902385437325
V2,0.07780258475259272
V3,0.2720615617635465
V4,0.32961683851956436
V8,0.08917277384466948
4,0.08138686302940834
3b,-0.6430983925327606
FEF,-0.1660886147783119
PEF,-0.2722797189724864
55b,0.017099693545877148
V3A,0.42386285288066017
RSC,0.032303353484639086
POS2,0.15231047629269906
V7,0.9237091747950088
IPS1,0.8764364606441993
FFC,-0.19849849104339776
V3B,0.29216146201713356
LO1,0.18378974541339366
LO2,0.2119923130492633
PIT,0.17899880303219473
MT,0.42722565574599713
A1,0.1487034055062353
PSL,0.5067472714401426
SFL,-0.0575369023423411
PCV,-0.11235992639677694
STV,0.21783430169077533
7Pm,-0.04150529352797927
7m,-0.11468281584139994
POS1,0.2407896296304325
23d,-0.1345829673177229
v23ab,-0.15021649834642914
d23ab,0.03516800145252175
31pv,-0.1721705093419052
5m,-0.2637666403146329
5mv,-0.5089896202132749
23c,-0.11777758662724819
5L,0.04040616812091902
24dd,-0.23197220472313962
24dv,-0.426324233316408
7AL,0.3614851726886688
SCEF,-0.365767358598122
6ma,-0.021107903360205724
7Am,-0.0011530852140936299
7Pl,0.2995766976827432
7PC,0.41221547996607916
LIPv,0.7714487046272727
VIP,0.474151628384798
MIP,0.6168274224962147
1,0.21599017447766544
2,0.3681504249818658
3a,-0.047965047684591644
6d,-0.00478291669113079
6mp,0.11768750681717083
6v,-0.002503762613942473
p24pr,-0.12342035751067057
33pr,-0.5448766213014762
a24pr,-0.2728353304855379
p32pr,-0.4813404855229701
a24,-0.17374676114518106
d32,-0.6744059912554853
8BM,-0.5480200880709505
p32,-0.4295772223186449
10r,-0.31477282895453107
47m,-0.553633333737902
8Av,-0.29986737357732784
8Ad,-0.2413162681578233
9m,-0.6125630181647198
8BL,-0.01586655130497594
9p,-0.10871865521455626
10d,-0.3587601544186253
8C,-0.21018599014739886
44,-0.10723090280280678
45,0.10054702638619561
47l,-0.1481224734359139
a47r,-0.3672736052792859
6r,-0.21981395362540912
IFJa,-0.2789615233609527
IFJp,-0.2841629106720172
IFSp,-0.32893255488396883
IFSa,-0.18546425101032138
p9-46v,-0.32625795815690983
46,-0.5551857139513535
a9-46v,-0.42931065093262344
9-46d,-0.42351290966967625
9a,-0.14396743401564494
10v,0.14096661935443544
a10p,-0.5467732779567771
10pp,-0.42448537543488873
11l,-0.35502427289168725
13l,-0.45616116816066743
OFC,0.5763826444675373
47s,-0.43667064092222163
LIPd,0.7466656377643359
6a,0.12711613499160554
i6-8,-0.27243556908556654
s6-8,-0.02294997296695872
43,-0.07468390194027424
OP4,0.08270460903317112
OP1,0.1724996395884411
OP2-3,0.30990445088096585
52,-0.0829102800582488
RI,0.5488272460390441
PFcm,0.30398398459620746
PoI2,0.08563114326203697
TA2,-0.12558773120426053
FOP4,-0.1805766037402055
MI,-0.02632442655894074
Pir,-0.3234608635546703
AVI,-0.1584130325670811
AAIC,0.25722728713393356
FOP1,-0.23836340176682858
FOP3,0.041034224635730435
FOP2,0.050076479301750576
PFt,-0.04358834221988994
AIP,0.3255491223524533
EC,0.10526559626603627
PreS,0.22426871460326758
H,-0.003823706543224281
ProS,0.0838366904034058
PeEc,-0.05955301843254324
STGa,-0.1162069522611886
PBelt,0.06257065161442567
A5,0.12639944661851776
PHA1,-0.05602640605245468
PHA3,-0.10111194896784015
STSda,0.017288304242945363
STSdp,0.05986480075503875
STSvp,0.09505478999602568
TGd,-0.27534911060827066
TE1a,0.010885180439272335
TE1p,0.040370809242987304
TE2a,-0.12764745481814532
TF,-0.08521320447391845
TE2p,-0.17040726578379484
PHT,0.13999494077184194
PH,0.08287453894253805
TPOJ1,0.3711705383603401
TPOJ2,0.25121422906575896
TPOJ3,0.3873194874510547
DVT,-0.10655870334655276
PGp,0.3491246404450603
IP2,0.054767272866203975
IP1,0.2805261524474797
IP0,-0.05848550486730009
PFop,0.056396523910765106
PF,0.18998357846379488
PFm,0.2094616126293063
PGi,0.4162227025070706
PGs,0.3734271499705355
V6A,0.13088077956475164
VMV1,0.1312133363132979
VMV3,-0.06952569525963681
PHA2,-0.11877233510836172
V4t,0.2482261116932542
FST,0.16936122032043677
V3CD,0.3820519728513254
LO3,0.20139887654137179
VMV2,0.22689669366649456
31pd,-0.22229768068438455
31a,-0.20942758433833458
VVC,-0.05088367817477124
25,0.48971940913813183
s32,-0.22720442541509156
pOFC,0.025875801215447414
PoI1,-0.026361118877801404
Ig,0.25262368651500955
FOP5,-0.09543818513933955
p10p,-0.22029939768562556
p47r,-0.09460052187519419
TGv,-0.08035467736115387
MBelt,-0.13556547535937846
LBelt,0.433630842441041
A4,0.3938022170465669
STSva,-0.17276881364811336
TE1m,0.00735880859553717
PI,0.1034076561241242
a32pr,-0.5242691496336138
p24,-0.3979002733363439
