,F2
7m_R,0.5795897431653795
POS1_R,-1.5880968587653717
23d_R,0.7515291253229592
v23ab_R,-0.34337515931692264
d23ab_R,-0.23097387173609302
31pv_R,0.03631602587074437
5m_R,-0.4659620458551148
5mv_R,0.7905467328039241
23c_R,0.23709592887280556
5L_R,-0.08951524684506555
24dd_R,0.13073981252267244
24dv_R,0.7245889319002975
7AL_R,-0.6846867888915366
SCEF_R,0.49867162319339664
6ma_R,-1.0721276247062606
7Am_R,0.11247971034664296
7Pl_R,-0.4593682422992192
7PC_R,-0.9532636457121667
LIPv_R,-1.1077981904477159
VIP_R,-1.0149558262765415
MIP_R,-0.9919406466942495
1_R,-0.9156316283133246
2_R,-1.1017806096278373
3a_R,1.0228373024555717
6d_R,-1.0474685573443696
6mp_R,-1.0242746756136065
6v_R,-0.20601793403342614
p24pr_R,1.4015672178051743
33pr_R,1.065627411722963
a24pr_R,1.460539480900762
p32pr_R,0.9449487788767066
a24_R,1.0763120264702752
d32_R,1.3016684828866094
8BM_R,1.065575373055889
p32_R,1.1728360740803379
10r_R,0.9636894032538917
47m_R,0.6015613941251541
8Av_R,-0.4083088579218211
8Ad_R,-0.18483022300729252
9m_R,1.7306550870282587
8BL_R,0.11686561369232101
9p_R,0.7196615527237739
10d_R,2.0568821271592537
8C_R,-0.5687199968807842
44_R,0.09932556042460323
45_R,0.1480835039350819
47l_R,0.3273348036534385
a47r_R,1.191695122351686
6r_R,0.5348350145733888
IFJa_R,0.26786214580109236
IFJp_R,0.1122345317531942
IFSp_R,0.6480872341228504
IFSa_R,1.4630152785101347
p9-46v_R,0.3009252020441078
46_R,1.1070333690965726
a9-46v_R,1.5721998627907396
9-46d_R,1.3805049857540612
9a_R,1.2746527953555982
10v_R,1.4640659003330854
a10p_R,1.7117835624918436
10pp_R,1.9389097937964395
11l_R,0.12636784535200238
13l_R,0.04551382460931292
OFC_R,-2.1065594747732623
47s_R,0.33531196750271597
LIPd_R,-0.5399399813856258
6a_R,-0.7149474608651726
i6-8_R,-0.15415591555706967
s6-8_R,-0.881295519896779
43_R,-0.5766731925141412
OP4_R,-0.5870558666474794
OP1_R,-0.7391451311178525
OP2-3_R,-0.7955377918152188
52_R,1.2730711633346703
RI_R,0.5809283125233538
PFcm_R,-0.6917374824332472
PoI2_R,-0.09674183738493483
TA2_R,1.6900709165420247
FOP4_R,0.3713407590889315
MI_R,0.746355298870877
Pir_R,0.9739857196817964
AVI_R,0.16781894825587426
AAIC_R,0.7968324466471274
FOP1_R,-0.23208963635091073
FOP3_R,0.02966979566053274
FOP2_R,-0.17985695098569654
PFt_R,0.3417749386479508
AIP_R,-0.41566831092333184
EC_R,0.13472940695158447
PreS_R,1.8286506438021743
H_R,0.2540228156767618
ProS_R,-0.41648521331421684
PeEc_R,-0.9379380944221088
STGa_R,0.6130906810402905
PBelt_R,1.2634918202620307
A5_R,-1.3836146296939602
PHA1_R,-0.8515829227277252
PHA3_R,-1.0121160194425518
STSda_R,-1.3781119713363437
STSdp_R,-1.0215305262562246
STSvp_R,0.6406676190447617
TGd_R,1.268878347821733
TE1a_R,0.12742804948250142
TE1p_R,-0.31560521925077245
TE2a_R,0.5917597078543427
TF_R,-1.3585612654116455
TE2p_R,-0.8341444582581596
PHT_R,-0.45152618887804935
PH_R,-1.4553484307004068
TPOJ1_R,-0.5886563508337616
TPOJ2_R,-0.5731216472206698
TPOJ3_R,-0.7946864027038185
DVT_R,0.19370674867641138
PGp_R,-0.7235446636022425
IP2_R,0.4972561436584074
IP1_R,0.16731941896655142
IP0_R,1.1253708807309915
PFop_R,-0.5345552648782218
PF_R,-0.775378002877948
PFm_R,-0.46080295650760983
PGi_R,-0.7273496456998608
PGs_R,-0.8820783164044682
V6A_R,-0.10328484429916324
VMV1_R,-1.6858132985457943
VMV3_R,-0.7008419676474674
PHA2_R,-1.806966694992203
V4t_R,-0.8626402580633027
FST_R,-0.954060279252074
V3CD_R,-0.42138308383132633
LO3_R,-0.41563678583329966
VMV2_R,-1.4103638105645508
31pd_R,0.736663300760009
31a_R,0.08345925860480999
VVC_R,-1.6395291127152871
25_R,-1.3953986402541434
s32_R,-1.0957570557241043
pOFC_R,0.3604995457711012
PoI1_R,-0.04411609380886739
Ig_R,-0.8600309541541201
FOP5_R,0.07318922600436469
p10p_R,1.3346548304728165
p47r_R,1.1718466863245782
TGv_R,0.15828287112022624
MBelt_R,0.8760662478486759
LBelt_R,1.2164493811382653
A4_R,0.16313991620329737
STSva_R,0.5108219420445615
TE1m_R,-0.000533899844357067
PI_R,2.111236212502549
a32pr_R,1.0763531889103155
p24_R,1.6835630252588405
