region,odi
V1_L,0.40734308469859626
MST_L,0.38945114838931433
V6_L,0.40000543789059184
V2_L,0.3974281962719789
V3_L,0.39274179552548893
V4_L,0.38423325630616073
V8_L,0.3697251237939175
4_L,0.3756781399088031
3b_L,0.4225004212144629
FEF_L,0.3731581245144871
PEF_L,0.36686579170378186
55b_L,0.3494118167986608
V3A_L,0.3815828146382417
RSC_L,0.3558457975477108
POS2_L,0.3682984331099478
V7_L,0.3821434405997144
IPS1_L,0.384159191764509
FFC_L,0.37048407847244236
V3B_L,0.38389190727583783
LO1_L,0.38021009414178025
LO2_L,0.379450316504776
PIT_L,0.3758383480103328
MT_L,0.3841977687400084
A1_L,0.4314144396163915
PSL_L,0.35427842754720196
SFL_L,0.3625435633753287
PCV_L,0.3686139455132003
STV_L,0.3493249556737444
7Pm_L,0.3637160258050149
7m_L,0.3693356906507544
POS1_L,0.3520717038323875
23d_L,0.38604690061253316
v23ab_L,0.36709268561388886
d23ab_L,0.3721795205670445
31pv_L,0.37776160406156833
5m_L,0.40312797803146494
5mv_L,0.4022770484507962
23c_L,0.3747768902048758
5L_L,0.38796882233528157
24dd_L,0.3758364022719661
24dv_L,0.3828340914910924
7AL_L,0.37210604202869474
SCEF_L,0.3637306049840022
6ma_L,0.36273946796032436
7Am_L,0.3650547864704841
7Pl_L,0.3586479080780095
7PC_L,0.37557524443955115
LIPv_L,0.3763896819104532
VIP_L,0.3657039941926944
MIP_L,0.3711270541400377
1_L,0.3819954061671665
2_L,0.3835207434356728
3a_L,0.42245014203159154
6d_L,0.38185128935562107
6mp_L,0.3867413332651881
6v_L,0.32667336032536076
p24pr_L,0.3665036901302598
33pr_L,0.3416618254571683
a24pr_L,0.37559218642357006
p32pr_L,0.3757455132762304
a24_L,0.3412986071916325
d32_L,0.32875711930212653
8BM_L,0.3417346104269639
p32_L,0.3455129425483547
10r_L,0.3847525294361862
47m_L,0.3637141485428886
8Av_L,0.3506643569131627
8Ad_L,0.360504575466757
9m_L,0.31865018646394444
8BL_L,0.3440866243367078
9p_L,0.340123296763601
10d_L,0.3344654529561971
8C_L,0.34681855233037984
44_L,0.32603337909825497
