region,dki-rd
V1_L,0.0007731505278890603
MST_L,0.0007708450421024738
V6_L,0.0007969681152110998
V2_L,0.0007707723555236104
V3_L,0.0007583441041643609
V4_L,0.0007541459883758172
V8_L,0.0007423899132046305
4_L,0.0007605031733972379
3b_L,0.0008236835066610512
FEF_L,0.0007859977274288967
PEF_L,0.0008024926014648378
55b_L,0.000775751630644847
V3A_L,0.0007720864980050583
RSC_L,0.0007645869686292633
POS2_L,0.0007676372821510822
V7_L,0.0007830862324991262
IPS1_L,0.0007944545812890877
FFC_L,0.0007637464633138696
V3B_L,0.0007820789368064624
LO1_L,0.0007590755230018497
LO2_L,0.0007463749301289865
PIT_L,0.0007422195149478088
MT_L,0.0007641350856403717
A1_L,0.0008118436216267486
PSL_L,0.0007832076192987547
SFL_L,0.0007734268188354236
PCV_L,0.0007736822740226729
STV_L,0.0007682776885574062
7Pm_L,0.0007701553003531595
7m_L,0.0007785823775878647
POS1_L,0.000767636944966713
23d_L,0.0008165206284513844
v23ab_L,0.0007831217152844711
d23ab_L,0.0007880307204919141
31pv_L,0.0007890007586952415
5m_L,0.0007455116867428394
5mv_L,0.0007918618772892926
23c_L,0.000806644091955495
5L_L,0.0007663904959746348
24dd_L,0.0007739558773898741
24dv_L,0.0008086315176950149
7AL_L,0.0007713975264196328
SCEF_L,0.0007712295788812201
6ma_L,0.0007737114974144036
7Am_L,0.0007648482199797169
7Pl_L,0.0007660352581699989
7PC_L,0.0007700405878829676
LIPv_L,0.0007743199300067578
VIP_L,0.000763996775044213
MIP_L,0.0007738501149060751
1_L,0.0007667930717012324
2_L,0.0007797674118749186
3a_L,0.0008354190500678841
6d_L,0.0007747505058491182
6mp_L,0.0007754268104265842
6v_L,0.0007818856845753006
p24pr_L,0.0008312656283962124
33pr_L,0.0008248285791043705
a24pr_L,0.0008472313764604604
p32pr_L,0.0008182649840169779
a24_L,0.0008612798290039153
d32_L,0.000819350096755093
8BM_L,0.0007798706096575273
p32_L,0.0008492225210653754
10r_L,0.000849154444124237
47m_L,0.0008339960549481312
8Av_L,0.0007903552298299274
8Ad_L,0.000814314734284582
9m_L,0.0008100839504535805
8BL_L,0.0007895353298751902
9p_L,0.000820757614250228
10d_L,0.0008426413056130994
8C_L,0.0007901360162263073
44_L,0.0007984612136485771
45_L,0.0008014778653973349
47l_L,0.0008211656043878629
a47r_L,0.0008329183464167696
6r_L,0.0008110724870424773
IFJa_L,0.0008100473035084937
IFJp_L,0.0008093836382407473
IFSp_L,0.0008174118233176951
