region,dki-fa
V1_L,0.1526939625885791
MST_L,0.1482823954385693
V6_L,0.1380055525804364
V2_L,0.1539957725300436
V3_L,0.1537182395845823
V4_L,0.1554016425918209
V8_L,0.1670903867549125
4_L,0.17066088469698
3b_L,0.1362479315303974
FEF_L,0.1545566559470121
PEF_L,0.1492836576073017
55b_L,0.1635113945111125
V3A_L,0.1506704187678068
RSC_L,0.1925213371088899
POS2_L,0.15852648361884
V7_L,0.1496920542149183
IPS1_L,0.1410056178729705
FFC_L,0.1627226561365082
V3B_L,0.1403805152103667
LO1_L,0.1484869462591826
LO2_L,0.1556419904720982
PIT_L,0.1604537158349748
MT_L,0.1508235394976324
A1_L,0.1511308653721291
PSL_L,0.1503606742001503
SFL_L,0.166651255522672
PCV_L,0.1550340347181916
STV_L,0.1581042385125569
7Pm_L,0.1539788216422656
7m_L,0.1545351011901097
POS1_L,0.1796885359394092
23d_L,0.1537579924450291
v23ab_L,0.1680319083567745
d23ab_L,0.1635155873706433
31pv_L,0.1530830488293957
5m_L,0.1626086430032851
5mv_L,0.1429198488280529
23c_L,0.1484745177816934
5L_L,0.1513406790452675
24dd_L,0.1652879364295079
24dv_L,0.1539229470408941
7AL_L,0.1519641892096876
SCEF_L,0.1684491691178915
6ma_L,0.1639449509120746
7Am_L,0.1555221257273376
7Pl_L,0.1583182463353455
7PC_L,0.1534470860620762
LIPv_L,0.1532843232576101
VIP_L,0.1569769721990901
MIP_L,0.1498717206385727
1_L,0.1599946408873222
2_L,0.150851349725224
3a_L,0.1329225432769502
6d_L,0.1606494115930203
6mp_L,0.1585162131035358
6v_L,0.1695231372916237
p24pr_L,0.1585956776943458
33pr_L,0.1793794851989356
a24pr_L,0.1530486921553202
p32pr_L,0.1540086448548358
a24_L,0.1697359768652757
d32_L,0.1657528803611163
8BM_L,0.1716518091530466
p32_L,0.1613755268753836
10r_L,0.154765349120932
47m_L,0.1666357701684102
8Av_L,0.1604083748764344
8Ad_L,0.1508980906239599
9m_L,0.1712323131631371
8BL_L,0.1656433695779483
9p_L,0.1556634961352836
10d_L,0.1619229809211258
8C_L,0.1616323432358421
44_L,0.1713997597174235
45_L,0.1722887981345456
47l_L,0.1718213128077345
a47r_L,0.1642894432396578
6r_L,0.1614668552528924
IFJa_L,0.1506356464793272
IFJp_L,0.1507051365610383
IFSp_L,0.1490529045418643
IFSa_L,0.1516704515541005
p9-46v_L,0.1608191220062179
46_L,0.1550354863488414
a9-46v_L,0.1552086095893184
9-46d_L,0.150119825360451
9a_L,0.1544944484705846
10v_L,0.1658042327044413
a10p_L,0.1474310648640009
10pp_L,0.1648795450435987
11l_L,0.159263417075764
13l_L,0.1543150445315873
OFC_L,0.1774109501740669
47s_L,0.1787351610799299
LIPd_L,0.1439496436501636
6a_L,0.1478537357952742
i6-8_L,0.1521812291985657
s6-8_L,0.1620846520752327
43_L,0.17384503068733
OP4_L,0.1716005849583038
OP1_L,0.1718227158077992
OP2-3_L,0.1693436668866547
52_L,0.1477748366128829
RI_L,0.153415759408675
PFcm_L,0.1641909595742199
PoI2_L,0.1872919216964373
TA2_L,0.1635274017843119
FOP4_L,0.1695728351335274
MI_L,0.1758988346449879
Pir_L,0.2183752844527769
AVI_L,0.1721689433945031
AAIC_L,0.2059060704832969
FOP1_L,0.1802154220588729
FOP3_L,0.1637561630776422
FOP2_L,0.1646576662187607
PFt_L,0.1437579163638904
AIP_L,0.1458968300782189
EC_L,0.1877918858740256
PreS_L,0.2125854473774857
H_L,0.161451882181154
ProS_L,0.1805968283791461
PeEc_L,0.1687087467745159
STGa_L,0.1795128300119431
PBelt_L,0.1370536715391362
A5_L,0.1683048393122466
PHA1_L,0.1823610058988961
PHA3_L,0.1574037127210284
STSda_L,0.1606388484545594
STSdp_L,0.1548275976789495
STSvp_L,0.1442990065330371
TGd_L,0.1781510835112913
TE1a_L,0.1616868033068192
TE1p_L,0.1565735635166249
TE2a_L,0.1662961721033642
TF_L,0.1656043160085065
TE2p_L,0.1620296725455013
PHT_L,0.1539994990183978
PH_L,0.1542374624889282
TPOJ1_L,0.1566341690979941
TPOJ2_L,0.1496415686622394
TPOJ3_L,0.1475811314428738
DVT_L,0.1542135981918723
PGp_L,0.1559265360638793
IP2_L,0.1391598910417887
IP1_L,0.1421475392035615
IP0_L,0.1427819534317386
PFop_L,0.1580486834732141
PF_L,0.1582675578801125
PFm_L,0.1517472604632932
PGi_L,0.1539547490012625
PGs_L,0.1530976205856807
V6A_L,0.1526159055797913
VMV1_L,0.1683005571717874
VMV3_L,0.1604493899243484
PHA2_L,0.165440505431078
V4t_L,0.1547359410402524
FST_L,0.1516031008602846
V3CD_L,0.1518021381390157
LO3_L,0.1486800858422401
VMV2_L,0.1614387809666466
31pd_L,0.1531278526888901
31a_L,0.159657568017088
VVC_L,0.1689217074897057
25_L,0.180295826303919
s32_L,0.1590364682476608
pOFC_L,0.1802739046691542
PoI1_L,0.1766010219062346
Ig_L,0.1650774582947188
FOP5_L,0.164244477185246
p10p_L,0.1534816382495417
p47r_L,0.1537450464096393
TGv_L,0.1765048318061339
MBelt_L,0.1532234442426785
LBelt_L,0.1425562584359918
A4_L,0.1542525294673833
STSva_L,0.1439120853744233
TE1m_L,0.1591532411683631
PI_L,0.1529683773210415
a32pr_L,0.1580959199051446
p24_L,0.1659038441423214
V1_R,0.1496766752225103
MST_R,0.1470817184428442
V6_R,0.1382612141319757
V2_R,0.1519417029142674
V3_R,0.1501268157241862
V4_R,0.1503927824199907
V8_R,0.1606486409287924
4_R,0.1744151788392103
3b_R,0.1345150835427958
FEF_R,0.156614503359606
PEF_R,0.1504709137793177
55b_R,0.1622658970162136
V3A_R,0.1521966442712072
RSC_R,0.1928320100658714
POS2_R,0.1547492624947781
V7_R,0.1484257832926029
IPS1_R,0.139191390704206
FFC_R,0.1605129552380711
V3B_R,0.1369581164394127
LO1_R,0.1454699396803824
LO2_R,0.1533709468619455
PIT_R,0.1584342783005435
MT_R,0.1476453266391018
A1_R,0.1492765121406438
PSL_R,0.1569645888276922
SFL_R,0.167568630847431
PCV_R,0.154969086698675
STV_R,0.1572426857185724
