region,kfa
V1_L,0.3311497146187634
MST_L,0.3412410065304277
V6_L,0.32691168602174275
V2_L,0.33111221400984825
V3_L,0.34080980159287905
V4_L,0.346203736872239
V8_L,0.3514469226892082
4_L,0.35120045639093966
3b_L,0.31453206783630017
FEF_L,0.33914767754419617
PEF_L,0.3318822311611118
55b_L,0.3496462131136702
V3A_L,0.3355638489429141
RSC_L,0.3526181520696822
POS2_L,0.34149434395569683
V7_L,0.3351020152399387
IPS1_L,0.33740292101210306
FFC_L,0.33660003905865526
V3B_L,0.3455908187256458
LO1_L,0.35335357244091986
LO2_L,0.35110414607255624
PIT_L,0.35108980486994706
MT_L,0.34266021448536405
A1_L,0.3060044549875245
PSL_L,0.3437739736362746
SFL_L,0.3578068332349515
PCV_L,0.3424287315097951
STV_L,0.3470501564193383
7Pm_L,0.3474163579355068
7m_L,0.33345634472611446
POS1_L,0.34711088805642204
23d_L,0.3157000193747987
v23ab_L,0.33441393769720995
d23ab_L,0.32613137150957916
31pv_L,0.3313509461609126
5m_L,0.3516981092757277
5mv_L,0.3381224740771745
23c_L,0.3276644007176686
5L_L,0.3539090133753853
24dd_L,0.3384100466382429
24dv_L,0.32555112545097187
7AL_L,0.3538047824908395
SCEF_L,0.3498186980594372
6ma_L,0.35914740213070667
7Am_L,0.3558547694227382
7Pl_L,0.353408196667226
7PC_L,0.3515649043835164
LIPv_L,0.3478809306844686
VIP_L,0.35650865943738164
MIP_L,0.35165908816435343
1_L,0.3502593044401823
2_L,0.3445920773206312
3a_L,0.3048915179570528
6d_L,0.3523714907208861
6mp_L,0.351065755903266
6v_L,0.36048050941467696
p24pr_L,0.3199803660730351
33pr_L,0.33836847579002544
a24pr_L,0.31347484318549634
p32pr_L,0.3215998885533976
a24_L,0.30654299851181144
d32_L,0.329368668224625
8BM_L,0.3514838981615407
p32_L,0.3074746616117789
10r_L,0.29731356452672
47m_L,0.3040671821211175
8Av_L,0.34850428307621084
8Ad_L,0.34004272920467254
9m_L,0.3464638278994527
8BL_L,0.3575605932123575
9p_L,0.348169289775447
10d_L,0.33309142248761353
8C_L,0.3429740326855654
44_L,0.34695871749449114
45_L,0.3453710755277609
47l_L,0.33527323641896944
