region,mk
V1_L,0.6706262228503725
MST_L,0.6063152819028376
V6_L,0.5984397822399726
V2_L,0.6551702061182557
V3_L,0.6304689156778591
V4_L,0.6251242466708775
V8_L,0.6355243940452803
4_L,0.6907858833018605
3b_L,0.6464524478109851
FEF_L,0.6191950622606949
PEF_L,0.598464210874223
55b_L,0.605349481346194
V3A_L,0.6103396331099366
RSC_L,0.7467767591510824
POS2_L,0.6122007270603996
V7_L,0.6355679545245309
IPS1_L,0.6112219683233524
FFC_L,0.6329323519291019
V3B_L,0.5834787588629581
LO1_L,0.5772377615067016
LO2_L,0.5976396970571853
PIT_L,0.6127740801240744
MT_L,0.6082058515344153
A1_L,0.7273932224722008
PSL_L,0.5596187127177764
SFL_L,0.600043735252448
PCV_L,0.5788373383963987
STV_L,0.565585396818469
7Pm_L,0.5607598858149468
7m_L,0.5930059545774968
POS1_L,0.6611476001339734
23d_L,0.6593593577308121
v23ab_L,0.6514903133372185
d23ab_L,0.6606357708191195
31pv_L,0.6128944534898808
5m_L,0.6550949485247803
5mv_L,0.5959110953440484
23c_L,0.5987010584289199
5L_L,0.5802724233605387
24dd_L,0.6668279295068864
24dv_L,0.6360994776361749
7AL_L,0.5802267405804913
SCEF_L,0.6306953364089718
6ma_L,0.6097733077644687
7Am_L,0.5557934889902638
7Pl_L,0.5764357923400067
7PC_L,0.6003173452935862
LIPv_L,0.6309868690569935
VIP_L,0.5907532020625738
MIP_L,0.5964200551738652
1_L,0.6383683520959373
2_L,0.6250492955436295
3a_L,0.6648227676824089
6d_L,0.6382456185001497
6mp_L,0.6381895657514378
6v_L,0.5784323336182353
p24pr_L,0.6307951585564301
33pr_L,0.6682888092715676
a24pr_L,0.6154716294617996
p32pr_L,0.6265217246234769
a24_L,0.6500605067679099
d32_L,0.5864939753055194
8BM_L,0.5931949241039236
p32_L,0.630149641667892
10r_L,0.6765671816041302
47m_L,0.7004640503097818
8Av_L,0.5914547250326486
8Ad_L,0.5945509724147912
9m_L,0.5622689341185451
8BL_L,0.5721586063893964
9p_L,0.5646967936419383
10d_L,0.5682266316090963
8C_L,0.607865802209119
44_L,0.6027132117109734
45_L,0.6169674588259185
47l_L,0.6200038527548866
a47r_L,0.5959293936889404
6r_L,0.5868265223645927
IFJa_L,0.6225601374872368
IFJp_L,0.6151093765089138
IFSp_L,0.6075137276046491
IFSa_L,0.588746110371364
p9-46v_L,0.5883623314715549
46_L,0.5673900309183941
a9-46v_L,0.5768971575295969
9-46d_L,0.5740998040404819
9a_L,0.5587042875437213
10v_L,0.7223701136896207
a10p_L,0.5905373354145926
10pp_L,0.6643882846408287
11l_L,0.6748558446654251
13l_L,0.7617593199477669
OFC_L,0.7933671892253857
47s_L,0.6919018213422785
LIPd_L,0.6132222023474507
6a_L,0.6286356288897903
i6-8_L,0.6087822956872774
s6-8_L,0.6017744212480598
43_L,0.6147866381960011
OP4_L,0.606694167334594
OP1_L,0.650172933083511
OP2-3_L,0.6842076684527824
52_L,0.6597592527075826
RI_L,0.6666925058038458
PFcm_L,0.6131423922677982
PoI2_L,0.6422493577209604
TA2_L,0.6190451449957813
FOP4_L,0.6459516526947578
MI_L,0.6209325485794918
Pir_L,0.7165221356035649
AVI_L,0.6637092460474201
AAIC_L,0.6598537055311324
FOP1_L,0.6362509895558016
FOP3_L,0.6447923665184582
FOP2_L,0.649935212156831
PFt_L,0.5548670538279593
AIP_L,0.5962213518453464
EC_L,0.7814931739045765
PreS_L,0.7837875140707642
H_L,0.7033546560361067
ProS_L,0.678019713476583
PeEc_L,0.7373470289745536
STGa_L,0.5851239428181078
PBelt_L,0.6287403697799845
A5_L,0.6030282549271558
PHA1_L,0.6999649751769979
PHA3_L,0.6702092062652599
STSda_L,0.6088513640451669
STSdp_L,0.5998813154818476
STSvp_L,0.5545152469888859
TGd_L,0.6612363592049332
TE1a_L,0.592283220489189
TE1p_L,0.5638699682000275
TE2a_L,0.6451107959588366
TF_L,0.7211767412787992
TE2p_L,0.6485198518655549
PHT_L,0.5482724611539879
PH_L,0.5761679262005172
TPOJ1_L,0.5865710282454003
TPOJ2_L,0.5650167594597294
TPOJ3_L,0.5698504956824906
DVT_L,0.5879419354259282
PGp_L,0.5582819010962025
IP2_L,0.5581784066749602
IP1_L,0.5630842744563779
IP0_L,0.5416121547009579
PFop_L,0.5641412754942898
PF_L,0.5612920491710004
PFm_L,0.5506053244108947
PGi_L,0.5564750928217344
PGs_L,0.5568250505759911
V6A_L,0.5781885452114577
VMV1_L,0.7014305510549977
VMV3_L,0.6470505684045464
PHA2_L,0.6633785741057098
V4t_L,0.5929027053435543
FST_L,0.5673315567879299
V3CD_L,0.5791569344857923
LO3_L,0.5685546754679813
VMV2_L,0.6645121100029964
31pd_L,0.597858487102677
31a_L,0.6010331959218804
VVC_L,0.6741797445515499
25_L,0.7689513903548088
s32_L,0.7462321801494596
pOFC_L,0.7804031663210949
PoI1_L,0.6392302174437199
Ig_L,0.6767532151515075
FOP5_L,0.6691167006045637
p10p_L,0.5914005449876201
p47r_L,0.5757700825215888
TGv_L,0.7174362914171387
MBelt_L,0.7035316402632623
LBelt_L,0.687160224947416
A4_L,0.5942588253762804
STSva_L,0.5868567581911032
TE1m_L,0.5819922037126387
PI_L,0.638525506869122
a32pr_L,0.6049280523955444
p24_L,0.6030044159411138
V1_R,0.6696418564082651
MST_R,0.596519476633873
V6_R,0.6124470505655863
V2_R,0.6540798076829689
V3_R,0.6213225515733358
V4_R,0.6087417040131229
V8_R,0.6317386429556664
4_R,0.6888319869242777
3b_R,0.6739245077513326
FEF_R,0.6249561606287762
PEF_R,0.6105301679245345
55b_R,0.6012817006154237
V3A_R,0.5947253259143264
RSC_R,0.7549385536233709
POS2_R,0.6063866068931286
V7_R,0.5918548686110144
IPS1_R,0.5725129119019534
FFC_R,0.6398710080464597
V3B_R,0.571051126926547
LO1_R,0.5689468485723075
LO2_R,0.5847847483650237
PIT_R,0.5982583637539495
MT_R,0.5889602342106236
A1_R,0.7158197103751881
PSL_R,0.5392872039783962
SFL_R,0.6117787409498625
PCV_R,0.5968096743719261
STV_R,0.556995685361618
7Pm_R,0.5723963943708401
7m_R,0.6065080842152165
POS1_R,0.65282414225883
23d_R,0.667704986720253
v23ab_R,0.66717466074544
d23ab_R,0.6586338795845916
31pv_R,0.6220913529179921
5m_R,0.6687540821592943
5mv_R,0.6317843800915867
23c_R,0.6106196348881593
5L_R,0.594980581124382
24dd_R,0.6854459151906677
24dv_R,0.6621340281820098
7AL_R,0.5595728356946401
SCEF_R,0.6598825255913925
6ma_R,0.6109108849855795
7Am_R,0.5644927886482686
7Pl_R,0.558115875127677
7PC_R,0.5706012257630474
LIPv_R,0.5927636371217139
VIP_R,0.5636204878804261
MIP_R,0.5665137793711185
1_R,0.6240433290726346
2_R,0.600115945162643
3a_R,0.6712420907149504
6d_R,0.6415485327564732
6mp_R,0.6410071347626889
6v_R,0.5800038368657331
p24pr_R,0.6412670564800084
33pr_R,0.6820861844403324
a24pr_R,0.6367329362240123
p32pr_R,0.6538828859748389
a24_R,0.6595460325948497
d32_R,0.6262806259355098
8BM_R,0.6328295051290377
p32_R,0.6531756819283395
10r_R,0.6928572796337683
47m_R,0.7215325152218739
8Av_R,0.6019220236823973
8Ad_R,0.6035378222488975
9m_R,0.6015581413805503
8BL_R,0.5770701133958132
9p_R,0.5667814387855591
10d_R,0.5892390308458286
8C_R,0.6088101893995586
44_R,0.6062897816400461
45_R,0.6078722446502206
47l_R,0.6179352178827913
a47r_R,0.6108562533279193
6r_R,0.5971815464149672
IFJa_R,0.6347481947175966
IFJp_R,0.627967675834166
IFSp_R,0.6241564887128856
IFSa_R,0.6016102471521919
p9-46v_R,0.5964374725955555
46_R,0.5931068649255452
a9-46v_R,0.595487547332483
9-46d_R,0.5879602953961028
9a_R,0.5626595397730152
10v_R,0.7145095960518105
a10p_R,0.6112987676292172
10pp_R,0.6732604295980502
11l_R,0.684747699555921
13l_R,0.779734359978906
OFC_R,0.7820620121440797
47s_R,0.6991209631288443
LIPd_R,0.5738371803432077
6a_R,0.627287278491967
i6-8_R,0.6228387092458635
s6-8_R,0.5994814108404862
43_R,0.60702040599093
OP4_R,0.5967432133269497
OP1_R,0.642153067234629
OP2-3_R,0.6683883038778522
52_R,0.6628615569000136
RI_R,0.6353129513068629
PFcm_R,0.588750832943611
PoI2_R,0.6410167166654859
TA2_R,0.6312323907687936
FOP4_R,0.6571978225958554
MI_R,0.6226908137885891
Pir_R,0.710510192600059
AVI_R,0.6661014161559661
AAIC_R,0.6499530138242294
FOP1_R,0.6469070855514132
FOP3_R,0.6485738159890431
FOP2_R,0.6539030369403415
PFt_R,0.551851886815823
AIP_R,0.5731477562593025
EC_R,0.7800338938107201
PreS_R,0.7802538439668072
H_R,0.6965803672863625
ProS_R,0.6843291910875352
PeEc_R,0.7309679784980264
STGa_R,0.5838376631885341
PBelt_R,0.6222799052985336
A5_R,0.5818141285114504
PHA1_R,0.6965657708767233
PHA3_R,0.6663174633452272
STSda_R,0.5903713266040368
STSdp_R,0.586837698306309
STSvp_R,0.5489962285805585
TGd_R,0.6638622806258493
TE1a_R,0.5834277327964607
TE1p_R,0.5563898634710661
TE2a_R,0.6438026624500317
TF_R,0.7193845394732811
TE2p_R,0.6576255193583288
PHT_R,0.54188619397858
PH_R,0.5766704476096957
TPOJ1_R,0.5663611239813839
TPOJ2_R,0.5591889972655506
TPOJ3_R,0.5568622574033296
DVT_R,0.6058269305205597
PGp_R,0.5381781469056928
IP2_R,0.5600675839553333
IP1_R,0.5562470809594213
IP0_R,0.5608259726536524
PFop_R,0.5526520688325627
PF_R,0.5396954325959742
PFm_R,0.5413646967117467
PGi_R,0.5404212193640052
PGs_R,0.5366965521545365
V6A_R,0.5759881179048691
VMV1_R,0.6989546927228968
VMV3_R,0.654326219393833
PHA2_R,0.6607910903300256
V4t_R,0.5814463239104166
