region,thick
V1_L,1.974653533491424
MST_L,2.479665268483628
V6_L,2.1855750450721154
V2_L,2.0838020308845504
V3_L,2.242656493633056
V4_L,2.351847246134356
V8_L,2.6719189047069904
4_L,2.75336974970764
3b_L,1.7965608148713617
FEF_L,2.641954322862526
PEF_L,2.605692587870322
55b_L,2.7943495911025207
V3A_L,2.1706786601806134
RSC_L,2.2953137181652807
POS2_L,2.4238004624967515
V7_L,2.2944574494867465
IPS1_L,2.289286591654756
FFC_L,2.8399320669828483
V3B_L,2.32329700493763
LO1_L,2.3792846425903065
LO2_L,2.5883253577345373
PIT_L,2.5957663173239345
MT_L,2.5038699588260136
A1_L,2.629083645318997
PSL_L,2.691370212610447
SFL_L,2.984713294649818
PCV_L,2.5638884546355247
STV_L,2.780623660018191
7Pm_L,2.467691211343555
7m_L,2.6834252371361744
POS1_L,2.840707885995972
23d_L,3.0337086635914763
v23ab_L,2.9616143430840696
d23ab_L,3.212949249204132
31pv_L,2.7384741261694385
5m_L,2.280904345601612
5mv_L,2.2995981069711537
23c_L,2.6027811728495323
5L_L,2.2049141802559773
24dd_L,2.795713428647999
24dv_L,2.760361257065359
7AL_L,2.217792725116944
SCEF_L,2.9354149070945947
6ma_L,2.7447157005262475
7Am_L,2.342891701045998
7Pl_L,2.310467694256757
7PC_L,2.302871164809641
LIPv_L,2.216386505571076
VIP_L,2.287707544909693
MIP_L,2.321425852309641
1_L,2.279593549002729
2_L,2.218024430304704
3a_L,2.007324726318867
6d_L,2.7936417863175675
6mp_L,2.688083450412552
6v_L,2.956849032776767
p24pr_L,2.9031413944744022
33pr_L,2.388597008592126
a24pr_L,2.9789978154235968
p32pr_L,2.955610057172557
a24_L,3.2082753012928795
d32_L,3.079672069906445
8BM_L,3.076443931912682
p32_L,2.796261856808732
10r_L,2.6157777274720635
47m_L,2.67796024314579
8Av_L,2.767836985122141
8Ad_L,2.6812876108530403
9m_L,2.900198002614995
8BL_L,2.910736908783784
9p_L,2.601550318347193
10d_L,2.5404428335336537
8C_L,2.6680205220244284
44_L,2.793635441706731
45_L,2.644778182253768
47l_L,2.7631006062402546
a47r_L,2.71210338568737
6r_L,2.788604419097583
IFJa_L,2.643850346364995
IFJp_L,2.7237802612558477
IFSp_L,2.548493890901117
IFSa_L,2.525543910797817
p9-46v_L,2.571821502241424
46_L,2.5981582356094077
a9-46v_L,2.525114761320816
9-46d_L,2.534574322294049
9a_L,2.462052628800676
10v_L,2.8070738350279365
a10p_L,2.514479163282874
10pp_L,2.659843333793529
11l_L,2.7984403423856548
13l_L,2.8790963345406704
OFC_L,2.402711991212968
47s_L,3.072587169877209
LIPd_L,2.3497022601026507
6a_L,2.6447812276669698
i6-8_L,2.7344559572342777
s6-8_L,2.816642777091996
43_L,2.8133643897804053
OP4_L,2.8173802746556653
OP1_L,2.874692920835499
OP2-3_L,2.642977581698285
52_L,2.5175702576825625
RI_L,2.51061504149883
PFcm_L,2.6719310863597974
PoI2_L,3.426066249918789
TA2_L,2.976035135947245
FOP4_L,2.929415950656185
MI_L,3.299119977098493
Pir_L,3.1236572265625
AVI_L,3.0501678530242984
AAIC_L,3.5628966650695166
FOP1_L,2.929011418269231
FOP3_L,2.735510685339787
FOP2_L,2.7568384753443347
PFt_L,2.5287799161090176
AIP_L,2.383056133056133
EC_L,2.8264604279008574
PreS_L,2.1107222146650857
H_L,2.6933436403651245
ProS_L,2.299931579716736
PeEc_L,3.312705311606679
STGa_L,3.303262246621621
PBelt_L,2.646010559462708
A5_L,2.9958810786447505
PHA1_L,2.969173820003898
PHA3_L,2.891951785018191
STSda_L,2.836618149850572
STSdp_L,2.699213420526897
STSvp_L,2.811361269247012
TGd_L,3.3340648246654108
TE1a_L,3.138865004953872
TE1p_L,2.956775181506627
TE2a_L,2.949776568184771
TF_L,2.969594848379028
TE2p_L,2.8739176093912424
PHT_L,2.808978740985577
PH_L,2.711905941398129
TPOJ1_L,2.7220826971803533
TPOJ2_L,2.6261435526572243
TPOJ3_L,2.457002318574584
DVT_L,2.338941546339007
PGp_L,2.609169180824454
IP2_L,2.462489391810681
IP1_L,2.435995819662812
IP0_L,2.459563511077183
PFop_L,2.741554561622921
PF_L,2.6635143256237006
PFm_L,2.613749482279756
PGi_L,2.656277408718815
PGs_L,2.6062095467613045
V6A_L,2.2817167095731548
VMV1_L,2.560117471738565
VMV3_L,2.635087677446076
PHA2_L,2.6102538554931134
V4t_L,2.591670490352131
FST_L,2.588951443931913
V3CD_L,2.423903498976741
LO3_L,2.46570484058277
VMV2_L,2.4692631521244803
31pd_L,2.5311545770530146
31a_L,2.898237010297557
VVC_L,3.0519397759387994
25_L,3.08546749122921
s32_L,2.826305873180873
pOFC_L,2.952621491683992
PoI1_L,3.244393901864605
Ig_L,2.7952594082965176
FOP5_L,2.738544932026377
p10p_L,2.4187628414923337
p47r_L,2.5343862680288463
TGv_L,3.227591595877729
MBelt_L,2.631828323966996
LBelt_L,2.5667706844464657
A4_L,2.9328389950948544
STSva_L,2.823836550643191
TE1m_L,2.959980732685811
PI_L,2.6962268853137994
a32pr_L,3.0963662637246623
p24_L,3.2491990563279627
V1_R,1.9937598214575756
MST_R,2.518650871800286
V6_R,2.217758210433992
V2_R,2.093455863841606
V3_R,2.2508519543431653
V4_R,2.380559909368503
V8_R,2.6762537966151245
4_R,2.759667156639813
3b_R,1.7981503936704133
FEF_R,2.69332206868828
PEF_R,2.642697403683732
55b_R,2.815518512051715
V3A_R,2.220597043106809
RSC_R,2.278980152027027
POS2_R,2.4583359557724798
V7_R,2.3460416734342515
IPS1_R,2.3371262262863826
FFC_R,2.911782754434121
V3B_R,2.3491728657744284
LO1_R,2.440302033929964
LO2_R,2.686010539159953
PIT_R,2.680812526393581
MT_R,2.556894409433472
A1_R,2.7043685437240126
PSL_R,2.8605330183699325
SFL_R,3.034526103251689
PCV_R,2.590192196027157
STV_R,2.750581420137084
7Pm_R,2.491322602650728
7m_R,2.7508509392054314
POS1_R,2.873112351383836
23d_R,3.110804313929314
v23ab_R,3.0117667152579264
d23ab_R,3.2529720695003896
31pv_R,2.8079722319224274
5m_R,2.313307034498441
5mv_R,2.356879791450104
23c_R,2.6671264394653065
5L_R,2.246036140933602
24dd_R,2.811091496394231
24dv_R,2.813401188523259
7AL_R,2.2516645720991426
SCEF_R,2.959186387409044
6ma_R,2.79157623481354
7Am_R,2.3784745626786643
7Pl_R,2.3359699844074844
7PC_R,2.3432845593490126
LIPv_R,2.2473946490059773
VIP_R,2.3257939899785605
MIP_R,2.3622818469009874
1_R,2.2970011308634355
2_R,2.251362061054444
3a_R,2.009982864475052
6d_R,2.809270846868503
6mp_R,2.699816158556393
6v_R,2.9615328782809254
p24pr_R,2.9930143296842515
33pr_R,2.3136118296030403
a24pr_R,3.103671702426585
p32pr_R,2.9378205297394757
a24_R,3.1956178026734667
d32_R,3.085015501153197
8BM_R,3.131354762214137
p32_R,2.851140456487136
10r_R,2.661026223037942
47m_R,2.7092396821400726
8Av_R,2.767013962204392
8Ad_R,2.694379588422557
9m_R,2.937054354534823
8BL_R,2.9014293646862006
9p_R,2.576101830496362
10d_R,2.631925269620582
8C_R,2.665546885151377
44_R,2.835855781412422
45_R,2.743273951159693
47l_R,2.815767982149818
a47r_R,2.694827517947635
6r_R,2.8093028237071205
IFJa_R,2.6459625942047817
IFJp_R,2.734332364215177
IFSp_R,2.542160954148259
IFSa_R,2.5584300590404108
p9-46v_R,2.579049029122271
46_R,2.620353714591996
a9-46v_R,2.565271579797947
9-46d_R,2.5273610073414763
9a_R,2.478186466589787
10v_R,2.855981648340047
a10p_R,2.5765114385719854
10pp_R,2.736055052949584
11l_R,2.8301298970244284
13l_R,2.893218169341216
OFC_R,2.452885681279236
47s_R,3.160810252485057
LIPd_R,2.384590259956471
6a_R,2.657414109196336
i6-8_R,2.770477358367984
s6-8_R,2.833562331487136
43_R,2.8638020156574844
OP4_R,2.8437223374967515
OP1_R,2.917590611194127
OP2-3_R,2.654316162616944
52_R,2.5005263489150207
RI_R,2.51820091199974
PFcm_R,2.722476570621102
PoI2_R,3.2898751177559773
TA2_R,2.9629741200786124
FOP4_R,2.97144214527027
MI_R,3.336161845439189
