region,rtpp
V1_L,50.610401471609045
MST_L,50.45729886871965
V6_L,50.03807279155424
V2_L,50.87324757833862
V3_L,51.0472291588008
V4_L,50.950011017286336
V8_L,51.51388853560759
4_L,50.84285867830504
3b_L,49.179714068034926
FEF_L,49.822912581344376
PEF_L,49.13896301175985
55b_L,49.57321122859097
V3A_L,50.05573354198656
RSC_L,52.00329967567484
POS2_L,50.38831264810276
V7_L,49.61413198136306
IPS1_L,49.32335133679855
FFC_L,50.84880159467448
V3B_L,50.02805391154225
LO1_L,50.49247377807545
LO2_L,50.882987725576825
PIT_L,51.03750916158846
MT_L,50.43587448471152
A1_L,49.93692374630047
PSL_L,49.23398396814174
SFL_L,50.39031933667983
PCV_L,50.53119388186829
STV_L,49.6806159376584
7Pm_L,50.14977932449944
7m_L,50.64443724535767
POS1_L,51.414793408268736
23d_L,50.87056615355579
v23ab_L,51.13909517633748
d23ab_L,51.282803823559824
31pv_L,50.780244448750096
5m_L,51.74520148804176
5mv_L,50.94516762116759
23c_L,49.72282863312032
5L_L,50.594918611629694
24dd_L,51.561432584889126
24dv_L,50.89464347500632
7AL_L,49.759022392805335
SCEF_L,51.22376414084417
6ma_L,49.8206487322279
7Am_L,50.14508157697542
7Pl_L,49.84144674341536
7PC_L,49.77391898805267
LIPv_L,49.60242232769317
VIP_L,49.984656030669925
MIP_L,49.829488830787696
1_L,50.06765627114218
2_L,49.54596379180181
3a_L,48.75259541695307
6d_L,50.426412980176366
6mp_L,50.60036226709851
6v_L,49.0691632075352
p24pr_L,50.13177199828409
33pr_L,51.03560294631415
a24pr_L,50.12801586568937
p32pr_L,51.07005562994965
a24_L,49.93461487648505
d32_L,50.01111730027751
8BM_L,51.21685597033988
p32_L,49.9300999690472
10r_L,50.51352851723497
47m_L,49.134664380522565
8Av_L,49.24422758124363
8Ad_L,49.11095349824139
9m_L,49.67429666698352
8BL_L,49.31272755165185
9p_L,48.31389327961367
10d_L,48.37607226115485
8C_L,49.26594639990861
44_L,48.8158235515408
45_L,49.08297391203353
47l_L,48.538845669540606
a47r_L,48.25880267885152
6r_L,48.80392674378136
IFJa_L,49.57436042700568
IFJp_L,49.58341429848198
IFSp_L,49.142932699030965
IFSa_L,48.59662363539268
p9-46v_L,48.86615019211007
46_L,48.584008844687695
a9-46v_L,48.07513070411356
9-46d_L,48.47926072846448
9a_L,47.95613462470838
10v_L,50.459660166712304
a10p_L,48.02770043842223
10pp_L,48.90705007995552
11l_L,49.46078257816716
13l_L,50.942820363132704
OFC_L,52.13835760199979
47s_L,49.097795543813525
LIPd_L,49.29528715729719
6a_L,49.56185524751086
i6-8_L,49.78762621277146
s6-8_L,49.19507022544271
43_L,49.13395414915097
OP4_L,49.756253214693565
OP1_L,50.78465808024536
OP2-3_L,50.98305846597148
52_L,49.218074690980366
RI_L,50.33427860718219
PFcm_L,49.97541396409946
PoI2_L,48.05455931956949
TA2_L,49.2684923009561
FOP4_L,49.94783741532439
MI_L,48.03147290125583
Pir_L,47.919305880125286
AVI_L,48.74376545167068
AAIC_L,47.27078720989225
FOP1_L,49.83907177706197
FOP3_L,49.76310961742247
FOP2_L,50.86965378408912
PFt_L,49.11194132370888
AIP_L,49.36994962081174
EC_L,50.813341144705966
PreS_L,49.34111706325397
H_L,49.89867728102392
ProS_L,50.970728142305525
PeEc_L,50.84144661011004
STGa_L,48.23741314087206
PBelt_L,49.608324106256845
A5_L,49.0123883673574
PHA1_L,50.70628820863137
PHA3_L,51.18581410328309
STSda_L,48.93924100221932
STSdp_L,49.85565229155531
STSvp_L,49.34696409622567
TGd_L,49.13025856380936
TE1a_L,49.010476775343065
TE1p_L,49.81173872632784
TE2a_L,50.056718977672496
TF_L,51.40604187164869
TE2p_L,51.057548627464
PHT_L,49.817439557869776
PH_L,50.54597871202896
TPOJ1_L,50.11630585329943
TPOJ2_L,50.08516251690376
TPOJ3_L,49.7177155879438
DVT_L,50.696338125951485
PGp_L,49.57922622680114
IP2_L,49.66506206055775
IP1_L,50.00965288553895
IP0_L,50.594698369152326
PFop_L,48.967684109730975
PF_L,48.97654452486403
PFm_L,49.44188211592621
PGi_L,49.69292335160985
PGs_L,49.531934606489145
V6A_L,50.050960049725
VMV1_L,51.57600448377716
VMV3_L,51.43535126004329
PHA2_L,51.00678913379285
V4t_L,50.59578626005558
FST_L,50.30906159852086
V3CD_L,50.08444474969253
LO3_L,50.23625463063216
VMV2_L,51.44768885679806
31pd_L,50.71613602566677
31a_L,50.63889780140861
VVC_L,51.58373918789376
25_L,51.87489264661886
s32_L,51.7853550619649
pOFC_L,50.959836275162615
PoI1_L,48.58783587600558
Ig_L,50.05820620646171
FOP5_L,50.25928411259353
p10p_L,47.72821673463405
p47r_L,47.96713093608439
TGv_L,50.69177479035469
MBelt_L,50.20961328931685
LBelt_L,49.98247519280294
A4_L,49.25876649229859
STSva_L,49.14255163171915
TE1m_L,49.37713428145883
PI_L,49.21696359191668
a32pr_L,50.518007429325664
p24_L,49.47687098688201
V1_R,50.36976084859021
MST_R,50.66618462904623
V6_R,49.295332311528654
V2_R,50.56970360303855
V3_R,50.80538254580683
V4_R,51.00620748076035
V8_R,51.14754528996181
4_R,51.34348130670055
3b_R,48.5869111929443
FEF_R,50.53612261133531
PEF_R,49.93476355087515
55b_R,50.58599565350863
V3A_R,50.48439113449049
RSC_R,50.78417583086076
POS2_R,50.53159559464908
