region,qiv
V1_L,4.698540208313454e-09
MST_L,4.920431394749184e-09
V6_L,5.0260038473059085e-09
V2_L,4.744639593526127e-09
V3_L,4.6727000524977804e-09
V4_L,4.682030905310752e-09
V8_L,4.515644706356283e-09
4_L,4.5890334821148535e-09
3b_L,4.958571426417372e-09
FEF_L,4.985657346873901e-09
PEF_L,5.233121241220301e-09
55b_L,4.9534472390799115e-09
V3A_L,4.834930153030481e-09
RSC_L,4.457992839941754e-09
POS2_L,4.760745491700683e-09
V7_L,4.964659917441508e-09
IPS1_L,5.16422730585325e-09
FFC_L,4.741629475560423e-09
V3B_L,5.0800497468969105e-09
LO1_L,4.819115824116147e-09
LO2_L,4.6537773412960954e-09
PIT_L,4.588206999960754e-09
MT_L,4.866836457065425e-09
A1_L,5.082032550375546e-09
PSL_L,5.156044002829577e-09
SFL_L,4.867081486691642e-09
PCV_L,4.872931486324657e-09
STV_L,4.969915963479086e-09
7Pm_L,4.8746226831265945e-09
7m_L,4.906185716270766e-09
POS1_L,4.699243299659626e-09
23d_L,5.194456271014966e-09
v23ab_L,4.885589658385929e-09
d23ab_L,4.898488552411538e-09
31pv_L,5.047614932568144e-09
5m_L,4.3944687900095864e-09
5mv_L,4.985572516181751e-09
23c_L,5.303733233766443e-09
5L_L,4.707593478391935e-09
24dd_L,4.703146301580773e-09
24dv_L,5.159133121660862e-09
7AL_L,4.830669175963927e-09
SCEF_L,4.756224184786964e-09
6ma_L,4.876469868685335e-09
7Am_L,4.795131028533909e-09
7Pl_L,4.7831361589056904e-09
7PC_L,4.8022713203733636e-09
LIPv_L,4.797617270120224e-09
VIP_L,4.7381077219443055e-09
MIP_L,4.918327859005867e-09
1_L,4.703603382126031e-09
2_L,4.89847495969178e-09
3a_L,5.277769934148131e-09
6d_L,4.846274071770968e-09
6mp_L,4.818445510233408e-09
6v_L,5.099933731071742e-09
p24pr_L,5.4663491828708105e-09
33pr_L,5.306229332749204e-09
a24pr_L,5.674721923038584e-09
p32pr_L,5.288469673736284e-09
a24_L,5.747057939557376e-09
d32_L,5.456999250036399e-09
8BM_L,4.962540734741542e-09
p32_L,5.6304843354832445e-09
10r_L,5.4275248499851155e-09
47m_L,5.2964401196908215e-09
8Av_L,5.132617217224173e-09
8Ad_L,5.42304341143767e-09
9m_L,5.4032036389452895e-09
8BL_L,5.132672823593135e-09
9p_L,5.514547052985861e-09
10d_L,5.647927475655121e-09
8C_L,5.088674672537042e-09
44_L,5.181397688606009e-09
45_L,5.134245463506196e-09
47l_L,5.409547545846071e-09
a47r_L,5.617412059827534e-09
6r_L,5.3584603628845195e-09
IFJa_L,5.200622883430233e-09
IFJp_L,5.285408429045839e-09
IFSp_L,5.2510185303679454e-09
IFSa_L,5.432397223401564e-09
p9-46v_L,5.2287896973408865e-09
46_L,5.4858976482180155e-09
a9-46v_L,5.585922503246742e-09
9-46d_L,5.631910505914928e-09
9a_L,5.643223625325565e-09
10v_L,5.167006548099181e-09
a10p_L,5.8686248608389205e-09
10pp_L,5.5096157747470405e-09
11l_L,5.438473630551611e-09
13l_L,4.841671329961317e-09
OFC_L,4.07384142750231e-09
47s_L,5.448132187993928e-09
LIPd_L,5.086565410452265e-09
6a_L,5.187020630851685e-09
i6-8_L,5.133283877521142e-09
s6-8_L,5.113200139816551e-09
43_L,5.135921138058302e-09
OP4_L,5.0084653123854005e-09
OP1_L,4.8095074137507675e-09
OP2-3_L,4.842522685171103e-09
52_L,5.605265315632184e-09
RI_L,5.040610724518618e-09
PFcm_L,4.915833645795919e-09
PoI2_L,5.664347994483795e-09
TA2_L,5.44995455208419e-09
FOP4_L,5.306119622198281e-09
MI_L,5.743388003445908e-09
Pir_L,5.239242676241591e-09
AVI_L,5.490560943525765e-09
AAIC_L,5.744939100283202e-09
FOP1_L,5.121934218327013e-09
FOP3_L,5.386651640053345e-09
FOP2_L,5.083848933190704e-09
PFt_L,5.166653957837843e-09
AIP_L,5.048689645234095e-09
EC_L,4.823084872914771e-09
PreS_L,4.779185975185458e-09
H_L,5.576346336798774e-09
ProS_L,4.936681733683881e-09
PeEc_L,4.99392064401205e-09
STGa_L,5.629638541065529e-09
PBelt_L,5.167486913084828e-09
A5_L,5.065590906687363e-09
PHA1_L,5.078759883886103e-09
PHA3_L,4.975257822198049e-09
STSda_L,5.261186272255216e-09
STSdp_L,5.053487572008723e-09
STSvp_L,5.3343835273869564e-09
TGd_L,5.523105098303856e-09
TE1a_L,5.418468502708564e-09
TE1p_L,5.0917104403581195e-09
TE2a_L,5.0927839910971505e-09
TF_L,4.714722433212486e-09
TE2p_L,4.769451379940879e-09
PHT_L,5.055706400454688e-09
PH_L,4.9163634132623415e-09
TPOJ1_L,4.928156069999647e-09
TPOJ2_L,5.031436561688452e-09
TPOJ3_L,5.065121448376237e-09
DVT_L,4.859724440660626e-09
PGp_L,5.004717119537973e-09
IP2_L,5.097582619856434e-09
IP1_L,5.025174005615467e-09
IP0_L,4.9507351967258875e-09
PFop_L,5.1750294834211675e-09
PF_L,5.0756529841393234e-09
PFm_L,5.02565874082786e-09
PGi_L,5.0479779197203484e-09
PGs_L,5.017047153982386e-09
V6A_L,4.824436108873879e-09
VMV1_L,4.695393927336802e-09
VMV3_L,4.718993055795304e-09
PHA2_L,5.042595217302063e-09
V4t_L,4.7594651089910934e-09
FST_L,4.9461140573845325e-09
V3CD_L,4.8727763841644336e-09
LO3_L,4.885137604483183e-09
VMV2_L,4.773794093370231e-09
31pd_L,5.0033402154954324e-09
31a_L,5.021313417798691e-09
VVC_L,4.632621482293147e-09
25_L,4.810621962667645e-09
s32_L,5.075182461403676e-09
pOFC_L,4.71075590928491e-09
PoI1_L,5.623613997910683e-09
Ig_L,5.185996216006721e-09
FOP5_L,5.113089162841878e-09
p10p_L,5.714151442570337e-09
p47r_L,5.5650065583981134e-09
TGv_L,4.993342266337144e-09
MBelt_L,5.0731293636968355e-09
LBelt_L,5.140498053659863e-09
A4_L,5.079286433546625e-09
STSva_L,5.5363037068593795e-09
TE1m_L,5.243199812982856e-09
PI_L,5.757959403786758e-09
a32pr_L,5.489321948121879e-09
p24_L,5.867779334817091e-09
V1_R,4.796737001586589e-09
MST_R,4.8517073666813705e-09
V6_R,5.094364832499188e-09
V2_R,4.830502651202052e-09
V3_R,4.725932325410661e-09
V4_R,4.716302537712993e-09
V8_R,4.6640306948622235e-09
4_R,4.4861809962313166e-09
3b_R,4.969354594580471e-09
FEF_R,4.880037488368606e-09
PEF_R,5.1475677151263875e-09
55b_R,4.819859025735887e-09
V3A_R,4.711433186551757e-09
RSC_R,4.577791413362203e-09
POS2_R,4.758469148635992e-09
V7_R,4.7068582720812e-09
IPS1_R,4.884458843133599e-09
FFC_R,4.67089096433527e-09
V3B_R,5.027439705660055e-09
LO1_R,4.829631251529622e-09
LO2_R,4.6627596436005375e-09
PIT_R,4.580665412520206e-09
MT_R,4.806591617264571e-09
A1_R,5.079207435625816e-09
PSL_R,5.025513267734244e-09
SFL_R,4.9301583894648e-09
PCV_R,4.9610919139697795e-09
STV_R,4.914237208636199e-09
7Pm_R,4.9770313519363295e-09
7m_R,5.0449412818129645e-09
POS1_R,4.770472950387532e-09
23d_R,5.256345872053723e-09
v23ab_R,4.969726683958445e-09
d23ab_R,4.997286700315314e-09
31pv_R,5.1317595982835435e-09
5m_R,4.5316882697427245e-09
5mv_R,5.017437309147391e-09
23c_R,5.245920614646881e-09
5L_R,4.743771536247342e-09
24dd_R,4.8849054558160906e-09
24dv_R,5.2224525792890625e-09
7AL_R,4.772713252983148e-09
SCEF_R,4.956559567809471e-09
6ma_R,4.830928180436278e-09
7Am_R,4.873591330695066e-09
7Pl_R,4.7762243894936395e-09
7PC_R,4.69568688393388e-09
LIPv_R,4.691643031661281e-09
VIP_R,4.68676668610253e-09
MIP_R,4.7625092920079514e-09
1_R,4.587162293616815e-09
2_R,4.759651407658741e-09
3a_R,5.068726837563315e-09
6d_R,4.799277453958615e-09
6mp_R,4.831328406240737e-09
6v_R,4.965413785600091e-09
p24pr_R,5.550505505546687e-09
33pr_R,5.350785182344199e-09
a24pr_R,5.707011939370713e-09
p32pr_R,5.379373244041857e-09
a24_R,5.892531393910814e-09
d32_R,5.590269704384702e-09
8BM_R,5.1914911789015824e-09
p32_R,5.807955189069103e-09
10r_R,5.633878777697594e-09
47m_R,5.191597039604969e-09
8Av_R,4.999588739777972e-09
8Ad_R,5.247739614446652e-09
9m_R,5.665265540452421e-09
8BL_R,5.196904145403054e-09
9p_R,5.478651068981775e-09
10d_R,5.795016935602008e-09
8C_R,4.998520891405211e-09
44_R,5.118435419399298e-09
45_R,5.120305698298273e-09
47l_R,5.239109737319261e-09
a47r_R,5.5889898535460196e-09
6r_R,5.2765795326067184e-09
IFJa_R,5.14499987954132e-09
IFJp_R,5.169881092050729e-09
IFSp_R,5.229794149937842e-09
IFSa_R,5.4927903071471045e-09
p9-46v_R,5.215704311936119e-09
46_R,5.490665680855381e-09
a9-46v_R,5.558951570757854e-09
9-46d_R,5.629547581915126e-09
9a_R,5.670136876503306e-09
10v_R,5.4795058564689955e-09
a10p_R,5.8247812767134395e-09
10pp_R,5.425359130630939e-09
11l_R,5.302581064416656e-09
13l_R,4.6954355750946405e-09
OFC_R,4.2882450025759285e-09
47s_R,5.1943998417143445e-09
LIPd_R,4.917671949622851e-09
6a_R,5.057067193897851e-09
i6-8_R,5.044785770002959e-09
s6-8_R,4.967584074407807e-09
43_R,5.021903932262118e-09
OP4_R,4.9892449751462505e-09
OP1_R,4.876009255184539e-09
OP2-3_R,4.968090591887932e-09
52_R,5.588424812966152e-09
RI_R,5.142068538626814e-09
PFcm_R,4.884631214475399e-09
PoI2_R,5.3987472404806076e-09
TA2_R,5.588786074601681e-09
FOP4_R,5.4141605875387834e-09
MI_R,5.574180357785315e-09
Pir_R,5.233030091540367e-09
AVI_R,5.3470553369090166e-09
AAIC_R,5.6882021935527195e-09
FOP1_R,5.182991043990076e-09
FOP3_R,5.4132936507887485e-09
FOP2_R,5.2333424833588495e-09
PFt_R,5.075063799048105e-09
AIP_R,4.966381663058688e-09
EC_R,4.78400031351189e-09
PreS_R,4.9580595295015665e-09
H_R,5.510346877300225e-09
ProS_R,5.078573980698238e-09
PeEc_R,4.8579076256168496e-09
STGa_R,5.4748916880982545e-09
PBelt_R,5.157344570316091e-09
A5_R,4.852772246756992e-09
PHA1_R,5.001993724456184e-09
