region,rtap
8Ad_R,3428.9643897948013
9m_R,3235.1262459476757
8BL_R,3374.98816441992
9p_R,3280.3714577535056
10d_R,3156.3655822470046
8C_R,3539.879601194217
44_R,3471.5895111554432
45_R,3400.88773413697
47l_R,3364.85715047576
a47r_R,3249.629366196913
6r_R,3378.1373512829055
IFJa_R,3435.0945807699736
IFJp_R,3454.7429688595525
IFSp_R,3355.562009190136
IFSa_R,3212.274198209307
p9-46v_R,3378.6707628389363
46_R,3251.1835996623804
a9-46v_R,3201.437426263947
9-46d_R,3222.2448103818037
9a_R,3202.2397550568608
10v_R,3373.9203330027117
a10p_R,3195.9794989995303
10pp_R,3374.1943162899556
11l_R,3512.1030784260315
13l_R,3677.677864105095
OFC_R,3965.3779519770824
47s_R,3536.1322512516695
LIPd_R,3466.481673874063
6a_R,3475.311113325873
i6-8_R,3418.80292396059
s6-8_R,3546.236123993524
43_R,3537.417337382703
OP4_R,3530.5402556589693
OP1_R,3627.0645051018496
OP2-3_R,3649.982914677518
52_R,3224.7456656414297
RI_R,3383.5370206874763
PFcm_R,3565.3206858492695
PoI2_R,3546.1995449228903
TA2_R,3202.943261201765
FOP4_R,3452.434920531616
MI_R,3377.6978024083587
Pir_R,3628.564857877248
AVI_R,3513.8672266125636
AAIC_R,3476.658541861411
FOP1_R,3554.291649673303
FOP3_R,3463.000951472295
FOP2_R,3521.125677836449
PFt_R,3335.5090081363
AIP_R,3472.0174787912606
EC_R,3719.5810784467512
PreS_R,3451.692094186914
H_R,3454.08450682071
ProS_R,3600.7843754268592
PeEc_R,3720.8804680655753
STGa_R,3305.964047413129
PBelt_R,3256.5012418937267
A5_R,3582.460697153006
PHA1_R,3703.0796363698514
PHA3_R,3571.1048398958264
STSda_R,3555.447265641996
STSdp_R,3496.3717458337005
STSvp_R,3263.307924358799
TGd_R,3385.209441899465
TE1a_R,3328.943115617083
TE1p_R,3395.937140677355
TE2a_R,3432.2699765845796
TF_R,3769.8298316046325
TE2p_R,3595.0554700341713
PHT_R,3395.1585248987685
PH_R,3533.3549808624366
TPOJ1_R,3452.1538363143577
TPOJ2_R,3432.646969135022
TPOJ3_R,3459.473593332049
DVT_R,3421.8979030894216
PGp_R,3465.1366697651792
IP2_R,3306.6370732966243
IP1_R,3352.5599577512417
IP0_R,3256.1607297254213
PFop_R,3471.788740817919
PF_R,3499.280666647964
PFm_R,3445.214758009506
PGi_R,3451.210716028064
PGs_R,3479.778716420211
V6A_R,3458.63839489932
VMV1_R,3720.759663306613
VMV3_R,3524.5324070621464
PHA2_R,3703.7344274699303
V4t_R,3511.0654981529733
FST_R,3463.5474333909237
V3CD_R,3439.307018326185
LO3_R,3442.7587895237652
VMV2_R,3649.4838198325174
31pd_R,3330.6446182048894
31a_R,3436.852259663888
VVC_R,3717.847008228706
25_R,3788.365224476651
s32_R,3674.010762917819
pOFC_R,3772.226820337392
PoI1_R,3503.647881921113
Ig_R,3633.5255492109586
FOP5_R,3547.971526666175
p10p_R,3235.489865343828
p47r_R,3217.4534543960685
TGv_R,3590.5274095597943
MBelt_R,3263.869724828707
LBelt_R,3256.846958055148
A4_R,3360.3785794038827
STSva_R,3270.632842994418
TE1m_R,3361.8319502112013
PI_R,3162.1700766261106
a32pr_R,3311.2035547165888
p24_R,3265.097829993338
