region,rtop
MIP_R,209838.57674007394
1_R,214246.3104049298
2_R,216401.1696558603
3a_R,193054.55531123994
6d_R,208844.9384718074
6mp_R,208538.04854428585
6v_R,197751.80129194979
p24pr_R,187911.36158042675
33pr_R,207521.15538320388
a24pr_R,186504.58304597056
p32pr_R,197833.76535504728
a24_R,197702.44446877606
d32_R,189901.42617464246
8BM_R,196955.55933540605
p32_R,194183.36210276294
10r_R,199617.6490417914
47m_R,209073.59807088718
8Av_R,206018.69951487114
8Ad_R,202552.6430450489
9m_R,182556.40367511834
8BL_R,194925.82222814905
9p_R,187464.825519552
10d_R,177999.97353405104
8C_R,210505.50049030205
44_R,203105.33822576303
45_R,198788.58486000507
47l_R,197111.31125035914
a47r_R,187914.9311005859
6r_R,195452.2257146619
IFJa_R,203506.45709428564
IFJp_R,203969.01369165283
IFSp_R,197284.31806274346
IFSa_R,184270.8864554456
p9-46v_R,197547.33442196652
46_R,186997.0536530646
a9-46v_R,182830.147111342
9-46d_R,184047.6413150366
9a_R,180896.82017408867
10v_R,202628.23812765063
a10p_R,184174.70465944795
10pp_R,200361.01676383486
11l_R,213878.33526538665
13l_R,230115.91316756475
OFC_R,247516.80581505326
47s_R,213509.39596568156
LIPd_R,203625.57427533495
6a_R,206913.4356710241
i6-8_R,202174.77966699112
s6-8_R,210814.9652909507
43_R,208851.41145434466
OP4_R,206230.2772265832
OP1_R,216174.9059119009
OP2-3_R,220691.42633995056
52_R,189226.579524186
RI_R,198396.18133203045
PFcm_R,209279.4164484015
PoI2_R,209505.25770150567
TA2_R,184353.40173309422
FOP4_R,204049.94274420835
MI_R,195413.93348178215
Pir_R,218308.94433018527
AVI_R,209565.88381411415
AAIC_R,203499.5499813474
FOP1_R,210738.26116711026
FOP3_R,205564.07373725597
FOP2_R,209890.73940946106
PFt_R,191395.8359429574
AIP_R,204405.57163691826
EC_R,231322.9322194632
PreS_R,205496.57306361446
H_R,210990.62340687978
ProS_R,217870.5128203782
PeEc_R,232552.4769383742
STGa_R,190973.7314320349
PBelt_R,188416.50408303583
A5_R,212875.7277991493
PHA1_R,228351.97093846867
PHA3_R,217640.28363110925
STSda_R,213481.26915644077
STSdp_R,206558.5478471096
STSvp_R,183614.83204569106
TGd_R,200812.76769955308
TE1a_R,192713.32626451584
TE1p_R,195648.49342375516
TE2a_R,203699.81299759727
TF_R,234099.99915775063
TE2p_R,216477.02867416697
PHT_R,193719.76881617252
PH_R,207042.2688225543
TPOJ1_R,199327.49306639144
TPOJ2_R,196992.8262313965
TPOJ3_R,199670.50669819443
DVT_R,199124.0065712627
PGp_R,198078.58537748182
IP2_R,189800.62375204946
IP1_R,192630.31894555545
IP0_R,182952.03677253483
PFop_R,200037.14704480008
PF_R,202079.81514429068
PFm_R,197872.13947940394
PGi_R,196952.7554337119
PGs_R,199718.49004108785
V6A_R,201085.8263812305
VMV1_R,228607.95838671303
VMV3_R,211361.33747359956
PHA2_R,230157.78433247836
V4t_R,204760.01365135564
FST_R,200266.29769511908
V3CD_R,197960.63480368623
LO3_R,198020.6877422052
VMV2_R,222400.1528959735
31pd_R,192576.77286060332
31a_R,200142.42561088395
VVC_R,227844.40078088312
25_R,236422.07115753216
s32_R,230815.3418708816
pOFC_R,235550.30053837848
PoI1_R,207640.60380002548
Ig_R,219154.3120282379
FOP5_R,212470.6335891492
p10p_R,185832.11607178737
p47r_R,184215.26910552423
TGv_R,219894.84703530473
MBelt_R,193376.2213193636
LBelt_R,190740.48864842576
A4_R,193500.12742181652
STSva_R,189272.11919684117
TE1m_R,194983.06056562983
PI_R,181099.14704574432
a32pr_R,192499.68765152752
p24_R,186624.89341299134
