region,icvf
V1_L,0.2921755254867272
MST_L,0.2592594819175076
V6_L,0.2548567392757988
V2_L,0.2831244895105677
V3_L,0.2771160042633431
V4_L,0.2743829770362693
V8_L,0.2784941423276509
4_L,0.308207886045665
3b_L,0.2778193469500465
FEF_L,0.2603413177775807
PEF_L,0.2441642378088725
55b_L,0.2559611945272431
V3A_L,0.2681648268213636
RSC_L,0.3192504620163999
POS2_L,0.2629176583606248
V7_L,0.2758145940015086
IPS1_L,0.2596143696031559
FFC_L,0.2661619316559681
V3B_L,0.2475822995995731
LO1_L,0.2519451222643711
LO2_L,0.2636850085669486
PIT_L,0.2704079732711782
MT_L,0.2633806134111648
A1_L,0.3142991688533815
PSL_L,0.2350758877003323
SFL_L,0.2586552783817651
PCV_L,0.2482088138636993
STV_L,0.2403009236320508
7Pm_L,0.2436398611589645
7m_L,0.24858462338592
POS1_L,0.2800125765634622
23d_L,0.2596808844448721
v23ab_L,0.2714206473399452
d23ab_L,0.268978768780552
31pv_L,0.2501860759302327
5m_L,0.2956915180518382
5mv_L,0.2509490711188445
23c_L,0.241628122405399
5L_L,0.2636528215828115
24dd_L,0.277954326441106
24dv_L,0.2536570153232956
7AL_L,0.2602619348944536
SCEF_L,0.2679274743805097
6ma_L,0.2678779889182603
7Am_L,0.2483847682788977
7Pl_L,0.2563177359881919
7PC_L,0.2680215818990204
LIPv_L,0.280331945252199
VIP_L,0.265471931488685
MIP_L,0.2594187766212903
1_L,0.2870100844570777
2_L,0.2724427464154296
3a_L,0.27869294193609
6d_L,0.2847236225925877
6mp_L,0.2844104117807576
6v_L,0.239644018583325
p24pr_L,0.2434117195773446
33pr_L,0.2593739890731921
a24pr_L,0.2329362578163077
p32pr_L,0.2466587457888464
a24_L,0.2374251825550394
d32_L,0.2265679454929486
8BM_L,0.2468285651113559
p32_L,0.2333631379765028
10r_L,0.2587960602964507
47m_L,0.2780111307187156
8Av_L,0.244955332610129
8Ad_L,0.236816767361974
9m_L,0.2224683614497514
8BL_L,0.2392698431200111
9p_L,0.2226883915138681
10d_L,0.2175437502908275
8C_L,0.2491628432706479
44_L,0.2429236943813369
45_L,0.2475007845345575
47l_L,0.241979279917978
a47r_L,0.2274788698844586
6r_L,0.2347082664130631
IFJa_L,0.2518547202135165
IFJp_L,0.2467842631171498
IFSp_L,0.245167522322318
IFSa_L,0.2318950415963792
p9-46v_L,0.2366523627081793
46_L,0.2221282673206338
a9-46v_L,0.2212912005722509
9-46d_L,0.2194538233182161
9a_L,0.2153413700759091
10v_L,0.2960830959559182
a10p_L,0.2188897483519665
10pp_L,0.2651180347855383
11l_L,0.2638009405597157
13l_L,0.3178436908370712
OFC_L,0.3609751039075757
47s_L,0.2696617151845202
LIPd_L,0.2617748693275442
6a_L,0.2612939050064786
i6-8_L,0.2514769241379161
s6-8_L,0.2524956707867114
43_L,0.2463896829328916
OP4_L,0.2479582727931097
OP1_L,0.2689011640946577
OP2-3_L,0.2805344984339825
52_L,0.2590769684785456
RI_L,0.2773850507658664
PFcm_L,0.2562659404398735
PoI2_L,0.2466112801490458
TA2_L,0.247589479117508
FOP4_L,0.2498506735356848
MI_L,0.2350453536775815
Pir_L,0.2833194469891562
AVI_L,0.254968213953303
AAIC_L,0.2488487763349139
FOP1_L,0.2512833659190596
FOP3_L,0.2485512918376527
FOP2_L,0.2586062120328329
PFt_L,0.2316531556149358
AIP_L,0.2523734391908585
EC_L,0.3308238675813013
PreS_L,0.3403184109172198
H_L,0.2747604548582031
ProS_L,0.283401513285895
PeEc_L,0.3001581907026338
STGa_L,0.2265084337748098
PBelt_L,0.2623947109843984
A5_L,0.2462887373749901
PHA1_L,0.2785024609538296
PHA3_L,0.2717823078835613
STSda_L,0.2417275870550126
STSdp_L,0.2456373454918852
STSvp_L,0.2254176470282611
TGd_L,0.2587214540001935
TE1a_L,0.2330601863558078
TE1p_L,0.2339967912730773
TE2a_L,0.2646720306920417
TF_L,0.2993814645082576
TE2p_L,0.270685835106239
PHT_L,0.2315378088663659
PH_L,0.2439787482054052
TPOJ1_L,0.2480068618278074
TPOJ2_L,0.2405802489667318
TPOJ3_L,0.2420433474075659
DVT_L,0.2513706393890731
PGp_L,0.238110315278614
IP2_L,0.2372001385664709
IP1_L,0.2423993736153656
IP0_L,0.2348746578661945
PFop_L,0.2322093202648852
PF_L,0.2355493468116574
PFm_L,0.2371183349650302
PGi_L,0.2368959322335127
PGs_L,0.2390238148112602
V6A_L,0.2566959176450276
VMV1_L,0.2930181786669559
VMV3_L,0.2754552661890712
PHA2_L,0.2641767620280321
V4t_L,0.2589963197000111
FST_L,0.2418592419614269
V3CD_L,0.2498488616321218
LO3_L,0.2468921239981739
VMV2_L,0.2765927726547579
31pd_L,0.2486887584384882
31a_L,0.2463512407791113
VVC_L,0.2828744069558175
25_L,0.3153782378077537
s32_L,0.2955716971739128
pOFC_L,0.3291316150080836
PoI1_L,0.245132010304223
Ig_L,0.2722752112980188
FOP5_L,0.2635105391017924
p10p_L,0.2236089770104574
p47r_L,0.2224163194388801
TGv_L,0.2952380870420781
MBelt_L,0.2921356393293601
LBelt_L,0.2880077234123692
A4_L,0.2484555358999248
STSva_L,0.2279978065315804
TE1m_L,0.2349775148129322
PI_L,0.2476197895053332
a32pr_L,0.2318404354227934
p24_L,0.2195502813974572
V1_R,0.2911069834607985
MST_R,0.2515615779825871
V6_R,0.2630924324102619
V2_R,0.2820509635437078
V3_R,0.2716856124764272
V4_R,0.2651204872405233
V8_R,0.2750163934080838
4_R,0.3088873188044653
3b_R,0.30234079981563
FEF_R,0.2705709850478151
PEF_R,0.2519625310187927
55b_R,0.2601306951055499
V3A_R,0.2613982173771123
RSC_R,0.3218317016418137
POS2_R,0.2617607138220722
V7_R,0.2540348289271991
IPS1_R,0.2440160372424629
FFC_R,0.2719395824393122
V3B_R,0.2406537854145752
LO1_R,0.2463665436624953
LO2_R,0.2560709943468385
PIT_R,0.2644711562602554
MT_R,0.253130131514804
A1_R,0.3050069452320755
PSL_R,0.2294232525960773
SFL_R,0.2617667267646695
PCV_R,0.2551215202613535
STV_R,0.2365708191796968
7Pm_R,0.2472205772225428
7m_R,0.2528647851466736
POS1_R,0.2728151651711146
23d_R,0.2652846745530529
v23ab_R,0.274765334872374
d23ab_R,0.2664861491668253
31pv_R,0.2522723587482864
5m_R,0.3072319318660301
5mv_R,0.2684155154067537
23c_R,0.2471764884215598
5L_R,0.2690185693381732
24dd_R,0.288000947755767
24dv_R,0.2650481599824311
7AL_R,0.2536821734093169
SCEF_R,0.2791389053562197
6ma_R,0.265809881144449
7Am_R,0.2507473207762188
7Pl_R,0.2491491303149164
7PC_R,0.2604960968461551
LIPv_R,0.2648629920924867
VIP_R,0.2563973986762147
MIP_R,0.2509668031749793
1_R,0.2851472433165702
2_R,0.2650571896714669
3a_R,0.2814130133520368
6d_R,0.2862200749544577
6mp_R,0.284030109777748
6v_R,0.2447415465877258
p24pr_R,0.2475074925372306
33pr_R,0.2657118186765639
a24pr_R,0.2414842118551873
p32pr_R,0.2566558703314502
a24_R,0.2408687846633284
d32_R,0.2379635314175916
8BM_R,0.2559092146594177
p32_R,0.241718957607951
10r_R,0.2670185248607797
47m_R,0.2917391019155126
8Av_R,0.2542455725396351
8Ad_R,0.244017416840764
9m_R,0.2284623460354694
8BL_R,0.2371486425006883
9p_R,0.2231851492844078
10d_R,0.2219282646629244
8C_R,0.2531327431715153
44_R,0.2462122730603198
45_R,0.2461084858070399
47l_R,0.2479306871319129
a47r_R,0.2358114941413588
6r_R,0.2400570763793768
IFJa_R,0.2573184119337743
IFJp_R,0.2533637911050968
IFSp_R,0.2519631666797377
IFSa_R,0.2348790298707515
p9-46v_R,0.2424358612589158
46_R,0.2327641220877693
a9-46v_R,0.230558561213115
9-46d_R,0.2246721389124309
9a_R,0.2152347289741472
10v_R,0.2895767808617827
a10p_R,0.2281756043095481
10pp_R,0.2704724189114234
11l_R,0.2700106648191154
13l_R,0.332352257732997
OFC_R,0.351253140140755
47s_R,0.2794223955255466
LIPd_R,0.2495963436667385
6a_R,0.2618653289431237
i6-8_R,0.2640806879428149
s6-8_R,0.2541795399295156
43_R,0.2461859361157226
OP4_R,0.2453371442006585
OP1_R,0.264185131526915
OP2-3_R,0.2685964542100767
52_R,0.2610329882326874
RI_R,0.2633473573456078
PFcm_R,0.2502306656068475
PoI2_R,0.2487039306699381
TA2_R,0.2505624040527882
FOP4_R,0.2517608567565182
MI_R,0.237658108310196
Pir_R,0.2857130674701126
AVI_R,0.2541546351200878
AAIC_R,0.2443670729377382
FOP1_R,0.2571936988880138
FOP3_R,0.2452436238059449
FOP2_R,0.2556323983916808
PFt_R,0.2366480961432461
AIP_R,0.2478272563578954
EC_R,0.3328881555546027
PreS_R,0.3396215466432627
H_R,0.270718444440769
ProS_R,0.2775088679228105
PeEc_R,0.3025369723665408
STGa_R,0.2311226423656246
PBelt_R,0.2590319266711028
A5_R,0.245660415793986
PHA1_R,0.2810186081138174
PHA3_R,0.2668812485939799
STSda_R,0.2409232456724004
STSdp_R,0.2407698853549232
STSvp_R,0.2238415460726928
TGd_R,0.2648494422149882
TE1a_R,0.2355944235646259
TE1p_R,0.2315834342087715
TE2a_R,0.2642897843256449
