region,msd_icc
V1_L,0.9102705023188005
MST_L,0.8990229086022233
V6_L,0.8988757376217656
V2_L,0.890418625232221
V3_L,0.8937848205896466
V4_L,0.9004606535737585
V8_L,0.8679312750962008
4_L,0.8432625196616622
3b_L,0.863739794940959
FEF_L,0.8834092343389551
PEF_L,0.9003233664763103
55b_L,0.8764290857934828
V3A_L,0.8867295380334655
RSC_L,0.8901010478434299
POS2_L,0.8439853744030139
V7_L,0.9366723393624121
IPS1_L,0.8937746695158286
FFC_L,0.8758026647648322
V3B_L,0.8807244433283402
LO1_L,0.8336718883847802
LO2_L,0.8933655782386153
PIT_L,0.8828866847648307
MT_L,0.8872086864648834
A1_L,0.9469544745624497
PSL_L,0.8758995200476372
SFL_L,0.9023767021128652
PCV_L,0.8065819172436569
STV_L,0.8806628734640177
7Pm_L,0.8926057317248726
7m_L,0.8198770566757629
POS1_L,0.880216050379233
23d_L,0.8669119055351536
v23ab_L,0.8843773619704628
d23ab_L,0.8499288665798144
31pv_L,0.8974516302171714
5m_L,0.7764253219768733
5mv_L,0.8065475201684251
23c_L,0.8801056518278654
5L_L,0.8536097104948979
24dd_L,0.8066498458329748
24dv_L,0.891947639423932
7AL_L,0.9034451448581626
SCEF_L,0.8232495189126547
6ma_L,0.8978717673628228
7Am_L,0.8661435891838044
7Pl_L,0.910213317847638
7PC_L,0.8549902329954454
LIPv_L,0.8155774244041347
VIP_L,0.8643604677861547
MIP_L,0.8392080878388201
1_L,0.8940063603566029
2_L,0.8785273453432245
3a_L,0.8817823795570263
6d_L,0.86451964174092
6mp_L,0.8848030146898233
6v_L,0.9010112526475881
p24pr_L,0.9105439535206437
33pr_L,0.851996525350232
a24pr_L,0.8944301750876025
p32pr_L,0.8494930847529762
a24_L,0.8368438078157158
d32_L,0.8501981261920599
8BM_L,0.8943567155414145
p32_L,0.7490424153812358
10r_L,0.8519874564072731
47m_L,0.8770988065688065
8Av_L,0.8819268407072759
8Ad_L,0.836681218924
9m_L,0.818944280623395
8BL_L,0.9051720658668265
9p_L,0.8697194537207215
10d_L,0.9313669075885843
8C_L,0.8508084097462429
44_L,0.8512190761142834
45_L,0.873498597951854
47l_L,0.8784917085675954
a47r_L,0.8542007768295679
6r_L,0.9010778687272123
IFJa_L,0.8410256114416401
IFJp_L,0.8163843084251764
IFSp_L,0.8657037837067277
IFSa_L,0.8863892144282057
p9-46v_L,0.8179965388037547
46_L,0.8460313379454866
a9-46v_L,0.9098139331059713
9-46d_L,0.868147839407301
9a_L,0.8912703160133094
10v_L,0.8554547892816485
a10p_L,0.8584264972149929
10pp_L,0.8642471332097225
11l_L,0.8647737720082138
13l_L,0.9027124682931477
OFC_L,0.8803547193988857
47s_L,0.8686345197067573
LIPd_L,0.8535862984190234
6a_L,0.836062369112741
i6-8_L,0.8673860074418087
s6-8_L,0.913721702874813
43_L,0.8953826793240391
OP4_L,0.8702965878439575
OP1_L,0.8152257999976144
OP2-3_L,0.7628858043419442
52_L,0.8445544602065428
RI_L,0.8520015424375957
PFcm_L,0.7892342891154934
PoI2_L,0.8818682613604163
TA2_L,0.8966791420287215
FOP4_L,0.8421567551194963
MI_L,0.8808455251284341
Pir_L,0.7834423986800628
AVI_L,0.8858740037030668
AAIC_L,0.800601697618146
FOP1_L,0.8914623927241465
FOP3_L,0.8619040018527442
FOP2_L,0.8411997130713148
PFt_L,0.8235191304525757
AIP_L,0.8224624998307721
EC_L,0.8595937525270746
PreS_L,0.8442888564641204
H_L,0.8801160397525215
ProS_L,0.9261298987744896
PeEc_L,0.8733858771790289
STGa_L,0.7713115732667064
PBelt_L,0.8882508974828313
A5_L,0.8554281084148261
PHA1_L,0.8263208780275573
PHA3_L,0.833236193843698
STSda_L,0.8228015696233915
STSdp_L,0.8426386452470107
STSvp_L,0.8510554486103173
TGd_L,0.8854700536392155
TE1a_L,0.8604323451846785
TE1p_L,0.8484083200517436
TE2a_L,0.83214444068388
TF_L,0.8657237310264182
TE2p_L,0.8667791415007808
PHT_L,0.8590740597300155
PH_L,0.8737106351846577
TPOJ1_L,0.8144863049820266
TPOJ2_L,0.8467149485261227
TPOJ3_L,0.8393567342194386
DVT_L,0.8368999670450059
PGp_L,0.8686341384338404
IP2_L,0.8759772449411901
IP1_L,0.888796881174428
IP0_L,0.9121355951480706
PFop_L,0.8600545289505692
PF_L,0.8284692356562662
PFm_L,0.7824953955695212
PGi_L,0.8705182548927501
PGs_L,0.7792746574395419
V6A_L,0.86416112669241
VMV1_L,0.8458680819208909
VMV3_L,0.8680894127171863
PHA2_L,0.8664661750444878
V4t_L,0.8751539837715433
FST_L,0.8894042979066796
V3CD_L,0.9188577143912309
LO3_L,0.8736026714510277
VMV2_L,0.8242479306564031
31pd_L,0.8412872462303553
31a_L,0.83410467729014
VVC_L,0.8021122446035794
25_L,0.8725698759885463
s32_L,0.8948000626371916
pOFC_L,0.9013920607341457
PoI1_L,0.8981992085916831
Ig_L,0.8792848268497351
FOP5_L,0.8098875123429269
p10p_L,0.8613103710979217
p47r_L,0.8975447607195598
TGv_L,0.8961487537466911
MBelt_L,0.8501958986064675
LBelt_L,0.8709154160961372
A4_L,0.9003883766742989
STSva_L,0.8520556024186696
TE1m_L,0.8829288267051453
PI_L,0.8777328828322732
a32pr_L,0.8478498994682218
p24_L,0.8754172163062562
V1_R,0.8930641772368605
MST_R,0.8464116666804894
V6_R,0.8962779908995268
V2_R,0.9021184707477032
V3_R,0.8874257269196519
V4_R,0.8751695389280751
V8_R,0.8920195713421657
4_R,0.8362165638983867
3b_R,0.8906957648837354
FEF_R,0.8838359690772112
PEF_R,0.8919885406177479
55b_R,0.8852204746188602
V3A_R,0.9217385429282976
RSC_R,0.8945874378459929
POS2_R,0.8777163172151757
V7_R,0.8883968980141144
IPS1_R,0.9185538508621665
FFC_R,0.8706991534928733
V3B_R,0.9190332535557589
LO1_R,0.9255509620847759
