region,myl_icc
V1_L,0.92694549596706
MST_L,0.9287450750130792
V6_L,0.9452237520206982
V2_L,0.925441048501794
V3_L,0.926055284145806
V4_L,0.8956653243500282
V8_L,0.8797446606799284
4_L,0.9472752995886587
3b_L,0.9224385492632308
FEF_L,0.9358661139965424
PEF_L,0.9525934012202668
55b_L,0.9444311468940648
V3A_L,0.94224201901209
RSC_L,0.918021042971143
POS2_L,0.9390797423603992
V7_L,0.9372744220971168
IPS1_L,0.9352767016773272
FFC_L,0.8869965560657049
V3B_L,0.8990807553969996
LO1_L,0.9279428648136184
LO2_L,0.9197465820057203
PIT_L,0.9209339189814892
MT_L,0.9264203604269649
A1_L,0.8952131599725061
PSL_L,0.9163134944459282
SFL_L,0.9240449120162936
PCV_L,0.9465024480686368
STV_L,0.9245518212220464
7Pm_L,0.9460457775723036
7m_L,0.9378185497088066
POS1_L,0.9139980629168508
23d_L,0.9221899111679296
v23ab_L,0.9193572300790068
d23ab_L,0.926906722658044
31pv_L,0.9205886981801048
5m_L,0.9321533659655168
5mv_L,0.9394586250603408
23c_L,0.9262439718947076
5L_L,0.9438808872722042
24dd_L,0.9339087676165896
24dv_L,0.9279887739388992
7AL_L,0.9327940003235156
SCEF_L,0.9359228498047074
6ma_L,0.9237584905743677
7Am_L,0.937359179353093
7Pl_L,0.9343065342476732
7PC_L,0.9327534840078524
LIPv_L,0.9367599011768568
VIP_L,0.942053889512181
MIP_L,0.9374958302852016
1_L,0.9452611973822151
2_L,0.9426104539957992
3a_L,0.9378558995359306
6d_L,0.9484834721681198
6mp_L,0.9399375996918188
6v_L,0.9536853919656988
p24pr_L,0.9116582494004988
33pr_L,0.9267476418695948
a24pr_L,0.9195173483137784
p32pr_L,0.917558818003647
a24_L,0.9001360084853994
d32_L,0.9202023639555243
8BM_L,0.9249771340222848
p32_L,0.8875369148934397
10r_L,0.8735297682594974
47m_L,0.912591290644473
8Av_L,0.9327488166609692
8Ad_L,0.9172825712449976
9m_L,0.9067523194873008
8BL_L,0.9113405225664782
9p_L,0.91758055647043
10d_L,0.9075302435419548
8C_L,0.9352838040154464
44_L,0.94712650086792
45_L,0.9262074281950204
47l_L,0.9029625849460384
a47r_L,0.8982077710861158
6r_L,0.9274335215151084
IFJa_L,0.930457856658404
IFJp_L,0.9416048266142338
IFSp_L,0.9408721204129128
IFSa_L,0.9367508602245568
p9-46v_L,0.9387572926601692
46_L,0.9358505610616504
a9-46v_L,0.9246009343145536
9-46d_L,0.9198829233812424
9a_L,0.909810153296653
10v_L,0.8589185005173743
a10p_L,0.8889313042771194
10pp_L,0.8512112073148733
11l_L,0.8735592874969947
13l_L,0.8642448292114427
OFC_L,0.8266440814066514
47s_L,0.8829215738515291
LIPd_L,0.925907756858966
6a_L,0.9340880305987718
i6-8_L,0.925137011114778
s6-8_L,0.927874817146256
43_L,0.9383728455400596
OP4_L,0.9319995116005036
OP1_L,0.9174877721570972
OP2-3_L,0.9249099150426466
52_L,0.8896534366080235
RI_L,0.91308170178767
PFcm_L,0.9094438216083344
PoI2_L,0.9282008080797928
TA2_L,0.8875224815003775
FOP4_L,0.9189950242240702
MI_L,0.9176441918389686
Pir_L,0.9353896209492684
AVI_L,0.9120351802202812
AAIC_L,0.8973660023596444
FOP1_L,0.918054214423963
FOP3_L,0.8865295432410921
FOP2_L,0.9070517138043234
PFt_L,0.9366979088558324
AIP_L,0.937115922271612
EC_L,0.8796282195960093
PreS_L,0.8882982231328971
H_L,0.7970932864220401
ProS_L,0.9088658907083272
PeEc_L,0.899098666409142
STGa_L,0.9122665686368494
PBelt_L,0.9189262564946936
A5_L,0.9193648096919116
PHA1_L,0.8693581217158284
PHA3_L,0.8182568393520551
STSda_L,0.9275683350418856
STSdp_L,0.9197460918420026
STSvp_L,0.9053774773010104
TGd_L,0.8804861675937856
TE1a_L,0.9152804013361132
TE1p_L,0.8732757893985446
TE2a_L,0.8718500247452763
TF_L,0.8581569675339035
TE2p_L,0.8771362517677402
PHT_L,0.8970719692990688
PH_L,0.880762206470904
TPOJ1_L,0.921075400824291
TPOJ2_L,0.9295855592096044
TPOJ3_L,0.9233789924267404
DVT_L,0.9216738167291952
PGp_L,0.9239804600780612
IP2_L,0.9362855775685812
IP1_L,0.9318850320868788
IP0_L,0.9082741512400536
PFop_L,0.9289061687060411
PF_L,0.9342138238934268
PFm_L,0.9358485601076444
PGi_L,0.924017548458519
PGs_L,0.9298079164137428
V6A_L,0.9476355582939084
VMV1_L,0.90960249329455
VMV3_L,0.8628037937562631
PHA2_L,0.8561889661721684
V4t_L,0.918008163037754
FST_L,0.8933377027613426
V3CD_L,0.9211077394960384
LO3_L,0.9287011679516628
VMV2_L,0.8664193775536578
31pd_L,0.937953222011718
31a_L,0.9354464544911164
VVC_L,0.8492232483402615
25_L,0.8788543123305472
s32_L,0.8635786115571248
pOFC_L,0.8188701378914037
PoI1_L,0.9123182697823626
Ig_L,0.9052156660802334
FOP5_L,0.921862750376792
p10p_L,0.8923163241473092
p47r_L,0.921581308190708
TGv_L,0.8928622169879282
MBelt_L,0.874701178881138
LBelt_L,0.901063492316355
A4_L,0.9198151447000104
STSva_L,0.9225294687745492
TE1m_L,0.910993337966786
PI_L,0.8711427320166087
a32pr_L,0.9183391885362155
p24_L,0.9072669311501304
V1_R,0.9512823300066564
MST_R,0.9488324176351844
V6_R,0.9532173381049214
V2_R,0.9492613111513996
V3_R,0.9586992173927924
V4_R,0.9540844507166728
V8_R,0.959160775350221
4_R,0.9435972687765404
3b_R,0.9545058740896808
