region,dki-rd_icc
V1_L,0.8945797224666275
MST_L,0.8695559034986363
V6_L,0.9038773260635311
V2_L,0.9129843758895517
V3_L,0.9064205563508965
V4_L,0.9086855359919427
V8_L,0.9187977134172876
4_L,0.8541530249685534
3b_L,0.8468964233970068
FEF_L,0.8505615490243994
PEF_L,0.9313293895344883
55b_L,0.7952967535587826
V3A_L,0.8775627527250364
RSC_L,0.888882523529948
POS2_L,0.8714726893051841
V7_L,0.8985022329926599
IPS1_L,0.8483045423745919
FFC_L,0.8434364188591437
V3B_L,0.8696404696058365
LO1_L,0.9383289271852568
LO2_L,0.9162324487142526
PIT_L,0.8738599870481834
MT_L,0.8786332590178637
A1_L,0.9034323083527109
PSL_L,0.8914739370632386
SFL_L,0.841261968558809
PCV_L,0.8502305561161095
STV_L,0.9303900450850241
7Pm_L,0.8835590207393648
7m_L,0.8350591177838436
POS1_L,0.8860006197346453
23d_L,0.8770919844336301
v23ab_L,0.8662487648200551
d23ab_L,0.8248998456677316
31pv_L,0.8194647815783196
5m_L,0.8603476065027444
5mv_L,0.8231070044075958
23c_L,0.8007849594963147
5L_L,0.8391504114438705
24dd_L,0.793617117365601
24dv_L,0.8364512743272072
7AL_L,0.8997149107626383
SCEF_L,0.8647912356734102
6ma_L,0.8530905856214613
7Am_L,0.8874778173991461
7Pl_L,0.9119770950023884
7PC_L,0.8620135853656428
LIPv_L,0.8468162282257822
VIP_L,0.913034563891998
MIP_L,0.8752175229641875
1_L,0.8532787773500513
2_L,0.8713682435190239
3a_L,0.8490675449676087
6d_L,0.8688006732227045
6mp_L,0.8458644505987862
6v_L,0.8655482180041156
p24pr_L,0.8442269772664012
33pr_L,0.8879016012750165
a24pr_L,0.874874798353311
p32pr_L,0.8444527960926569
a24_L,0.8590417253130812
d32_L,0.8401303944362478
8BM_L,0.8717271610518519
p32_L,0.8420158760819372
10r_L,0.8861269986159861
47m_L,0.8637124407950444
8Av_L,0.8153666825844004
8Ad_L,0.7987669535371735
9m_L,0.8618745237242742
8BL_L,0.8911610238108328
9p_L,0.9155273066301368
10d_L,0.8662186999251286
8C_L,0.8246614447258566
44_L,0.851615724768392
45_L,0.9007606394273947
47l_L,0.8560739954175677
a47r_L,0.8600888614877227
6r_L,0.8788818485473555
IFJa_L,0.8786356013306613
IFJp_L,0.8481808894510976
IFSp_L,0.9117719511277933
IFSa_L,0.8766735845017033
p9-46v_L,0.879540539603804
46_L,0.857157293992681
a9-46v_L,0.9051739647360354
9-46d_L,0.8847292964034569
9a_L,0.8896902503258728
10v_L,0.8767642448923427
a10p_L,0.8641332335945999
10pp_L,0.9012962110300401
11l_L,0.9098962150180867
13l_L,0.8570073689694995
OFC_L,0.9323014432168434
47s_L,0.8613919473685588
LIPd_L,0.9157059225987847
6a_L,0.8086065636468301
i6-8_L,0.8323886244264841
s6-8_L,0.8847421789720226
43_L,0.8766786277930548
OP4_L,0.89537916083853
OP1_L,0.9027631730992769
OP2-3_L,0.878784960500277
52_L,0.8927245308352358
RI_L,0.8356281670263905
PFcm_L,0.8587327426905834
PoI2_L,0.8912494201365283
TA2_L,0.9039915272236562
FOP4_L,0.8395527477611177
MI_L,0.8279001306781987
Pir_L,0.8403701972118283
AVI_L,0.8355422594171621
AAIC_L,0.8474847068912327
FOP1_L,0.8818229599996267
FOP3_L,0.8370811615272007
FOP2_L,0.8635460461074738
PFt_L,0.8389881250758883
AIP_L,0.8005673382061599
EC_L,0.8607680666612162
PreS_L,0.8803021074384674
H_L,0.8612772447901288
ProS_L,0.8461906287751891
PeEc_L,0.8490497919117967
STGa_L,0.8281394048323537
PBelt_L,0.8317323933003458
A5_L,0.8766409287924387
PHA1_L,0.8582158016245992
PHA3_L,0.8596567174770382
STSda_L,0.8564377766529668
STSdp_L,0.8847175989117331
STSvp_L,0.8963357048609578
TGd_L,0.9057503129128668
TE1a_L,0.882169429470707
TE1p_L,0.9130458206271483
TE2a_L,0.8779570643055773
TF_L,0.8897052908426573
TE2p_L,0.8839391842287182
PHT_L,0.8873774678628175
PH_L,0.8808258722902526
TPOJ1_L,0.9127593258228313
TPOJ2_L,0.9213727460786516
TPOJ3_L,0.8865552171260392
DVT_L,0.8921972421997011
PGp_L,0.890794323881856
IP2_L,0.8349093878373782
IP1_L,0.8583392307538554
IP0_L,0.8625098254542959
PFop_L,0.7938279898633107
PF_L,0.8241490576868462
PFm_L,0.8021402440272397
PGi_L,0.8666220945720078
PGs_L,0.8027537473187281
V6A_L,0.9026287247561011
VMV1_L,0.8709441099344067
VMV3_L,0.8490418090111943
PHA2_L,0.8320123932731754
V4t_L,0.9292098278087376
FST_L,0.9145937545685087
V3CD_L,0.9220171871296193
LO3_L,0.893902870029476
VMV2_L,0.9116147996569711
31pd_L,0.8589989526688588
31a_L,0.7567703117057684
VVC_L,0.8787005480130169
25_L,0.8929789669339783
s32_L,0.9129068331893515
pOFC_L,0.9411776664086505
PoI1_L,0.81219600297814
Ig_L,0.9145864893075322
FOP5_L,0.8811850133270425
p10p_L,0.8904997073633554
p47r_L,0.8704528328185329
TGv_L,0.885085947016461
MBelt_L,0.8584330731067717
LBelt_L,0.8769628305229745
A4_L,0.8635790223513343
STSva_L,0.8893519028031532
TE1m_L,0.8692948833753219
PI_L,0.8474739599333335
a32pr_L,0.8650652700453412
p24_L,0.8588190178436824
V1_R,0.9015430826867407
MST_R,0.8642993111605686
V6_R,0.8645271497877743
V2_R,0.910476451902927
V3_R,0.8767102345218447
V4_R,0.897773285668785
V8_R,0.8716243389236443
4_R,0.8499479790297348
3b_R,0.8398903729393721
FEF_R,0.8649178908928742
PEF_R,0.9278883297014998
55b_R,0.9018426538086592
V3A_R,0.8731767294181625
RSC_R,0.8164653981305103
POS2_R,0.8601423238690631
V7_R,0.9157282224930424
IPS1_R,0.8854575681871898
FFC_R,0.8977280352394477
V3B_R,0.8394243161987759
LO1_R,0.8746660169823534
LO2_R,0.8820121971801664
PIT_R,0.8970805623662182
MT_R,0.8353461698416548
A1_R,0.889491510000037
PSL_R,0.8992827896955191
SFL_R,0.7726727996607409
PCV_R,0.8099422672502958
STV_R,0.882216814746555
7Pm_R,0.8715739595276643
7m_R,0.8564301129641453
POS1_R,0.8910438831998984
23d_R,0.8102604972187909
v23ab_R,0.8354226105336705
d23ab_R,0.8404933166692581
31pv_R,0.8527901488350937
5m_R,0.8421366363700895
5mv_R,0.7647276727792276
23c_R,0.8184344021486779
5L_R,0.853020978603285
24dd_R,0.7848047181535154
24dv_R,0.7796739523666028
7AL_R,0.8756655298867436
SCEF_R,0.7863465125805956
6ma_R,0.8549367644124856
7Am_R,0.874803258449609
7Pl_R,0.8949794270846161
7PC_R,0.8684672382915049
LIPv_R,0.8731173495810808
VIP_R,0.914001304090375
MIP_R,0.9085496874642641
1_R,0.8957200523831431
2_R,0.8800699714709904
3a_R,0.8244701028140728
6d_R,0.8850096955672314
6mp_R,0.8381011241062916
6v_R,0.8926955253449403
p24pr_R,0.8595976747036274
33pr_R,0.910871703791129
a24pr_R,0.8723223180524199
p32pr_R,0.8474835914513974
a24_R,0.8968524250055189
d32_R,0.8114781871723451
8BM_R,0.825366905292082
p32_R,0.907073344924383
10r_R,0.8888400958203548
47m_R,0.8631226657696466
8Av_R,0.8910939820238178
8Ad_R,0.8301768535733616
9m_R,0.846297702790309
8BL_R,0.8770256844663381
9p_R,0.9016214708233664
10d_R,0.8626388205872828
8C_R,0.87702897266455
44_R,0.8642567109646213
45_R,0.8810286536085378
47l_R,0.8988404007042102
a47r_R,0.8762716627352547
6r_R,0.8668428421701022
IFJa_R,0.906870904886629
IFJp_R,0.9044744260152981
IFSp_R,0.903137120807497
IFSa_R,0.8756355045679103
p9-46v_R,0.919876336072539
46_R,0.8596676802655135
a9-46v_R,0.9134728568866916
9-46d_R,0.8766290002683662
9a_R,0.821624202691624
10v_R,0.9521124047471207
a10p_R,0.8883016719409322
10pp_R,0.8749525191383912
11l_R,0.9009509035131467
13l_R,0.8948401636887605
OFC_R,0.9032035829431578
47s_R,0.8825672690711539
LIPd_R,0.9087487685094866
6a_R,0.8510396783912934
i6-8_R,0.8682745753771772
s6-8_R,0.8366279501124342
43_R,0.868171614408053
OP4_R,0.8656521466795333
OP1_R,0.8356267570648094
OP2-3_R,0.8813244901329584
52_R,0.8830302227363114
RI_R,0.857271852876617
PFcm_R,0.8144023459486371
PoI2_R,0.9222418879398899
TA2_R,0.8418087953747753
FOP4_R,0.8874466217068302
MI_R,0.868209401802277
Pir_R,0.8491412643355631
AVI_R,0.8933462362713905
AAIC_R,0.8572869233812191
FOP1_R,0.8965797655705671
FOP3_R,0.8834471782533546
FOP2_R,0.8875372254383259
PFt_R,0.8697702514671317
AIP_R,0.8717435299302839
EC_R,0.9048338462077865
PreS_R,0.8705400697430236
H_R,0.8725832555318745
ProS_R,0.8849920439711689
PeEc_R,0.8668058912754909
STGa_R,0.8958498203335418
PBelt_R,0.8359225006334209
A5_R,0.8863624618251726
PHA1_R,0.8957340379932944
PHA3_R,0.9040596051100073
STSda_R,0.9048224395982714
STSdp_R,0.8717218261639585
STSvp_R,0.8665008065403059
TGd_R,0.8966050538262402
TE1a_R,0.8584295113421162
TE1p_R,0.886900984759255
TE2a_R,0.8568209766887783
TF_R,0.8510825086073273
TE2p_R,0.8557558573165717
PHT_R,0.8412487143737604
PH_R,0.8537513738720357
TPOJ1_R,0.8604259088497517
TPOJ2_R,0.8945780687000368
TPOJ3_R,0.8308830967226082
DVT_R,0.8678620648379897
PGp_R,0.8570148821067812
IP2_R,0.8968238608531944
IP1_R,0.8866351528428298
IP0_R,0.8984875050796658
PFop_R,0.8898287263416595
PF_R,0.8340243363476147
PFm_R,0.8283026313199704
PGi_R,0.8346979795595985
PGs_R,0.8166848331849478
V6A_R,0.8665054283222403
VMV1_R,0.9027364365629745
VMV3_R,0.8749964119067167
PHA2_R,0.901529260691528
V4t_R,0.907272162608108
FST_R,0.8642760504622777
V3CD_R,0.8605444466724497
LO3_R,0.8944084210631246
VMV2_R,0.8835356630557795
31pd_R,0.829556549985126
31a_R,0.7904506932607405
VVC_R,0.8862634967022411
25_R,0.8401568612197619
s32_R,0.9085721656586033
pOFC_R,0.9015507990966528
PoI1_R,0.8957152189557812
Ig_R,0.8476169008271535
FOP5_R,0.8654320668955711
p10p_R,0.8779920627039756
p47r_R,0.9035258357504848
TGv_R,0.863875419603938
MBelt_R,0.85838479593215
LBelt_R,0.8824404308348087
A4_R,0.8957434970769643
STSva_R,0.9017518771632661
TE1m_R,0.9070621130204115
PI_R,0.8694819288191681
a32pr_R,0.8322585873197116
p24_R,0.8722290815853623
