region,isovf_icc
V1_L,0.9187471297494416
MST_L,0.9109073484264888
V6_L,0.9079589142318992
V2_L,0.9092117468292265
V3_L,0.8877153059404189
V4_L,0.9078408335268556
V8_L,0.8952031789563046
4_L,0.8348326037939371
3b_L,0.8494312310616612
FEF_L,0.8787817373823983
PEF_L,0.9143579922310286
55b_L,0.8860590661497413
V3A_L,0.9002220877282858
RSC_L,0.928324073615962
POS2_L,0.8980920550945846
V7_L,0.9432160175686252
IPS1_L,0.9250869025516744
FFC_L,0.906726511561062
V3B_L,0.8983840191678095
LO1_L,0.874033545059364
LO2_L,0.8805248684933167
PIT_L,0.9033726150030412
MT_L,0.8901060648031419
A1_L,0.9059671054478158
PSL_L,0.913211520438271
SFL_L,0.9124918231884126
PCV_L,0.8477598677128987
STV_L,0.904788490041595
7Pm_L,0.9072860260468352
7m_L,0.8428256557795092
POS1_L,0.8981200944320716
23d_L,0.8929861504835364
v23ab_L,0.9316331269956264
d23ab_L,0.900558771072264
31pv_L,0.9493433181505896
5m_L,0.7837962342093631
5mv_L,0.856512756231711
23c_L,0.925908758429912
5L_L,0.888268414754619
24dd_L,0.8450454451258028
24dv_L,0.913872398923407
7AL_L,0.9161391960907388
SCEF_L,0.8065187833357504
6ma_L,0.9007381441831932
7Am_L,0.8987658746368216
7Pl_L,0.9489024329264578
7PC_L,0.8894004091425359
LIPv_L,0.8567296487351436
VIP_L,0.927514430483334
MIP_L,0.8983052360400164
1_L,0.8850715868895457
2_L,0.8680704508371527
3a_L,0.9039278772657376
6d_L,0.8565422606346637
6mp_L,0.8964538804972016
6v_L,0.8996988485123478
p24pr_L,0.9304856942918152
33pr_L,0.8575391932336045
a24pr_L,0.9486630112821184
p32pr_L,0.9248784627072988
a24_L,0.8264475583746285
d32_L,0.8312890007405349
8BM_L,0.8555002137618204
p32_L,0.7951180257104298
10r_L,0.8107295272442041
47m_L,0.8530280825291855
8Av_L,0.8866190618792396
8Ad_L,0.8694379202608477
9m_L,0.8704362066880612
8BL_L,0.8696410496102132
9p_L,0.8808484831702206
10d_L,0.915207758294981
8C_L,0.8496432634323796
44_L,0.8891218381531553
45_L,0.8369022139994868
47l_L,0.890476852392826
a47r_L,0.8405369493956112
6r_L,0.9085959215562742
IFJa_L,0.8933947658345456
IFJp_L,0.8808205924007413
IFSp_L,0.9234228581727332
IFSa_L,0.9118248604415236
p9-46v_L,0.8592492986559185
46_L,0.8722320755884694
a9-46v_L,0.8834081039630926
9-46d_L,0.8945773528461778
9a_L,0.859581627874761
10v_L,0.816326854635886
a10p_L,0.8652344824136335
10pp_L,0.8909311890755256
11l_L,0.8846816920698644
13l_L,0.916856820713146
OFC_L,0.8594313425872315
47s_L,0.8888426359707868
LIPd_L,0.9079840957491494
6a_L,0.8854874648639618
i6-8_L,0.8890108953834325
s6-8_L,0.9026819858886954
43_L,0.917070382684126
OP4_L,0.8947291133683715
OP1_L,0.8533614358762341
OP2-3_L,0.8093214843167499
52_L,0.918355329934772
RI_L,0.8563593564340105
PFcm_L,0.8270162496833031
PoI2_L,0.9231081577680622
TA2_L,0.8881513725544666
FOP4_L,0.8433005831919973
MI_L,0.8858277478073594
Pir_L,0.8607324275022407
AVI_L,0.9058390295891972
AAIC_L,0.8674106675459876
FOP1_L,0.8884974678925978
FOP3_L,0.9002933062554652
FOP2_L,0.8370895665837941
PFt_L,0.8822610418413352
AIP_L,0.8565943828183473
EC_L,0.9304455480341838
PreS_L,0.8735180068554957
H_L,0.9089660836387872
ProS_L,0.9362973096917784
PeEc_L,0.927462249748136
STGa_L,0.8026235697465495
PBelt_L,0.9182714761658916
A5_L,0.878660530345103
PHA1_L,0.8865400875687425
PHA3_L,0.930349182708489
STSda_L,0.8857179977752937
STSdp_L,0.9084590176448452
STSvp_L,0.9050941942108944
TGd_L,0.915315951271685
TE1a_L,0.916488512148712
TE1p_L,0.8815202638870807
TE2a_L,0.8877759865861637
TF_L,0.9055655850066634
TE2p_L,0.902444112373486
PHT_L,0.8582265587719983
PH_L,0.8941010439765442
TPOJ1_L,0.8370472708696648
TPOJ2_L,0.8962630222351186
TPOJ3_L,0.9012334742863274
DVT_L,0.874130036685513
PGp_L,0.8984443607757073
IP2_L,0.8878564946301114
IP1_L,0.9279348367479228
IP0_L,0.9250025106363816
PFop_L,0.9013564138402352
PF_L,0.8709114215713911
PFm_L,0.8269444081139594
PGi_L,0.89507890358259
PGs_L,0.8484997013600496
V6A_L,0.926997833007112
VMV1_L,0.8886747096038109
VMV3_L,0.9196643813027756
PHA2_L,0.9251479271452924
V4t_L,0.8972764637472932
FST_L,0.893967047321108
V3CD_L,0.9230369916607648
LO3_L,0.8992060654717611
VMV2_L,0.8524016134427491
31pd_L,0.9062044639950808
31a_L,0.8783621569866609
VVC_L,0.8593809948395467
25_L,0.8965111021114958
s32_L,0.8917725853083914
pOFC_L,0.9506078811556048
PoI1_L,0.9373734352859084
Ig_L,0.9152400012464396
FOP5_L,0.810072383397583
p10p_L,0.8635381994750003
p47r_L,0.8750844035752248
TGv_L,0.9440915180353572
MBelt_L,0.8812006249712729
LBelt_L,0.9070300776974224
A4_L,0.9009320232033344
STSva_L,0.9200289745208668
TE1m_L,0.9033235301148218
PI_L,0.8953701263415924
a32pr_L,0.8745879033397921
p24_L,0.8756688820472734
V1_R,0.908997240093957
MST_R,0.8394648625188224
V6_R,0.9267975823970738
V2_R,0.9163884611166818
V3_R,0.906647270593458
V4_R,0.9112953937686972
V8_R,0.9108508581556574
4_R,0.8082095971393817
3b_R,0.9044805476078732
FEF_R,0.8793645303179115
PEF_R,0.9237597457184358
55b_R,0.8773614809509996
V3A_R,0.935158373400064
RSC_R,0.9084007440741614
POS2_R,0.907284174903039
V7_R,0.9098705716708272
IPS1_R,0.9158993796496834
FFC_R,0.870757809721883
V3B_R,0.9196216520302076
LO1_R,0.9419614598705196
LO2_R,0.9126882706812334
PIT_R,0.8859429811173246
MT_R,0.8961418692364889
A1_R,0.8799737375582564
PSL_R,0.8404207860861787
SFL_R,0.8681994157712093
PCV_R,0.8886801651584957
STV_R,0.9134733807696211
7Pm_R,0.9265258239783596
7m_R,0.9073389941537272
POS1_R,0.9166272063485849
23d_R,0.927808314697676
v23ab_R,0.9240136468209548
d23ab_R,0.9247461250111288
31pv_R,0.9103093188655892
5m_R,0.9165828557033322
5mv_R,0.9153430300327628
23c_R,0.9032483266943686
5L_R,0.8880465337704071
24dd_R,0.8794478124973842
24dv_R,0.918054372703944
7AL_R,0.9078828018402616
SCEF_R,0.8595280215141893
6ma_R,0.862714604832003
7Am_R,0.8731949467552313
7Pl_R,0.9612414641946332
7PC_R,0.9339825191153562
LIPv_R,0.9199861522299082
VIP_R,0.9613135190135876
MIP_R,0.9424642134799052
1_R,0.876030372760296
2_R,0.9268747924466622
3a_R,0.9099824470987656
6d_R,0.8915869255627513
6mp_R,0.8556379055102112
6v_R,0.9020458242386924
p24pr_R,0.9498845845198722
33pr_R,0.938193094200048
a24pr_R,0.9286388926538562
p32pr_R,0.9500314294286212
a24_R,0.8763396409118235
d32_R,0.8705481527500839
8BM_R,0.8763829552545741
p32_R,0.8532809620483216
10r_R,0.8563964045186375
47m_R,0.839620740873644
8Av_R,0.918048713867026
8Ad_R,0.8692876150587434
9m_R,0.8373855752741417
8BL_R,0.9046951035262116
9p_R,0.904217620501248
10d_R,0.8493731438862968
8C_R,0.9088690191922504
44_R,0.839670904888628
45_R,0.8570844657530895
47l_R,0.8504431572541589
a47r_R,0.8467538373588349
6r_R,0.8564200386360112
IFJa_R,0.9091318824314246
IFJp_R,0.9004770370976373
IFSp_R,0.8629190664745463
IFSa_R,0.823778186292891
p9-46v_R,0.916460334770176
46_R,0.8905734741490672
a9-46v_R,0.8551691096028784
9-46d_R,0.8765815508874281
9a_R,0.9054297409976568
10v_R,0.8528279872915293
a10p_R,0.8265564611250769
10pp_R,0.8509955098054199
11l_R,0.8139325918028735
13l_R,0.8684017067574227
OFC_R,0.8778139289400991
47s_R,0.9077718278289802
LIPd_R,0.9323289590712316
6a_R,0.8856516237701797
i6-8_R,0.9030468222413756
s6-8_R,0.8771405882896566
43_R,0.8832801744520876
OP4_R,0.8181504903097889
OP1_R,0.856712107879406
OP2-3_R,0.9181880584800544
52_R,0.8994542180163351
RI_R,0.822863915224971
PFcm_R,0.8158903569060825
PoI2_R,0.8784412096606483
TA2_R,0.8752063232314556
FOP4_R,0.8600793417943614
MI_R,0.8120815754362012
Pir_R,0.8673398836951868
AVI_R,0.7261000517380276
AAIC_R,0.9134472973241586
FOP1_R,0.8989053045354555
FOP3_R,0.8772276491507569
FOP2_R,0.8867059830301096
PFt_R,0.9319284579449864
AIP_R,0.9332162131071756
EC_R,0.912191763108319
PreS_R,0.8844742770775905
H_R,0.8625736942401752
ProS_R,0.9300982879592152
PeEc_R,0.9144586698609984
STGa_R,0.7559410095527002
PBelt_R,0.8690867987268541
A5_R,0.8710557298371845
PHA1_R,0.933313790374336
PHA3_R,0.914195714674474
STSda_R,0.8207694857019413
STSdp_R,0.9081233787436512
STSvp_R,0.8668190626824139
TGd_R,0.8840964822241566
TE1a_R,0.922005998696452
TE1p_R,0.9264803376826032
TE2a_R,0.9285950822932224
TF_R,0.8685672928423874
TE2p_R,0.8926240511022099
PHT_R,0.8544906061945722
PH_R,0.9170839411970672
TPOJ1_R,0.8410780318899412
TPOJ2_R,0.8983154487994145
TPOJ3_R,0.9091930955294204
DVT_R,0.912451913685486
PGp_R,0.9034673166569264
IP2_R,0.956223748909785
IP1_R,0.9465331497066004
IP0_R,0.919576049397289
PFop_R,0.8449727155799297
PF_R,0.8229129639052316
PFm_R,0.8866249970902033
PGi_R,0.8816053559098488
PGs_R,0.9222029961831278
V6A_R,0.905019010517153
VMV1_R,0.940513684257024
VMV3_R,0.9049432222735376
PHA2_R,0.9154806047780918
V4t_R,0.9360829331304734
FST_R,0.8934314158387219
V3CD_R,0.9108782352438832
LO3_R,0.8863390450142333
VMV2_R,0.9321275515286988
31pd_R,0.9234541973340168
31a_R,0.911203431110957
VVC_R,0.9282981192890348
25_R,0.882173419974846
s32_R,0.8956932317930522
pOFC_R,0.8965231471208766
PoI1_R,0.860394195331508
Ig_R,0.8639792691869547
FOP5_R,0.8538293919087595
p10p_R,0.8547037663295017
p47r_R,0.7445230680480805
TGv_R,0.9199789672452456
MBelt_R,0.8355403863305504
LBelt_R,0.8779392569172869
A4_R,0.8510060745201932
STSva_R,0.9186918037645578
TE1m_R,0.9578036074123856
PI_R,0.8915707491180587
a32pr_R,0.9151014807022656
p24_R,0.8780074435902274
