region,rd_icc
IFJp_L,0.8568304807185916
IFSp_L,0.908957188380932
IFSa_L,0.8907143765830404
p9-46v_L,0.8709342311296672
46_L,0.8790377500355481
a9-46v_L,0.8918256364360174
9-46d_L,0.8762291334333665
9a_L,0.9020474430588252
10v_L,0.8686125809015521
a10p_L,0.8798941423299236
10pp_L,0.8969206617081956
11l_L,0.8869053642866503
13l_L,0.91471079159776
OFC_L,0.8781643121346455
47s_L,0.8741095536183611
LIPd_L,0.9118295864562468
6a_L,0.831922472352874
i6-8_L,0.8679559458170694
s6-8_L,0.9337856740520444
43_L,0.9058918862655312
OP4_L,0.9016067595760706
OP1_L,0.8257038084350659
OP2-3_L,0.8122190191850023
52_L,0.8645128130970042
RI_L,0.8291015071742331
PFcm_L,0.808726304965968
PoI2_L,0.9003950944866915
TA2_L,0.9083561775528232
FOP4_L,0.8345437071757316
MI_L,0.8458541711700105
Pir_L,0.8031131126622637
AVI_L,0.8900474574407494
AAIC_L,0.8701530379942836
FOP1_L,0.8722139295158642
FOP3_L,0.8837269916401915
FOP2_L,0.8332401814400939
PFt_L,0.8314510924799868
AIP_L,0.834062120421732
EC_L,0.8737710609276981
PreS_L,0.8832006773645006
H_L,0.9006234578097159
ProS_L,0.92763669585703
PeEc_L,0.8936426936812076
STGa_L,0.7864367487612355
PBelt_L,0.8978951087717475
A5_L,0.8609952524144764
PHA1_L,0.8265462467394169
PHA3_L,0.8633399503787842
STSda_L,0.8408916871823182
STSdp_L,0.908650771162084
STSvp_L,0.8829631899317885
TGd_L,0.8884473246826547
TE1a_L,0.8634514537204467
TE1p_L,0.8909451854226944
TE2a_L,0.8670139908708215
TF_L,0.8873370601520518
TE2p_L,0.885935855728823
PHT_L,0.8890320049501543
PH_L,0.9045411961003108
TPOJ1_L,0.8734605109452899
TPOJ2_L,0.8865418426206066
TPOJ3_L,0.887673196352376
DVT_L,0.8767832357993146
PGp_L,0.8873042074513016
IP2_L,0.8655252939667567
IP1_L,0.8953781708802002
IP0_L,0.9186101404807352
PFop_L,0.8538754414682381
PF_L,0.8270113625656427
PFm_L,0.8034271623901033
PGi_L,0.885688851104281
PGs_L,0.7964978424885759
V6A_L,0.9063646209534516
VMV1_L,0.8779485118215709
VMV3_L,0.8627222254649931
PHA2_L,0.8771367384449344
V4t_L,0.8998505164303678
FST_L,0.9093197563996104
V3CD_L,0.935449935262112
LO3_L,0.889050911779733
VMV2_L,0.8484672090083175
31pd_L,0.8618066530826338
31a_L,0.8477044358588659
VVC_L,0.8238910531070802
25_L,0.8750837546911324
s32_L,0.896881587419695
pOFC_L,0.9126045652631772
PoI1_L,0.8604787649838599
Ig_L,0.8813272997921525
FOP5_L,0.8155891862006253
p10p_L,0.8458005080801767
p47r_L,0.8878579609624234
TGv_L,0.9117187119917888
MBelt_L,0.8467273591516691
LBelt_L,0.8868002246477462
A4_L,0.8744130751967684
STSva_L,0.8580394887015017
TE1m_L,0.8870414073741971
PI_L,0.8554691168366484
a32pr_L,0.8658100618041358
p24_L,0.9166844257150576
V1_R,0.920174862270221
MST_R,0.8923779579911899
V6_R,0.930129290794863
V2_R,0.9217974415211588
V3_R,0.9210582795780484
V4_R,0.9224655285405214
V8_R,0.9263108667263248
4_R,0.8725106691579885
3b_R,0.9097482841857748
FEF_R,0.9051018226057134
PEF_R,0.9367871983284928
55b_R,0.8972342127548966
V3A_R,0.9409562393287167
RSC_R,0.9007373001952084
POS2_R,0.9026443536587816
V7_R,0.918974619269571
IPS1_R,0.924111325432896
FFC_R,0.8844845561509271
V3B_R,0.9334491224360304
LO1_R,0.935830615695005
LO2_R,0.9274366175522482
PIT_R,0.9166488283685514
MT_R,0.8852782290465631
A1_R,0.9117726013283932
PSL_R,0.9041015272823538
SFL_R,0.8586127883112774
PCV_R,0.8460881219625024
STV_R,0.9065081637115124
7Pm_R,0.9387889921386008
7m_R,0.8930921266004892
POS1_R,0.8589043087606065
23d_R,0.9124461776609244
v23ab_R,0.9107403791277092
d23ab_R,0.9216799651640712
31pv_R,0.916355880723092
5m_R,0.9276355992894666
5mv_R,0.900696784019693
23c_R,0.8557347964770922
5L_R,0.9126540690776704
24dd_R,0.8694163804761047
24dv_R,0.8925292321085305
7AL_R,0.9335849467480396
SCEF_R,0.8531939277587756
6ma_R,0.8962593134068524
7Am_R,0.8786071301800792
7Pl_R,0.9613671068714816
7PC_R,0.9435446018562248
LIPv_R,0.938547444844412
VIP_R,0.9645817705643288
MIP_R,0.9494296125621136
1_R,0.9058990013898172
2_R,0.9503871308188044
3a_R,0.895487672016368
6d_R,0.899022356267311
6mp_R,0.906902296349318
6v_R,0.9075842995363887
p24pr_R,0.923869421723048
33pr_R,0.9349372623248604
a24pr_R,0.8599493020341447
p32pr_R,0.9124005610356956
a24_R,0.903383513731736
d32_R,0.8651199128952399
8BM_R,0.8470590136408023
p32_R,0.85921624132034
10r_R,0.880502418278833
47m_R,0.8786217352604654
8Av_R,0.9273112644302406
8Ad_R,0.9052474855273164
9m_R,0.8520925383010651
8BL_R,0.8998258345198227
9p_R,0.9452954644868212
10d_R,0.8648857675338782
8C_R,0.9131900077064918
44_R,0.8820581634562455
45_R,0.89314684811893
47l_R,0.9076535503798236
a47r_R,0.899565162196626
6r_R,0.8862102974410844
IFJa_R,0.9416000810590044
IFJp_R,0.932475717207196
IFSp_R,0.9115019707836092
IFSa_R,0.8622530543329459
p9-46v_R,0.9300729145422356
46_R,0.9037238551800963
a9-46v_R,0.9208788044409022
9-46d_R,0.9322240254425844
9a_R,0.9013835649737107
10v_R,0.8912992689690405
a10p_R,0.8665430509712382
10pp_R,0.934627891517302
11l_R,0.8543505899296533
13l_R,0.8294252913321783
OFC_R,0.8772908869965496
47s_R,0.916365796688356
LIPd_R,0.941084182291354
6a_R,0.9039347641450108
i6-8_R,0.8994054253355678
s6-8_R,0.8987075907777006
43_R,0.922664453286632
OP4_R,0.8408552034809729
OP1_R,0.8897891680371839
OP2-3_R,0.9244966643194767
52_R,0.911487474377406
RI_R,0.87374607134101
PFcm_R,0.8398640354180564
PoI2_R,0.911705613676604
TA2_R,0.8671938656759014
FOP4_R,0.9092076816785206
MI_R,0.8641201435517892
Pir_R,0.8336876456732643
AVI_R,0.867184730928513
AAIC_R,0.9170945884242772
FOP1_R,0.9248742382550514
FOP3_R,0.8849376367144017
FOP2_R,0.8830096948626002
PFt_R,0.9353419133293274
AIP_R,0.9436659019086924
EC_R,0.8977631006380299
PreS_R,0.875618310697894
H_R,0.8986862559736785
ProS_R,0.915517117528297
PeEc_R,0.8380910200838272
STGa_R,0.8577454095809791
PBelt_R,0.8789760971604634
A5_R,0.9002245367606148
PHA1_R,0.9042144941716632
PHA3_R,0.9102028540235954
STSda_R,0.9005735930365392
STSdp_R,0.909431603494736
STSvp_R,0.8687886144129214
TGd_R,0.8378293543251626
TE1a_R,0.9046236194101624
TE1p_R,0.9084229539748212
TE2a_R,0.9058796665407444
TF_R,0.8519980173100894
TE2p_R,0.8845706438745227
PHT_R,0.8548384905776526
PH_R,0.8986514173135717
TPOJ1_R,0.8787670719350683
TPOJ2_R,0.9229718775431908
TPOJ3_R,0.9001739839292577
DVT_R,0.9491458560069184
PGp_R,0.9161948799458136
IP2_R,0.9386725343420383
IP1_R,0.9120838464890636
IP0_R,0.939529801635236
PFop_R,0.8839599183018628
PF_R,0.8568998282823657
PFm_R,0.8595347166798729
PGi_R,0.8784414497125893
PGs_R,0.8828928564000093
V6A_R,0.8932771183620166
VMV1_R,0.9213725522923092
VMV3_R,0.8986769155023646
PHA2_R,0.9260567407225396
V4t_R,0.910505843442835
FST_R,0.8966856153387065
V3CD_R,0.9458578489067806
LO3_R,0.9190284368624358
VMV2_R,0.9301849528487964
31pd_R,0.8992733246295574
31a_R,0.8887600057036199
VVC_R,0.9205545726230172
25_R,0.8956282680851873
s32_R,0.9223135619492022
pOFC_R,0.8640598003440169
PoI1_R,0.8714003024908312
Ig_R,0.8704166082371062
FOP5_R,0.9180450057927808
p10p_R,0.8878793228744719
p47r_R,0.7905895779304054
TGv_R,0.9070258111960356
MBelt_R,0.8777668203347772
LBelt_R,0.908160582465362
A4_R,0.8854326853248697
STSva_R,0.8869186433553914
TE1m_R,0.921766775254078
PI_R,0.8568809345112782
a32pr_R,0.8816945808346505
p24_R,0.8748384880344414
