region,rd_icc
V1_L,0.9229020905181836
MST_L,0.9220093287683272
V6_L,0.9194397952524356
V2_L,0.9244863241315028
V3_L,0.9217542605426812
V4_L,0.9316796735188172
V8_L,0.8820666960816074
4_L,0.8770472231060205
3b_L,0.8422407974452835
FEF_L,0.8916374099697453
PEF_L,0.9243965191022726
55b_L,0.876393684915153
V3A_L,0.9126056951754152
RSC_L,0.8934990454110164
POS2_L,0.8733321794114236
V7_L,0.949606388115344
IPS1_L,0.935872266076158
FFC_L,0.8937910897064631
V3B_L,0.9238227739426336
LO1_L,0.9170244500364816
LO2_L,0.9161457444227746
PIT_L,0.9125425992784336
MT_L,0.9236741358721102
A1_L,0.8758975638100168
PSL_L,0.910715163780208
SFL_L,0.9258058726096182
PCV_L,0.841284224547538
STV_L,0.9129187531434052
7Pm_L,0.9019583653479252
7m_L,0.8294525931797533
POS1_L,0.8764040215763802
23d_L,0.8724531904451462
v23ab_L,0.8977333653088682
d23ab_L,0.8625655082918807
31pv_L,0.928598997691642
5m_L,0.8330452729193382
5mv_L,0.8113698264802753
23c_L,0.9007241628432764
5L_L,0.8437499730776685
24dd_L,0.8310749690709595
24dv_L,0.8834398983830445
7AL_L,0.9045905908221096
SCEF_L,0.8714782065118551
6ma_L,0.8813164122973481
7Am_L,0.8922288912968191
7Pl_L,0.9470195188656392
7PC_L,0.8538934214071064
LIPv_L,0.8743379673914679
VIP_L,0.9003565248498042
MIP_L,0.9098267414779656
1_L,0.8796148119954877
2_L,0.926855363224108
3a_L,0.8991789223283169
6d_L,0.8747074076262287
6mp_L,0.8754122666390264
6v_L,0.8683402560492819
p24pr_L,0.9185316832511756
33pr_L,0.9214803317360284
a24pr_L,0.9147113633457248
p32pr_L,0.8935132573243435
a24_L,0.8708493692260595
d32_L,0.8930424502736967
8BM_L,0.9172771869145948
p32_L,0.802205735436973
10r_L,0.8763001169150407
47m_L,0.8853435668889437
8Av_L,0.8948110065571226
8Ad_L,0.8530415418964303
9m_L,0.887777412407469
8BL_L,0.9031124740894364
9p_L,0.8879580929789801
10d_L,0.9375665085049928
8C_L,0.8265967317873925
44_L,0.8556995691600789
45_L,0.9076317269991914
47l_L,0.9011444530102828
a47r_L,0.8813137972773138
6r_L,0.8986848414254737
IFJa_L,0.8679181823161939
