region,dki-ad_icc
V1_L,0.8936428572741484
MST_L,0.858272519771805
V6_L,0.8165620987836759
V2_L,0.8649651814754473
V3_L,0.8564247067559531
V4_L,0.8821548911301349
V8_L,0.8846063179709561
4_L,0.727972049054713
3b_L,0.8058603904391122
FEF_L,0.7577949060867817
PEF_L,0.861547938837067
55b_L,0.7685655179275377
V3A_L,0.8252073039657948
RSC_L,0.7827021526232492
POS2_L,0.8352562157949934
V7_L,0.79892397904326
IPS1_L,0.8210082261960028
FFC_L,0.8542660473842079
V3B_L,0.890773579720057
LO1_L,0.8779908582758457
LO2_L,0.8646250403015335
PIT_L,0.8884801266660292
MT_L,0.8424742726907153
A1_L,0.8111002755892426
PSL_L,0.8694000272283333
SFL_L,0.7136929492961426
PCV_L,0.7615347270906305
STV_L,0.863868190518101
7Pm_L,0.8224686456740311
7m_L,0.8285762345607673
POS1_L,0.8482439526091607
23d_L,0.8773715911026807
v23ab_L,0.87820845909807
d23ab_L,0.8162194813519595
31pv_L,0.8029001671779668
5m_L,0.7568266607462792
5mv_L,0.7370868171385252
23c_L,0.8058102538111656
5L_L,0.8091315121109917
24dd_L,0.8203205039829592
24dv_L,0.8154401196703261
7AL_L,0.8534622500144006
SCEF_L,0.8305138307924086
6ma_L,0.77373669059942
7Am_L,0.8067962571196287
7Pl_L,0.8597452940666959
7PC_L,0.8037475972530198
LIPv_L,0.7606362547769393
VIP_L,0.8504747874765713
MIP_L,0.752799024494399
1_L,0.7705939313486125
2_L,0.7542232637391559
3a_L,0.8057321418021249
6d_L,0.7755780375434511
6mp_L,0.7552194691863487
6v_L,0.8021905564573336
p24pr_L,0.8247183857354218
33pr_L,0.9007673018375805
a24pr_L,0.8837568586710696
p32pr_L,0.8278325864122309
a24_L,0.8458014496780549
d32_L,0.7759936317639318
8BM_L,0.8065089941826933
p32_L,0.8352338166339891
10r_L,0.8906685889752416
47m_L,0.8477038098271916
8Av_L,0.7873084459436358
8Ad_L,0.8120811362870674
9m_L,0.7862668377818763
8BL_L,0.8110561228730883
9p_L,0.8701870374752422
10d_L,0.8237517791126937
8C_L,0.7729603862106035
44_L,0.840212211498177
45_L,0.7988895547781739
47l_L,0.8168946180282247
a47r_L,0.8013439678054963
6r_L,0.8463071739630719
IFJa_L,0.8412214379294111
IFJp_L,0.8509427732986237
IFSp_L,0.8308976021191324
IFSa_L,0.8022892662563536
p9-46v_L,0.7562922681687285
46_L,0.808733130452256
a9-46v_L,0.8483808480642192
9-46d_L,0.8576769057855976
9a_L,0.8408527936197467
10v_L,0.9003278962319764
a10p_L,0.8357973223121239
10pp_L,0.8839782081346051
11l_L,0.9225476477838681
13l_L,0.846599107551875
OFC_L,0.8390414561025095
47s_L,0.8236733188912151
LIPd_L,0.7739480015721103
6a_L,0.7953736512769554
i6-8_L,0.7571389566800951
s6-8_L,0.8487291871335195
43_L,0.8173331388539817
OP4_L,0.8301247916483848
OP1_L,0.8802416333885116
OP2-3_L,0.8852316926154574
52_L,0.8554810985668527
RI_L,0.8124996577038195
PFcm_L,0.7841908542176966
PoI2_L,0.7986141763090323
TA2_L,0.846665435661697
FOP4_L,0.7669264290435269
MI_L,0.8171961902998622
Pir_L,0.7699734558192552
AVI_L,0.8535079591222563
AAIC_L,0.8154838537118553
