region,dki-ad_icc
5m_R,0.774013153909314
5mv_R,0.8114845711950697
23c_R,0.8204752049924724
5L_R,0.7767106800928621
24dd_R,0.7847360811978814
24dv_R,0.8409068519845571
7AL_R,0.819901221583185
SCEF_R,0.739869132449745
6ma_R,0.7548630862754623
7Am_R,0.7887917775728646
7Pl_R,0.8231386092024257
7PC_R,0.7947689263612043
LIPv_R,0.7898124241661786
VIP_R,0.8281241563479416
MIP_R,0.8329211552642241
1_R,0.8113837470369201
2_R,0.7738982514531926
3a_R,0.7709443775187955
6d_R,0.7553827254042346
6mp_R,0.6936794495991381
6v_R,0.8651195099099396
p24pr_R,0.8743559946009176
33pr_R,0.8637774242806461
a24pr_R,0.8763050734181977
p32pr_R,0.837305088678327
a24_R,0.8876406359508326
d32_R,0.8079655499274929
8BM_R,0.8302338451446175
p32_R,0.8194582715872033
10r_R,0.871377073352547
47m_R,0.8587365602976416
8Av_R,0.7990597917706895
8Ad_R,0.7833604682685925
9m_R,0.7896453872283654
8BL_R,0.8016695214714359
9p_R,0.8500120720893314
10d_R,0.8028863111855881
8C_R,0.8177271054390517
44_R,0.8125555414273057
45_R,0.8439487160733286
47l_R,0.8734518632158842
a47r_R,0.8593218696426654
6r_R,0.7956941382211937
IFJa_R,0.8588200811309267
IFJp_R,0.8615880687018538
IFSp_R,0.8325875366038453
IFSa_R,0.784663007568252
p9-46v_R,0.8109358669515742
46_R,0.8239164151903358
a9-46v_R,0.8145112679623496
9-46d_R,0.8075643545523774
9a_R,0.7976770652842726
10v_R,0.9089190947752471
a10p_R,0.8581852323125727
10pp_R,0.8879447459176218
11l_R,0.9195245588757128
13l_R,0.866448443510785
OFC_R,0.852020573994771
47s_R,0.8610630639291166
LIPd_R,0.8109401406064991
6a_R,0.7714460833790698
i6-8_R,0.8236203339170041
s6-8_R,0.7742945575462697
43_R,0.8694062930226124
OP4_R,0.8557204746669567
OP1_R,0.7746114091263228
OP2-3_R,0.8391979028543641
52_R,0.8149800638850658
RI_R,0.7864116121981407
PFcm_R,0.7455090359634711
PoI2_R,0.8602805048539036
TA2_R,0.8737880998207753
FOP4_R,0.8808586049405237
MI_R,0.8619913633537867
Pir_R,0.8249706012940239
AVI_R,0.8639508022192799
AAIC_R,0.7910465793150651
FOP1_R,0.8418854306200618
FOP3_R,0.8158776493656758
FOP2_R,0.8658674468339296
PFt_R,0.7902563511531928
AIP_R,0.8385270348476863
EC_R,0.8738048162006518
PreS_R,0.8328250523453178
H_R,0.8217042354232974
ProS_R,0.9100067395445884
PeEc_R,0.859025524467601
STGa_R,0.8789876781069633
PBelt_R,0.8176239989545565
A5_R,0.8658633060240428
PHA1_R,0.8705905707347358
PHA3_R,0.8911872170685032
STSda_R,0.868755292151782
STSdp_R,0.8674837388935086
STSvp_R,0.8372142905466526
TGd_R,0.8937273652239398
TE1a_R,0.8856943949879685
TE1p_R,0.8808446141304574
TE2a_R,0.8564510987146537
TF_R,0.8446017963421764
TE2p_R,0.8657410697626768
PHT_R,0.8557049118160386
PH_R,0.8541839076867221
TPOJ1_R,0.7981663441347934
TPOJ2_R,0.8061770900622713
TPOJ3_R,0.8184025437427684
DVT_R,0.7865604601179415
PGp_R,0.8335651950579033
IP2_R,0.8268055016996297
IP1_R,0.8123897816284723
IP0_R,0.8758977631556828
PFop_R,0.8206418315896736
PF_R,0.7406578763538559
PFm_R,0.7459252214753591
PGi_R,0.8034860569193063
PGs_R,0.814008437039154
V6A_R,0.7226891300376022
VMV1_R,0.9403505992247969
VMV3_R,0.9050774646145372
PHA2_R,0.8435960849044816
V4t_R,0.8644270529433035
FST_R,0.87887474447221
V3CD_R,0.8850706154855339
LO3_R,0.8603999125142129
VMV2_R,0.9100850577101133
31pd_R,0.8355243994283919
31a_R,0.8014899715874799
VVC_R,0.8773665747299263
25_R,0.8116495580555139
s32_R,0.8475650654218915
pOFC_R,0.9000667565968823
PoI1_R,0.8697949153164025
Ig_R,0.8301151462537228
FOP5_R,0.8368062229064043
p10p_R,0.8289861976665757
p47r_R,0.8393396109475453
TGv_R,0.8695219942120214
MBelt_R,0.8183499491542837
LBelt_R,0.8093603951722388
A4_R,0.8518152224352683
STSva_R,0.8631515862382602
TE1m_R,0.9153676500504636
PI_R,0.8530090212395981
a32pr_R,0.8145963230674936
p24_R,0.8447077399809972
