region,thick_icc
V1_L,0.967924183316829
MST_L,0.9656862027979716
V6_L,0.9729654713261382
V2_L,0.9728963816472026
V3_L,0.9828351998167575
V4_L,0.9774392028110833
V8_L,0.9606638194498685
4_L,0.9689655152356678
3b_L,0.9352998164645424
FEF_L,0.9812558557732357
PEF_L,0.9827492364291396
55b_L,0.9851681005552038
V3A_L,0.9803192586877104
RSC_L,0.963903741810895
POS2_L,0.987286202182064
V7_L,0.9675904463347996
IPS1_L,0.9795010458832352
FFC_L,0.9813745035301248
V3B_L,0.973080304472468
LO1_L,0.981307573304127
LO2_L,0.97643637845583
PIT_L,0.9733628104587476
MT_L,0.9843333449765246
A1_L,0.9418880043392789
PSL_L,0.9733895244158894
SFL_L,0.974174190535924
PCV_L,0.9670367481401667
STV_L,0.9839615070230963
7Pm_L,0.9866523785436174
7m_L,0.9794274572868026
POS1_L,0.9654251105190568
23d_L,0.955625255133034
v23ab_L,0.9522553878965525
d23ab_L,0.9583387068597452
31pv_L,0.9526402347840686
5m_L,0.9607766043897161
5mv_L,0.9651051369134798
23c_L,0.9846381270783359
5L_L,0.9742228870236864
24dd_L,0.9670588787663676
24dv_L,0.9614930274121434
7AL_L,0.9775137034346152
SCEF_L,0.9786205684916148
6ma_L,0.9770487765384135
7Am_L,0.9795752593646132
7Pl_L,0.9824220869374012
7PC_L,0.9844567108660556
LIPv_L,0.9738253069809428
VIP_L,0.9839508333360781
MIP_L,0.9745947719917482
1_L,0.9619938315792271
2_L,0.9721782329812664
3a_L,0.8861265593184556
6d_L,0.9715001765236463
6mp_L,0.9803935646361908
6v_L,0.9721887083448788
p24pr_L,0.9718789914274726
33pr_L,0.9636289137340486
a24pr_L,0.9804369822759763
p32pr_L,0.9775148485013706
a24_L,0.9543770697158934
d32_L,0.9703127028939844
8BM_L,0.9616743488951237
p32_L,0.9688876098056995
10r_L,0.9709753863501637
47m_L,0.9612374100828778
8Av_L,0.9872532291873147
8Ad_L,0.9712380320098015
9m_L,0.9683202823945214
8BL_L,0.9798846216966288
9p_L,0.9733466394627461
10d_L,0.9790965598221423
8C_L,0.9861680661158814
44_L,0.9813217077221394
45_L,0.9802194522303928
47l_L,0.9653814535137927
a47r_L,0.9748994067709454
6r_L,0.9738115723634547
IFJa_L,0.9681976052596437
IFJp_L,0.9802904674849112
IFSp_L,0.9774367551681624
IFSa_L,0.968995967595917
p9-46v_L,0.9716633572725089
46_L,0.9758718948259251
a9-46v_L,0.9666094321427319
9-46d_L,0.9822731979358416
9a_L,0.9742237685582509
10v_L,0.936007054840493
a10p_L,0.9501772634946137
10pp_L,0.9575592767874123
11l_L,0.967284712150798
13l_L,0.9614085451570266
OFC_L,0.9439362915801348
47s_L,0.9408115829793565
LIPd_L,0.9796545233082168
6a_L,0.9669186411016446
i6-8_L,0.9729142560748589
s6-8_L,0.9610572480994767
43_L,0.9742482345949304
OP4_L,0.9805915292860594
OP1_L,0.9761068939213265
OP2-3_L,0.9532779423723969
52_L,0.9254447914112645
RI_L,0.9678145504081533
PFcm_L,0.9726300621098196
PoI2_L,0.9291184503668125
TA2_L,0.9449545092241528
FOP4_L,0.9769529956256979
MI_L,0.925752465950178
Pir_L,0.8822970017272461
AVI_L,0.9350517507713004
AAIC_L,0.9082188325341963
FOP1_L,0.9728345181301962
FOP3_L,0.8766651292146835
FOP2_L,0.9543210919598814
PFt_L,0.964009932490504
AIP_L,0.9829549367460777
EC_L,0.9121415254528825
PreS_L,0.8682788917304902
H_L,0.9254973605851502
ProS_L,0.9783467454300258
PeEc_L,0.9451459331451983
STGa_L,0.9645815178504231
PBelt_L,0.9747660296391234
A5_L,0.985706403749559
PHA1_L,0.9567441707964827
PHA3_L,0.9732222608718604
STSda_L,0.9831043520317038
STSdp_L,0.973077143147713
STSvp_L,0.980300510493214
TGd_L,0.9049072379734454
TE1a_L,0.9753754296711981
TE1p_L,0.9877170625896143
TE2a_L,0.9762053442875652
TF_L,0.9606169780414655
TE2p_L,0.9643972133703416
PHT_L,0.9814010575886423
PH_L,0.9720126307114745
TPOJ1_L,0.9851797593356934
TPOJ2_L,0.9752763713042257
