region,mk_icc
V1_L,0.931004265333966
MST_L,0.9216906225186828
V6_L,0.9337704320697159
V2_L,0.9135142427161358
V3_L,0.9169645272142724
V4_L,0.9172767930396044
V8_L,0.9277185981296884
4_L,0.7996209046590267
3b_L,0.7639467675763404
FEF_L,0.8571423685492097
PEF_L,0.8898016192149104
55b_L,0.8639921680146749
V3A_L,0.9246013097445487
RSC_L,0.9053652855676945
POS2_L,0.9323561498129409
V7_L,0.951569623416525
IPS1_L,0.9244400802764334
FFC_L,0.9297571752914602
V3B_L,0.9173184768618922
LO1_L,0.9251113312602464
LO2_L,0.9346117325643424
PIT_L,0.9177004655323184
MT_L,0.9264887146061
A1_L,0.8645327492696999
PSL_L,0.9183036471157618
SFL_L,0.7816468199366076
PCV_L,0.8819134473226675
STV_L,0.9122130973923738
7Pm_L,0.9108074675969271
7m_L,0.9263133013187449
POS1_L,0.9288459448046545
23d_L,0.9189270971882696
v23ab_L,0.9587164780305287
d23ab_L,0.9230434480217591
31pv_L,0.9141503296245946
5m_L,0.7802709500589079
5mv_L,0.8400731206344711
23c_L,0.9175786693517723
5L_L,0.8236949158958907
24dd_L,0.8649282582856798
24dv_L,0.9064360926277212
7AL_L,0.8799227172536226
SCEF_L,0.7561864456145526
6ma_L,0.7934664703382207
7Am_L,0.9044575761137919
7Pl_L,0.9456407018654199
7PC_L,0.9250113548630856
LIPv_L,0.916511737774377
VIP_L,0.924206485577555
MIP_L,0.9274167236741394
1_L,0.831525753510457
2_L,0.8930395269952601
3a_L,0.8684339751367633
6d_L,0.7273075870859739
6mp_L,0.810234076015101
6v_L,0.8581271119955322
p24pr_L,0.9288365975778681
33pr_L,0.8695032447807342
a24pr_L,0.8419119159915868
p32pr_L,0.837399507426257
a24_L,0.7508454171121167
d32_L,0.6746061926803503
8BM_L,0.7633557211723648
p32_L,0.7311924185499881
10r_L,0.8246653275359817
47m_L,0.8870392135771661
8Av_L,0.8590765676948509
8Ad_L,0.8511291133643606
9m_L,0.7410474833896946
8BL_L,0.8327600436925501
9p_L,0.8558364096220777
10d_L,0.7513015550418194
8C_L,0.879360081279957
44_L,0.8616909085958363
45_L,0.8834700997260031
47l_L,0.8761042970478697
a47r_L,0.8925564158627289
6r_L,0.8318582300309472
IFJa_L,0.8854066126941927
IFJp_L,0.8935541796857048
IFSp_L,0.8437157807292469
IFSa_L,0.8331069593847615
p9-46v_L,0.8650800592989892
46_L,0.8231133802144321
a9-46v_L,0.7927341478154112
9-46d_L,0.7907860519504991
9a_L,0.8286514307845154
10v_L,0.8509879649468133
a10p_L,0.766322507889596
10pp_L,0.827970856185015
11l_L,0.8661348994014717
13l_L,0.8560233185967576
OFC_L,0.5254977835211556
47s_L,0.8731174251796896
LIPd_L,0.9210033283312309
6a_L,0.8393162036634335
i6-8_L,0.8853787440254209
s6-8_L,0.8382338685762487
43_L,0.9050497555052065
OP4_L,0.8935864404416166
OP1_L,0.8701572575739019
OP2-3_L,0.8972738892436807
52_L,0.9414390850566552
RI_L,0.8929409152664776
PFcm_L,0.8784586585463037
PoI2_L,0.887021140349756
TA2_L,0.9088014851409293
FOP4_L,0.7659385760831188
MI_L,0.8436447007761734
Pir_L,0.8612913793496184
AVI_L,0.8173436659216464
AAIC_L,0.9014090839247665
FOP1_L,0.8426587866218868
FOP3_L,0.8504069255430189
FOP2_L,0.810988285437602
PFt_L,0.8983090909437714
AIP_L,0.9216891831222457
EC_L,0.8515014159863429
PreS_L,0.8616515389777105
H_L,0.9349391438954453
ProS_L,0.910526529662298
