region,rtpp_icc
V1_L,0.9132643048461936
MST_L,0.8950478295613468
V6_L,0.9023498555398449
V2_L,0.8915671040659261
V3_L,0.8886013187899594
V4_L,0.9093370614263551
V8_L,0.8352959442264277
4_L,0.8151561719307114
3b_L,0.8040641775315596
FEF_L,0.8952694425962684
PEF_L,0.8661820111546771
55b_L,0.8512440404474798
V3A_L,0.8812741141138551
RSC_L,0.8389700103141104
POS2_L,0.8341145020159134
V7_L,0.904364527339519
IPS1_L,0.9011119543566878
FFC_L,0.8382779579621762
V3B_L,0.8997783391993756
LO1_L,0.8876851346998363
LO2_L,0.9015370827028875
PIT_L,0.8732110562108232
MT_L,0.9322557518651594
A1_L,0.8030804621625188
PSL_L,0.8621780626578595
SFL_L,0.8954812729984396
PCV_L,0.7958237866295892
STV_L,0.8739735105739491
7Pm_L,0.8865384687943216
7m_L,0.7762866935211721
POS1_L,0.8818684794002769
23d_L,0.8456633353330021
v23ab_L,0.8696283321125813
d23ab_L,0.8289530258298021
31pv_L,0.8694278345028854
5m_L,0.8454261576873222
5mv_L,0.7918675309768005
23c_L,0.8598674780751635
5L_L,0.8243898715420056
24dd_L,0.8405478878858703
24dv_L,0.8435088591686789
7AL_L,0.8853704732213067
SCEF_L,0.8707261255367469
6ma_L,0.8719028013207661
7Am_L,0.8492588541806319
7Pl_L,0.9115407818653857
7PC_L,0.794170422461727
LIPv_L,0.8426893503877307
VIP_L,0.870517175325843
MIP_L,0.8254965966839403
1_L,0.8415851944576209
2_L,0.8502649220932329
3a_L,0.8577286412091205
6d_L,0.8119966478515125
6mp_L,0.8421702196065788
6v_L,0.8364387531498565
p24pr_L,0.8612763752087368
33pr_L,0.8185727226787347
a24pr_L,0.8460032380698589
p32pr_L,0.8442993223258335
a24_L,0.7920542603121816
d32_L,0.8540302376103479
8BM_L,0.8668311776786753
p32_L,0.7605014838289199
10r_L,0.8296742554178695
47m_L,0.8729904100756309
8Av_L,0.8795664430206456
8Ad_L,0.8350446590724747
9m_L,0.8383483135836025
8BL_L,0.8754083170851931
9p_L,0.8136168515687426
10d_L,0.8407687394072475
8C_L,0.7970784468481944
44_L,0.8627569308663098
45_L,0.8855888846072149
47l_L,0.8679729967151268
a47r_L,0.8451173705830526
6r_L,0.8385629823074544
IFJa_L,0.7779761222349068
IFJp_L,0.7648495570136337
IFSp_L,0.8767205705420943
IFSa_L,0.8187229327708057
p9-46v_L,0.7811352336207966
46_L,0.8002044078683569
a9-46v_L,0.8679626260449527
9-46d_L,0.782179318722271
9a_L,0.830130426702186
10v_L,0.8120654108007758
a10p_L,0.8088520810099299
10pp_L,0.8090315499957764
11l_L,0.8197320869524617
13l_L,0.8886239145897724
OFC_L,0.8583827476089604
47s_L,0.8330169275808327
LIPd_L,0.859047464978933
6a_L,0.8465556855713188
i6-8_L,0.8426243912072136
s6-8_L,0.8531755022556979
43_L,0.8932588140138313
OP4_L,0.8524222751946514
OP1_L,0.8215827339137484
OP2-3_L,0.7656880244366833
52_L,0.8491055706355677
RI_L,0.821193310050709
PFcm_L,0.7953430719208464
PoI2_L,0.8653659167307942
TA2_L,0.8633204293777901
FOP4_L,0.8252326391877284
MI_L,0.8527043166653249
Pir_L,0.7741095234897333
AVI_L,0.8652386795324316
AAIC_L,0.7910424688723394
FOP1_L,0.8805759668723372
FOP3_L,0.8366361774734116
FOP2_L,0.8182777873955291
PFt_L,0.8212641890522179
AIP_L,0.7882647146171484
EC_L,0.8259807413335257
PreS_L,0.8750073964869792
H_L,0.875697082927325
ProS_L,0.898389309877405
PeEc_L,0.8435153197571674
STGa_L,0.7384535687262314
PBelt_L,0.8585318278852347
A5_L,0.8519509275973741
PHA1_L,0.8268204215516898
PHA3_L,0.7859296992785998
STSda_L,0.791439210084201
STSdp_L,0.8428874110582703
STSvp_L,0.8513207906202579
TGd_L,0.8119770103717968
TE1a_L,0.8182355781189709
TE1p_L,0.8597796217319439
TE2a_L,0.8296139245474943
TF_L,0.817791871303323
TE2p_L,0.8559114193015708
PHT_L,0.8544624709581518
PH_L,0.8665358136405333
TPOJ1_L,0.8696127840000548
TPOJ2_L,0.888673444425877
TPOJ3_L,0.8388016781100481
DVT_L,0.8195624178534456
PGp_L,0.8832338133977385
IP2_L,0.7453678932965985
IP1_L,0.8359515981712183
IP0_L,0.9152939872313645
PFop_L,0.8538735921901932
PF_L,0.8357621468912296
PFm_L,0.7622737478822497
PGi_L,0.8697223241209034
PGs_L,0.7848491021433831
V6A_L,0.8676128816124676
VMV1_L,0.8560799513490215
VMV3_L,0.8684461012346445
PHA2_L,0.8263005815405993
V4t_L,0.9032346871094732
FST_L,0.8938406356330367
V3CD_L,0.916861833684621
LO3_L,0.8926374110185044
VMV2_L,0.8641521779918453
31pd_L,0.8246990394613405
31a_L,0.8574309707828551
VVC_L,0.8043012292607745
25_L,0.8579411510316437
s32_L,0.8938448058135513
pOFC_L,0.8890882589777239
PoI1_L,0.858670310281931
Ig_L,0.8137230377129739
FOP5_L,0.8138128322480366
p10p_L,0.7827811616909881
p47r_L,0.8880789454051096
TGv_L,0.8616736793755225
MBelt_L,0.8367346294388804
LBelt_L,0.8907912249236021
A4_L,0.8392771005768418
STSva_L,0.8116931269599602
TE1m_L,0.8753955489272123
PI_L,0.8259179158600694
a32pr_L,0.8278794825622756
p24_L,0.8675550058881076
V1_R,0.88665893732635
MST_R,0.8460763330538699
V6_R,0.8685349364804922
V2_R,0.8801892393335766
V3_R,0.8779541994746323
V4_R,0.8914122934416588
V8_R,0.9108331234926585
4_R,0.8163367364535402
3b_R,0.8691105130063966
FEF_R,0.8379671820765805
PEF_R,0.8836913943061248
55b_R,0.8736415409056331
V3A_R,0.8959172599148386
RSC_R,0.8830986381851575
POS2_R,0.8431050617307501
V7_R,0.9007505337509608
IPS1_R,0.8901779503525213
FFC_R,0.8814512761921901
V3B_R,0.9101328658380554
LO1_R,0.916844329058055
LO2_R,0.9161936126029234
PIT_R,0.8804170064258358
MT_R,0.8851386879582628
A1_R,0.8389675779761244
PSL_R,0.9132631946701804
SFL_R,0.8805448156047245
PCV_R,0.8395851426558368
STV_R,0.9186020176337101
7Pm_R,0.9199125894217284
7m_R,0.8505080868158306
POS1_R,0.8171126994851833
23d_R,0.8340545074366789
v23ab_R,0.8824633167768884
d23ab_R,0.8644498228084783
31pv_R,0.8520529451399665
5m_R,0.922282808757493
5mv_R,0.8818552089383507
23c_R,0.8053939554526507
5L_R,0.9092650992059154
24dd_R,0.84626834785994
24dv_R,0.8592886767624023
7AL_R,0.9275756950945885
SCEF_R,0.861966899276459
6ma_R,0.8721546421309428
7Am_R,0.8524558928392159
7Pl_R,0.9498294726306032
7PC_R,0.9327783771480698
LIPv_R,0.9013508032911126
VIP_R,0.9429312261659348
MIP_R,0.9103193505884938
1_R,0.8928252922857023
