region,dki-fa_icc
V1_L,0.8714653157229
MST_L,0.936232618914887
V6_L,0.890995320023425
V2_L,0.9052140071894896
V3_L,0.9407163337758796
V4_L,0.927026809504901
V8_L,0.9242914301104456
4_L,0.922162710930838
3b_L,0.7600137917620756
FEF_L,0.9441004322698152
PEF_L,0.9612562567559017
55b_L,0.9493420433675288
V3A_L,0.937941967846428
RSC_L,0.8894279798782607
POS2_L,0.9529186595753516
V7_L,0.932507515772694
IPS1_L,0.950976392349718
FFC_L,0.930046957225715
V3B_L,0.92785228303929
LO1_L,0.9459498450523854
LO2_L,0.9114537490883377
PIT_L,0.9430990549978616
MT_L,0.9411590907241322
A1_L,0.8977320939042936
PSL_L,0.922006296471834
SFL_L,0.9453213696688302
PCV_L,0.9254236639109158
STV_L,0.95537974560106
7Pm_L,0.9405565620462284
7m_L,0.917636434380973
POS1_L,0.8934528302704964
23d_L,0.9055495005563928
v23ab_L,0.922648304659495
d23ab_L,0.8969468444074532
31pv_L,0.902209424120526
5m_L,0.892050531906659
5mv_L,0.8505493212638989
23c_L,0.8736677142730628
5L_L,0.8280683519238389
24dd_L,0.8244211388256222
24dv_L,0.919643772654058
7AL_L,0.909452203491934
SCEF_L,0.8603013920675188
6ma_L,0.8959385284874701
7Am_L,0.9292217427758254
7Pl_L,0.9434189397673376
7PC_L,0.9558581689443746
LIPv_L,0.9200787864817006
VIP_L,0.9448073364883632
MIP_L,0.935613758307998
1_L,0.877453636179905
2_L,0.8996554779760475
3a_L,0.8609751873625918
6d_L,0.9374940979193772
6mp_L,0.915103440195982
6v_L,0.9507272155160112
p24pr_L,0.9159549814769052
33pr_L,0.9139927075020364
a24pr_L,0.9171939067574788
p32pr_L,0.8648907120110011
a24_L,0.9355624811946268
d32_L,0.9139332739281896
8BM_L,0.9249084883814386
p32_L,0.9017916001664168
10r_L,0.8805452922676592
47m_L,0.948901461200985
8Av_L,0.9295371311219028
8Ad_L,0.9127150445688516
9m_L,0.8988508145965611
8BL_L,0.94344419330535
9p_L,0.9249012298263072
10d_L,0.9371718780645508
8C_L,0.9230703083604012
44_L,0.9350154697901644
45_L,0.9105113766534774
47l_L,0.9333117734735676
a47r_L,0.9334089035870164
6r_L,0.9567649182220002
IFJa_L,0.9465205658778232
IFJp_L,0.9611534096672874
IFSp_L,0.9351061063380818
IFSa_L,0.9253639039251252
p9-46v_L,0.9517217457719496
46_L,0.912752850213525
a9-46v_L,0.9203359114255208
9-46d_L,0.9328899530929008
9a_L,0.9289950201127466
10v_L,0.8215903297735219
a10p_L,0.9238378179779504
10pp_L,0.9296795200271818
11l_L,0.8786203740292566
13l_L,0.9291386323483828
OFC_L,0.910925158944246
47s_L,0.9193598434473648
LIPd_L,0.9213712591986408
6a_L,0.8787619413513217
i6-8_L,0.8986117079515838
s6-8_L,0.93702888632559
43_L,0.9522644298580756
OP4_L,0.9139994128935616
OP1_L,0.920889948249416
OP2-3_L,0.8973251696996888
52_L,0.9032353597431966
RI_L,0.9104196110814504
PFcm_L,0.923056502571264
PoI2_L,0.9304901032991136
TA2_L,0.8976894727079374
FOP4_L,0.8825032739067306
MI_L,0.9021865400537769
Pir_L,0.8247383356118572
AVI_L,0.9260300230676932
AAIC_L,0.907654576910332
FOP1_L,0.9380084861358838
FOP3_L,0.8679334415965092
FOP2_L,0.9021361926192332
PFt_L,0.9391659001605625
AIP_L,0.947672191679721
EC_L,0.8855353242256677
PreS_L,0.8803043201220397
H_L,0.8746768959926357
ProS_L,0.9235479861584188
PeEc_L,0.8733616089425063
STGa_L,0.937546713300464
PBelt_L,0.9466522365766842
A5_L,0.9324917468712826
PHA1_L,0.869963978969672
PHA3_L,0.9087890697449234
STSda_L,0.938125718667582
STSdp_L,0.962091407215311
STSvp_L,0.9595521248756868
TGd_L,0.9071291708785048
TE1a_L,0.9163584240354083
TE1p_L,0.9521358320528884
TE2a_L,0.9411612456323358
TF_L,0.9377158355200446
TE2p_L,0.9221256957561796
PHT_L,0.9357068685077607
PH_L,0.9017122810439696
TPOJ1_L,0.9284890836503006
TPOJ2_L,0.9199535007591128
TPOJ3_L,0.9382384199511146
DVT_L,0.8495554674156549
PGp_L,0.9480369255537028
IP2_L,0.8979235667537678
IP1_L,0.8933441783331374
IP0_L,0.8501664177089545
PFop_L,0.9263557411589048
PF_L,0.9094981234611188
PFm_L,0.9095475181652658
PGi_L,0.934860438229747
PGs_L,0.9463199567461832
V6A_L,0.95256183203078
VMV1_L,0.9305663506283212
VMV3_L,0.8876895477955777
PHA2_L,0.8670212422118949
V4t_L,0.9437228491076824
FST_L,0.9435587928664604
V3CD_L,0.9356044244400306
LO3_L,0.9166796392437578
VMV2_L,0.8875650300105092
31pd_L,0.90370069555816
31a_L,0.9298919708371634
VVC_L,0.8890780140975497
25_L,0.9356237257277328
s32_L,0.8894637137194007
pOFC_L,0.8167515818544991
PoI1_L,0.9152795534397444
Ig_L,0.8894254371347886
FOP5_L,0.9074255256164074
p10p_L,0.914692598583346
p47r_L,0.9040170103102746
TGv_L,0.9234078192778576
MBelt_L,0.9352963165062936
LBelt_L,0.9394263508886074
A4_L,0.9521800964564776
STSva_L,0.9554883009500276
TE1m_L,0.9642452620918968
PI_L,0.8924462742922862
a32pr_L,0.924182249043953
p24_L,0.9628593829176496
V1_R,0.9195201832763332
MST_R,0.9165124916769573
V6_R,0.8969726659854836
V2_R,0.940279376018122
V3_R,0.9403791107717896
V4_R,0.9239193762727478
V8_R,0.939827148376366
4_R,0.9353537256104558
3b_R,0.8582120915165948
FEF_R,0.9486301032163702
PEF_R,0.9405698452477936
55b_R,0.9523022667430616
V3A_R,0.9440436749174402
RSC_R,0.8872604207662875
POS2_R,0.9227623119020032
V7_R,0.9363172575780884
IPS1_R,0.8967264817951538
FFC_R,0.9422573944636886
V3B_R,0.8988390856998449
LO1_R,0.9445925461065032
LO2_R,0.9446126015559292
PIT_R,0.9612987029269466
MT_R,0.8798719092601873
A1_R,0.9289256083545738
PSL_R,0.942824217524838
SFL_R,0.9227670747990196
PCV_R,0.9392007507735478
STV_R,0.9518825521180412
7Pm_R,0.9477928787886422
7m_R,0.945972752172323
POS1_R,0.9268406434470028
23d_R,0.8399210254079045
v23ab_R,0.945895082417165
d23ab_R,0.8559347032838018
31pv_R,0.9064417301929978
5m_R,0.8431978350002551
5mv_R,0.906724115053071
23c_R,0.8641032024501438
5L_R,0.8789954272509076
24dd_R,0.8830445925171309
24dv_R,0.92284175680377
7AL_R,0.902291687620614
SCEF_R,0.9020868860025506
6ma_R,0.895473091184774
7Am_R,0.9402776851272358
7Pl_R,0.9489060912825908
7PC_R,0.8988427665053808
LIPv_R,0.9037708477525618
VIP_R,0.9360370045454494
MIP_R,0.9432321824956096
1_R,0.8702850913623373
2_R,0.8372012441222394
3a_R,0.8575360747402394
6d_R,0.9481985136686532
6mp_R,0.8995244645299979
6v_R,0.9479827970712884
p24pr_R,0.91752195288127
33pr_R,0.9144984095067488
a24pr_R,0.9624953973140576
p32pr_R,0.9549884008420728
a24_R,0.9249060602759048
d32_R,0.9430190932255644
8BM_R,0.9349556360138682
p32_R,0.9118795777686672
10r_R,0.9006155123811561
47m_R,0.9394658710996342
8Av_R,0.9231518963142432
8Ad_R,0.8618027483404236
9m_R,0.9149577811579844
8BL_R,0.9448862337286908
9p_R,0.9025865924520812
10d_R,0.9391555648162294
8C_R,0.958502789331878
44_R,0.9388127442463756
45_R,0.9044086659438404
47l_R,0.9472860445199546
a47r_R,0.9272550629706144
6r_R,0.9307203909929236
IFJa_R,0.9429980595498604
IFJp_R,0.95640665756486
IFSp_R,0.9255951803893768
IFSa_R,0.9182202757169192
p9-46v_R,0.9219886239234868
46_R,0.9495216406727222
a9-46v_R,0.8847865244995573
9-46d_R,0.8622292929678567
9a_R,0.9322149930878678
10v_R,0.9047714044991696
a10p_R,0.9375115301336392
10pp_R,0.8912381267721687
11l_R,0.8953149102698057
13l_R,0.9358458914746072
OFC_R,0.9183181639524328
47s_R,0.927211015568854
LIPd_R,0.9019165244727928
6a_R,0.9034231912096642
i6-8_R,0.9463335643151448
s6-8_R,0.8877561321017648
43_R,0.950901891074103
OP4_R,0.9637461281197176
OP1_R,0.9016660197808074
OP2-3_R,0.8563147851715944
52_R,0.9477750197628312
RI_R,0.9100380056273852
PFcm_R,0.9185760872386916
PoI2_R,0.8870562615632699
TA2_R,0.9110108229186094
FOP4_R,0.9181240494360258
MI_R,0.9210301547396682
Pir_R,0.7959322542339101
AVI_R,0.9066478549892804
AAIC_R,0.9445198324561792
FOP1_R,0.9583946559362144
FOP3_R,0.8538678646850498
FOP2_R,0.915888950414284
PFt_R,0.9683826609215502
AIP_R,0.858443788859223
EC_R,0.9086786120465576
PreS_R,0.8867038179294146
H_R,0.9288429386847664
ProS_R,0.937859153910348
PeEc_R,0.8960330446770111
STGa_R,0.9275467223191174
PBelt_R,0.8983158856694359
A5_R,0.937731350422312
PHA1_R,0.9120939069658796
PHA3_R,0.9049349701386796
STSda_R,0.938183248771292
STSdp_R,0.8798036456514942
STSvp_R,0.94858418052122
TGd_R,0.8736461864806784
TE1a_R,0.922885077329433
TE1p_R,0.946861558495236
TE2a_R,0.9182088404102982
TF_R,0.938834839696302
TE2p_R,0.9190828447109124
PHT_R,0.9248730506059856
PH_R,0.9174796499422384
TPOJ1_R,0.9432533417794964
TPOJ2_R,0.920872851587665
TPOJ3_R,0.9483356433466544
DVT_R,0.9163533848154264
PGp_R,0.9793951625117124
IP2_R,0.8939192825633174
IP1_R,0.926945054515546
IP0_R,0.9356917846253836
PFop_R,0.9278625139379408
PF_R,0.9408655625531696
PFm_R,0.9299294720584568
PGi_R,0.9374314723047804
PGs_R,0.9612070418280764
V6A_R,0.9359693632606862
VMV1_R,0.899397349481836
VMV3_R,0.8948507194375716
PHA2_R,0.8875699379171377
V4t_R,0.9404563869359308
FST_R,0.9432514267989672
V3CD_R,0.947388563900594
LO3_R,0.9649558607476524
VMV2_R,0.8835072801141804
31pd_R,0.9342286305621996
31a_R,0.9499087297379596
VVC_R,0.9213473224015206
25_R,0.9412365727754748
s32_R,0.8825299873739345
pOFC_R,0.8724945671879722
PoI1_R,0.8372844404501703
Ig_R,0.8338860364141238
FOP5_R,0.922500116075066
p10p_R,0.8640476961192581
p47r_R,0.9002265264139587
TGv_R,0.8647852481878031
MBelt_R,0.9429139430437484
LBelt_R,0.9268594905483556
A4_R,0.9336742634590796
STSva_R,0.9453227317754158
TE1m_R,0.9412710784254584
PI_R,0.9294439883753745
a32pr_R,0.9449479120445348
p24_R,0.951049179660146
