region,kfa_icc
V1_L,0.8346544258177432
MST_L,0.8547894619826033
V6_L,0.8804685247879783
V2_L,0.8819915479823269
V3_L,0.8816501786465162
V4_L,0.8573552630192931
V8_L,0.8568978006178662
4_L,0.8292048535407749
3b_L,0.8102605584245425
FEF_L,0.8106660473045757
PEF_L,0.8757162984918102
55b_L,0.8304542622027938
V3A_L,0.8811151602521757
RSC_L,0.8923426325705718
POS2_L,0.9095463267422478
V7_L,0.9243038832948324
IPS1_L,0.9285900997423568
FFC_L,0.8301764489863521
V3B_L,0.9077503030863506
LO1_L,0.9188500292960304
LO2_L,0.86914492627642
PIT_L,0.8806768606097507
MT_L,0.8157703530176461
A1_L,0.8776593830647018
PSL_L,0.8000708446361395
SFL_L,0.8453068722968268
PCV_L,0.8642245813821815
STV_L,0.8458875548603956
7Pm_L,0.84757286422627
7m_L,0.8545948404250273
POS1_L,0.8581140942233163
23d_L,0.8737143233286351
v23ab_L,0.8705464565212035
d23ab_L,0.8609382048499764
31pv_L,0.8776818013879049
5m_L,0.8710701515335862
5mv_L,0.8280432893701635
23c_L,0.8433207705823937
5L_L,0.8663908025071926
24dd_L,0.7703463896003521
24dv_L,0.8022672806558475
7AL_L,0.8866795540228599
SCEF_L,0.774669923985054
6ma_L,0.8248981908918351
7Am_L,0.8539896724360153
7Pl_L,0.8618045753303077
7PC_L,0.8620131239870636
LIPv_L,0.8526561256170915
VIP_L,0.9004834155766204
MIP_L,0.8620989037653554
1_L,0.8799016904373186
2_L,0.8664381558410937
3a_L,0.7987596296671546
6d_L,0.8300424479243831
6mp_L,0.826076398486228
6v_L,0.8859896815873685
p24pr_L,0.7878745607690095
33pr_L,0.8579709994615924
a24pr_L,0.7793048440060433
p32pr_L,0.7664582510894576
a24_L,0.897542940896681
d32_L,0.7463383269992683
8BM_L,0.743647404296387
p32_L,0.8359169472169101
10r_L,0.8028414149910741
47m_L,0.9053611205706312
8Av_L,0.8264200569740482
8Ad_L,0.8006753011246548
9m_L,0.7551767811189057
8BL_L,0.8485247825824489
9p_L,0.8706075539595117
10d_L,0.8179030829514938
8C_L,0.8830817751014198
44_L,0.8654252642132435
45_L,0.8645011863015472
47l_L,0.8786741625501877
a47r_L,0.8683961805473901
6r_L,0.8593492462313078
IFJa_L,0.8923087102076948
IFJp_L,0.8582230283706517
IFSp_L,0.8562038549555185
IFSa_L,0.8498305756021196
p9-46v_L,0.879785357801061
46_L,0.8441347822742599
a9-46v_L,0.815447378731004
9-46d_L,0.8172763222776858
9a_L,0.8624951028355933
10v_L,0.7825902953374628
a10p_L,0.8598459239653214
10pp_L,0.861872170200696
11l_L,0.8777150443236066
13l_L,0.8551163582124773
OFC_L,0.8763066276874371
47s_L,0.9023983190813474
LIPd_L,0.8620180298031475
6a_L,0.8207503880174347
i6-8_L,0.8646742051179233
s6-8_L,0.8624946958865894
43_L,0.9292225075300876
OP4_L,0.855328026829295
OP1_L,0.8480623686269438
OP2-3_L,0.8671598146113061
52_L,0.8777161830540293
RI_L,0.8012231923542589
PFcm_L,0.8189451560197198
PoI2_L,0.9407705458969424
TA2_L,0.8696267609962964
FOP4_L,0.800933055530368
MI_L,0.9042336128438596
Pir_L,0.8923058646103605
AVI_L,0.8313240329296879
AAIC_L,0.91965273063673
FOP1_L,0.8686892557782542
FOP3_L,0.8493974462997635
FOP2_L,0.8485825889590328
PFt_L,0.8527764376350286
AIP_L,0.8529646068517993
EC_L,0.8296392687363028
PreS_L,0.9004040164945295
H_L,0.8470653930620087
ProS_L,0.829026085689971
PeEc_L,0.8681628061247403
STGa_L,0.905233636779681
PBelt_L,0.7905575170664293
A5_L,0.8870447181996749
PHA1_L,0.8445754038885949
PHA3_L,0.868239366455686
STSda_L,0.8869904973266447
STSdp_L,0.865025106052897
STSvp_L,0.8850863658883079
TGd_L,0.8905900345247799
TE1a_L,0.8370575145236688
TE1p_L,0.8717255010179934
TE2a_L,0.9039667084183712
TF_L,0.8706771782957651
TE2p_L,0.9334191230961147
PHT_L,0.8565596257332684
PH_L,0.8274251053214677
TPOJ1_L,0.8285960211456807
TPOJ2_L,0.7978664534293042
TPOJ3_L,0.8458884484428372
DVT_L,0.8754644126385418
PGp_L,0.8911056778446065
IP2_L,0.8748843179096258
IP1_L,0.8963118255007269
IP0_L,0.8420343881360612
PFop_L,0.783850628921556
PF_L,0.8571560212314853
PFm_L,0.8648628667679623
PGi_L,0.8563719445961142
PGs_L,0.8997152365656497
V6A_L,0.8910801117011925
VMV1_L,0.8307484823801682
VMV3_L,0.8164406535205302
PHA2_L,0.796379802435703
V4t_L,0.8833209434167202
FST_L,0.8483561558324899
V3CD_L,0.8147907603541572
LO3_L,0.8508176447353234
VMV2_L,0.8436264950378749
31pd_L,0.8541322411744535
31a_L,0.8299998366167476
VVC_L,0.8986294824096928
25_L,0.8844308391275447
s32_L,0.825394304662504
pOFC_L,0.827269851987792
PoI1_L,0.8602920236937874
Ig_L,0.8780324656969878
FOP5_L,0.7593233595827652
p10p_L,0.8859434964988148
p47r_L,0.8241493989420614
TGv_L,0.8571468939200214
MBelt_L,0.8182070821931106
LBelt_L,0.8561857162390001
A4_L,0.8713193379648276
STSva_L,0.9038937161134692
TE1m_L,0.8474999467748887
PI_L,0.8967796919631055
a32pr_L,0.7543161770085062
p24_L,0.8472970824076939
V1_R,0.8814337707567955
MST_R,0.8319293046466253
V6_R,0.8457791238187308
V2_R,0.9064927511816784
V3_R,0.8413105244777903
V4_R,0.8992859608912434
V8_R,0.8456258917754491
4_R,0.8758733356579929
