region,odi_icc
V1_L,0.943880176615425
MST_L,0.9305004161141014
V6_L,0.9571834887861528
V2_L,0.9535887731100156
V3_L,0.9462044651885704
V4_L,0.914959018535482
V8_L,0.9310149679310648
4_L,0.9319753289692212
3b_L,0.8953563531741368
FEF_L,0.9652549858353948
PEF_L,0.9684814297033884
55b_L,0.964144209993654
V3A_L,0.9268806976505526
RSC_L,0.9399961453805248
POS2_L,0.9331136935743604
V7_L,0.942861090718958
IPS1_L,0.9294395413922252
FFC_L,0.9433368636458608
V3B_L,0.9114370385269248
LO1_L,0.9387040913803208
LO2_L,0.9402340476152696
PIT_L,0.9249300772467836
MT_L,0.9499553186328408
A1_L,0.889856870950965
PSL_L,0.9393088054279009
SFL_L,0.9418545147375342
PCV_L,0.926506264142918
STV_L,0.954998516286708
7Pm_L,0.9274433305320768
7m_L,0.9384641257901618
POS1_L,0.9463313986811696
23d_L,0.9669669812006776
v23ab_L,0.9423518978519512
d23ab_L,0.9378419550738402
31pv_L,0.9555994792898452
5m_L,0.9196435048567088
5mv_L,0.9384824094249072
23c_L,0.9540631301520032
5L_L,0.8784120989938168
24dd_L,0.9421231933263032
24dv_L,0.9556113060987528
7AL_L,0.8894359820973162
SCEF_L,0.9205307435140394
6ma_L,0.928970706401925
7Am_L,0.9059530499633696
7Pl_L,0.9155400749847428
7PC_L,0.9263126554817012
LIPv_L,0.9400008317398658
VIP_L,0.9156702927850175
MIP_L,0.9049217086196584
1_L,0.8993361879071353
2_L,0.924309763539734
3a_L,0.9342216704965736
6d_L,0.944040770552121
6mp_L,0.9277339152518091
6v_L,0.9317297074492518
p24pr_L,0.9409080687843224
33pr_L,0.8821066631160841
a24pr_L,0.9329848859206724
p32pr_L,0.9262760075064804
a24_L,0.9042935389494404
d32_L,0.9142653206212078
8BM_L,0.9139769118363232
p32_L,0.8983973484379156
10r_L,0.9179529227372224
47m_L,0.9333717545418886
8Av_L,0.955440084936387
8Ad_L,0.941172907039838
9m_L,0.8808695652681381
8BL_L,0.924634423850603
9p_L,0.9220752850617197
10d_L,0.8849528535862151
8C_L,0.9249018782704798
44_L,0.9187738075924484
45_L,0.9163563529407884
47l_L,0.9362436320280156
a47r_L,0.9004604526460803
6r_L,0.9437610571333668
IFJa_L,0.9476388364627576
IFJp_L,0.9243265781180892
IFSp_L,0.9493074836149364
IFSa_L,0.9103359893636844
p9-46v_L,0.9248984082082125
46_L,0.9100776048129688
a9-46v_L,0.8862374845319045
9-46d_L,0.8503047000475109
9a_L,0.8944024484440695
10v_L,0.8892662277423027
a10p_L,0.8932558385821358
10pp_L,0.8777415371117014
11l_L,0.8944756031570469
13l_L,0.9213686218382104
OFC_L,0.87519536723288
47s_L,0.9470693085748652
LIPd_L,0.9324988222571352
6a_L,0.9395584706796084
i6-8_L,0.9474276146514384
s6-8_L,0.9413234815297084
43_L,0.9404689155715528
OP4_L,0.9290536483165212
OP1_L,0.9276282928846048
OP2-3_L,0.9320788093629878
52_L,0.9290832502860998
RI_L,0.9015539070667948
PFcm_L,0.9287388431969952
PoI2_L,0.9089855928189016
TA2_L,0.946164972866826
FOP4_L,0.9122116076518246
MI_L,0.8961191333904391
Pir_L,0.7784322109926257
AVI_L,0.9228382951954076
AAIC_L,0.8434628494288391
FOP1_L,0.9385510990285798
FOP3_L,0.9147657115866884
FOP2_L,0.9379314579360704
PFt_L,0.9430465246360856
AIP_L,0.9314737101125904
EC_L,0.9234684029396152
PreS_L,0.9394808536704324
H_L,0.949256705264778
ProS_L,0.936872111603822
PeEc_L,0.9227516606510135
STGa_L,0.927026510629291
PBelt_L,0.9727916228605324
A5_L,0.9334854571951058
PHA1_L,0.9467115226942264
PHA3_L,0.945750994523724
STSda_L,0.947044453105162
STSdp_L,0.9415475978147344
STSvp_L,0.9459399364340878
TGd_L,0.9016312584181234
TE1a_L,0.9177097907401952
TE1p_L,0.9391791791383975
TE2a_L,0.9416089161292116
TF_L,0.9257346773359012
TE2p_L,0.9446329240874256
PHT_L,0.9440335265163404
PH_L,0.9363372957208488
TPOJ1_L,0.932146093732346
TPOJ2_L,0.9744885178721036
TPOJ3_L,0.9353599806487544
DVT_L,0.9344938045370768
PGp_L,0.8994629534132756
IP2_L,0.9500927208225556
IP1_L,0.945104327442536
IP0_L,0.9178422005741074
PFop_L,0.9421118055141566
PF_L,0.9320806869497654
PFm_L,0.9303130212699832
PGi_L,0.9314218531842176
PGs_L,0.9020476167066818
V6A_L,0.9501107603204146
VMV1_L,0.961887582761621
VMV3_L,0.9256254443486954
PHA2_L,0.9438462233337656
V4t_L,0.9346262764051704
FST_L,0.9375583479639216
V3CD_L,0.9405836469873122
LO3_L,0.93755333962734
VMV2_L,0.9172806422342704
31pd_L,0.9576295902709472
31a_L,0.9545338945698916
VVC_L,0.9526389494239672
25_L,0.908743702229466
s32_L,0.9419517464034785
pOFC_L,0.9221390188778492
PoI1_L,0.9011215106692292
Ig_L,0.946597643324154
FOP5_L,0.912595309402281
p10p_L,0.8415265892416927
p47r_L,0.8826410441056967
TGv_L,0.9016269780417544
MBelt_L,0.9253691534246962
LBelt_L,0.9512112970092872
A4_L,0.9484178235547456
STSva_L,0.9344853556301628
TE1m_L,0.9520271848419822
PI_L,0.92609632485476
a32pr_L,0.9266398313663704
p24_L,0.9429020486506772
V1_R,0.9270225117036646
MST_R,0.9391718573367406
V6_R,0.938584670588064
V2_R,0.9447832639427424
V3_R,0.946253903483264
V4_R,0.952503211428235
V8_R,0.9132914756975468
4_R,0.9203417660675596
3b_R,0.903293846073358
