region,rtap_icc
V1_L,0.9280994576982726
MST_L,0.9401271585530026
V6_L,0.9387645190601709
V2_L,0.9415679592366267
V3_L,0.9344980732601729
V4_L,0.9363379528402664
V8_L,0.8978136239961225
4_L,0.8973392383333716
3b_L,0.8540798126487532
FEF_L,0.9226648494052646
PEF_L,0.9219885646849006
55b_L,0.9085017048503882
V3A_L,0.9122125049489389
RSC_L,0.8435357776080381
POS2_L,0.8641008076031592
V7_L,0.9527590957600927
IPS1_L,0.9456696899401916
FFC_L,0.9030922533386815
V3B_L,0.9413109217256048
LO1_L,0.9343832237065582
LO2_L,0.9199431990024876
PIT_L,0.9302256387534525
MT_L,0.949017292480179
A1_L,0.8697575917647278
PSL_L,0.9118948690441736
SFL_L,0.9349132702139284
PCV_L,0.8614310720908768
STV_L,0.9330824032959563
7Pm_L,0.9048387764964542
7m_L,0.8726249795766474
POS1_L,0.8776628827440635
23d_L,0.8488788252209607
v23ab_L,0.8892133405541438
d23ab_L,0.8909741732862227
31pv_L,0.9134718432620808
5m_L,0.8851635371033484
5mv_L,0.8520506599665165
23c_L,0.9043479598194611
5L_L,0.8766487305837369
24dd_L,0.9069737770340501
24dv_L,0.893755984503324
7AL_L,0.8909112703084815
SCEF_L,0.9176805801119081
6ma_L,0.8759912972728281
7Am_L,0.8761944870286618
7Pl_L,0.9202388090642845
7PC_L,0.8669280914050086
LIPv_L,0.9113678737483435
VIP_L,0.9160634397716402
MIP_L,0.9151929059573369
1_L,0.8829057773788039
2_L,0.9549324610032182
3a_L,0.9089013824483652
6d_L,0.8648697400126095
6mp_L,0.9228242129054797
6v_L,0.8594474776004031
p24pr_L,0.895638702423401
33pr_L,0.8976547949674046
a24pr_L,0.8838244025423315
p32pr_L,0.900327408380454
a24_L,0.8476516359893815
d32_L,0.8589973942756695
8BM_L,0.9294049066176178
p32_L,0.766858360160316
10r_L,0.8272678957066395
47m_L,0.8914334057658675
8Av_L,0.9263840540499542
8Ad_L,0.8827235904408304
9m_L,0.8868733810773333
8BL_L,0.9182842798079943
9p_L,0.8509223217339132
10d_L,0.8937304675470219
8C_L,0.8750746466000056
44_L,0.8803928073180975
45_L,0.9456062869605613
47l_L,0.9184574198754066
a47r_L,0.9061278230151698
6r_L,0.903802154081208
IFJa_L,0.8855128655298995
IFJp_L,0.8533769298702282
IFSp_L,0.9028437761549237
IFSa_L,0.8678023823855271
p9-46v_L,0.8858436820073634
46_L,0.8599225673798538
a9-46v_L,0.888355385472058
9-46d_L,0.8546173272358966
9a_L,0.8820772352991196
10v_L,0.8611522412648804
a10p_L,0.8240654617080884
10pp_L,0.858793917845957
11l_L,0.8451879703062743
13l_L,0.9079519855050899
OFC_L,0.8930327530107519
47s_L,0.8541788096970071
LIPd_L,0.9126683929865022
6a_L,0.8343152952512217
i6-8_L,0.9039190250509735
s6-8_L,0.9319164225536901
43_L,0.9328979721790257
OP4_L,0.9181191319590257
OP1_L,0.8409803815301383
OP2-3_L,0.8405563919122946
52_L,0.8640105116326482
RI_L,0.8661203126927413
PFcm_L,0.8365766604457212
PoI2_L,0.8278987437949024
TA2_L,0.9318128730228932
FOP4_L,0.8486008637678173
MI_L,0.8274485502525079
Pir_L,0.7902843110413156
AVI_L,0.8810028052894404
AAIC_L,0.8137614986455497
FOP1_L,0.8985301070124931
FOP3_L,0.8577741591830864
FOP2_L,0.8504872378721102
PFt_L,0.8635633953333246
AIP_L,0.8989450946791736
EC_L,0.8327829658637009
PreS_L,0.9331463110717133
H_L,0.8900482102250739
ProS_L,0.918058685141973
PeEc_L,0.9062198646143591
STGa_L,0.8251102277209506
PBelt_L,0.9080522530614908
A5_L,0.9016581244267178
PHA1_L,0.8454219715097104
PHA3_L,0.8492399260909202
STSda_L,0.8614247383539929
STSdp_L,0.9372972375098626
STSvp_L,0.9021336159645921
TGd_L,0.850124048137245
TE1a_L,0.8577094398132713
TE1p_L,0.9153553853718549
TE2a_L,0.9172413951298791
TF_L,0.905993303074479
TE2p_L,0.9305415328047352
PHT_L,0.9168107323186497
PH_L,0.9064735522836824
TPOJ1_L,0.9405565138144765
TPOJ2_L,0.9388155746444472
TPOJ3_L,0.9253935300359003
DVT_L,0.9087874589970665
PGp_L,0.8572526650133188
IP2_L,0.8661067893020964
IP1_L,0.8852926865895846
IP0_L,0.9375672734249693
PFop_L,0.8525178050185147
PF_L,0.8834142550066422
PFm_L,0.8104332074687849
PGi_L,0.9248117465276373
PGs_L,0.8237696144703542
V6A_L,0.9286930932168319
VMV1_L,0.8895203852625844
VMV3_L,0.8517237772966746
PHA2_L,0.8705652338217257
V4t_L,0.8994227081836768
FST_L,0.924569521097036
V3CD_L,0.9182966833624455
LO3_L,0.9393580209938738
VMV2_L,0.8496597634924643
31pd_L,0.8862241363018508
31a_L,0.8835610206174721
VVC_L,0.8583333658175829
25_L,0.9295369748830999
s32_L,0.9204204111960447
pOFC_L,0.9397497755249152
PoI1_L,0.8613961038686297
