region,qiv_icc
V1_L,0.9019516325678854
MST_L,0.9342379138547212
V6_L,0.9051060870831767
V2_L,0.9062552566277275
V3_L,0.9062786001419766
V4_L,0.9123553082115688
V8_L,0.9297653137244236
4_L,0.9067868171136696
3b_L,0.8525458250306328
FEF_L,0.9137991167109638
PEF_L,0.946686747799396
55b_L,0.8947733819333735
V3A_L,0.8978773482509917
RSC_L,0.8586103084596001
POS2_L,0.8639985195967131
V7_L,0.9212013053012074
IPS1_L,0.8924363398856587
FFC_L,0.8725033463666009
V3B_L,0.8973053514149683
LO1_L,0.9317417718854414
LO2_L,0.9283990549840796
PIT_L,0.9107508988199868
MT_L,0.9182615644561432
A1_L,0.9301087867123116
PSL_L,0.9244293881572836
SFL_L,0.8959493259224779
PCV_L,0.8461394609423037
STV_L,0.9342441874259894
7Pm_L,0.8529242359324564
7m_L,0.8352667167976527
POS1_L,0.8708025745695716
23d_L,0.8542533603794819
v23ab_L,0.8835962055278012
d23ab_L,0.8300140011009131
31pv_L,0.8089337748088242
5m_L,0.8843387184676551
5mv_L,0.804641012640953
23c_L,0.8068021235951348
5L_L,0.8498141283385621
24dd_L,0.8268870240704456
24dv_L,0.8694786846275923
7AL_L,0.8921625385792173
SCEF_L,0.8835625587288092
6ma_L,0.8811052237389831
7Am_L,0.8549289322135252
7Pl_L,0.8753583069354252
7PC_L,0.8399201093780195
LIPv_L,0.8696050695026508
VIP_L,0.9114207692263642
MIP_L,0.8960133161898556
1_L,0.9012879874367836
2_L,0.9136612898781092
3a_L,0.8603982641020929
6d_L,0.8919687878084723
6mp_L,0.8710672028882803
6v_L,0.8930344794280288
p24pr_L,0.86127126078298
33pr_L,0.8931018960056745
a24pr_L,0.916370299494184
p32pr_L,0.888311725949628
a24_L,0.841995923151691
d32_L,0.900823575115324
8BM_L,0.896121777758812
p32_L,0.8630991243860939
10r_L,0.8643099176303144
47m_L,0.8843830548067082
8Av_L,0.8889294829437054
8Ad_L,0.8980894559316075
9m_L,0.9085685017954248
8BL_L,0.9478403668897082
9p_L,0.9280026134010304
10d_L,0.9258244675586388
8C_L,0.9080948958027228
44_L,0.9167718020575684
45_L,0.9379780438230628
47l_L,0.9034676574311208
a47r_L,0.886546987979565
6r_L,0.9212939534452234
IFJa_L,0.9078978373728775
IFJp_L,0.9385421266872128
IFSp_L,0.9149909358795498
IFSa_L,0.9099075751470114
p9-46v_L,0.9395844719791632
46_L,0.9296453035901604
a9-46v_L,0.9098621475776184
9-46d_L,0.9274396791798954
9a_L,0.9475412197060562
10v_L,0.9135244381164054
a10p_L,0.889180712479597
10pp_L,0.9138610422435166
11l_L,0.9054404342982196
13l_L,0.9252228170077708
OFC_L,0.9252499708140892
47s_L,0.8748502991398132
LIPd_L,0.9202615283992154
6a_L,0.852187883850396
i6-8_L,0.8912629249405083
s6-8_L,0.9402798848534268
43_L,0.930925890751658
OP4_L,0.9464761905259612
OP1_L,0.9198865806855656
OP2-3_L,0.8984432461878219
52_L,0.8728863724687398
RI_L,0.9010950912573944
PFcm_L,0.9249826055909856
PoI2_L,0.920277599455358
TA2_L,0.9080465515551792
FOP4_L,0.870451254578165
MI_L,0.8898808347784346
Pir_L,0.8527613003936583
AVI_L,0.8978736528408787
AAIC_L,0.857934460963041
FOP1_L,0.9001363104060012
FOP3_L,0.8692401262107472
FOP2_L,0.8860945029768459
PFt_L,0.8687833023836012
AIP_L,0.8466059850231455
EC_L,0.8793342782009033
PreS_L,0.9193840039208938
H_L,0.9166262048024634
ProS_L,0.8822090293498562
PeEc_L,0.8917476948913743
STGa_L,0.8783318233757448
PBelt_L,0.8677577342193359
A5_L,0.9239612774182044
PHA1_L,0.8574262102061891
PHA3_L,0.8658353357306903
STSda_L,0.8884427385283568
STSdp_L,0.8989600335398327
STSvp_L,0.9127761808196532
TGd_L,0.890350525556782
TE1a_L,0.9050193878213052
TE1p_L,0.9242420462714268
TE2a_L,0.8859569073957806
TF_L,0.9118744645259632
TE2p_L,0.9292236791178662
PHT_L,0.8951182020360338
PH_L,0.8841599065214687
TPOJ1_L,0.9299490153560472
TPOJ2_L,0.9289640407192952
TPOJ3_L,0.9147393532997492
DVT_L,0.878432877943863
PGp_L,0.8784929687641002
IP2_L,0.8663749658842599
IP1_L,0.851004261150364
IP0_L,0.8391508734811952
PFop_L,0.8866038116141095
PF_L,0.8635335226232711
PFm_L,0.8059178687951593
PGi_L,0.8754599652175724
PGs_L,0.8348261291025094
V6A_L,0.9390516829536942
VMV1_L,0.8558271605215054
VMV3_L,0.9021465859659908
PHA2_L,0.8373919325371136
V4t_L,0.9321747095688566
FST_L,0.9138051457744768
V3CD_L,0.9287273433991652
LO3_L,0.9133723328726988
VMV2_L,0.9238923336624392
31pd_L,0.8494971125541287
31a_L,0.7639742475243121
VVC_L,0.8784250458568135
25_L,0.9412350903350728
s32_L,0.9191738976943686
pOFC_L,0.931462522685631
PoI1_L,0.8405627598796149
Ig_L,0.9048039450784204
FOP5_L,0.9073670446480416
p10p_L,0.9100689493436024
p47r_L,0.9168908120172828
TGv_L,0.9128777418397478
MBelt_L,0.8841632761457898
LBelt_L,0.905673484849292
A4_L,0.907694800249484
STSva_L,0.8804355051946667
TE1m_L,0.8998929262019582
PI_L,0.8829523534839353
a32pr_L,0.8908524030130259
p24_L,0.885762818932404
V1_R,0.9099829595020386
MST_R,0.9062330137382774
V6_R,0.890940234305348
V2_R,0.9070945735192076
V3_R,0.8950046306104307
V4_R,0.906233773404114
V8_R,0.9112443571085954
4_R,0.8965942578237914
