region,ak_icc
V1_L,0.9041933655661138
MST_L,0.901222830554164
V6_L,0.8864479561358849
V2_L,0.9045432438123692
V3_L,0.8915443616268335
V4_L,0.9093890651904112
V8_L,0.9121271240411144
4_L,0.7691776889638523
3b_L,0.6722839372381865
FEF_L,0.8543999095589219
PEF_L,0.8815461303603578
55b_L,0.8726941031227818
V3A_L,0.908285522335851
RSC_L,0.881876619412539
POS2_L,0.8959467495605574
V7_L,0.9522969657634156
IPS1_L,0.9102575446399808
FFC_L,0.9092230656171632
V3B_L,0.9075820671874898
LO1_L,0.8920333468349164
LO2_L,0.913100810745367
PIT_L,0.87309377345273
MT_L,0.9269588144817652
A1_L,0.843862677914558
PSL_L,0.9010302730147164
SFL_L,0.7516913239505517
PCV_L,0.8425841733110695
STV_L,0.8782525792455286
7Pm_L,0.8681090507598278
7m_L,0.9010588051980432
POS1_L,0.9082616301018908
23d_L,0.9152379357403664
v23ab_L,0.9378763234058036
d23ab_L,0.9037998673128256
31pv_L,0.8565692506465165
5m_L,0.7622253693307097
5mv_L,0.7861516713605939
23c_L,0.8771810697310416
5L_L,0.7865233749467236
24dd_L,0.8290182459757618
24dv_L,0.8612418412489777
7AL_L,0.8324757918455228
SCEF_L,0.7414070495905615
6ma_L,0.7779683636286991
7Am_L,0.8536377423697525
7Pl_L,0.9194019606089096
7PC_L,0.8836358278204286
LIPv_L,0.9132122398343926
VIP_L,0.8833558424564337
MIP_L,0.9214243057124228
1_L,0.7831238094565015
2_L,0.8577686102149764
3a_L,0.8081356235998057
6d_L,0.7338350341393293
6mp_L,0.7930176782619293
6v_L,0.8159197414819048
p24pr_L,0.8860025794709694
33pr_L,0.8408913812428611
a24pr_L,0.8439067860897573
p32pr_L,0.8316504276797582
a24_L,0.7543956962631404
d32_L,0.717096547491394
8BM_L,0.7867553357395917
p32_L,0.7187614043191336
10r_L,0.811729508524348
47m_L,0.8394513793556201
8Av_L,0.8627292536085034
8Ad_L,0.8481173687426191
9m_L,0.756256405971304
8BL_L,0.8137795814000901
9p_L,0.8386176776985248
10d_L,0.7569241428580421
8C_L,0.8769485261677163
44_L,0.833240776817396
45_L,0.8292883354159835
47l_L,0.8386715153926422
a47r_L,0.8487517507932218
6r_L,0.8094025385216684
IFJa_L,0.8680077509734228
IFJp_L,0.8835473961488519
IFSp_L,0.8031134860865283
IFSa_L,0.7874180533398184
p9-46v_L,0.8103542863683452
46_L,0.7961542698165213
a9-46v_L,0.7392962596353178
9-46d_L,0.7633848166270069
9a_L,0.8198377640887018
10v_L,0.8041880122147229
a10p_L,0.7600089569435099
10pp_L,0.7985649228242988
11l_L,0.8203574671957059
13l_L,0.813574293418415
OFC_L,0.3413609359442485
47s_L,0.8448283745952304
LIPd_L,0.8962086293792866
6a_L,0.8309544053416301
i6-8_L,0.8497702242415747
s6-8_L,0.8375501813150867
43_L,0.8547637109694408
OP4_L,0.8711690133847353
OP1_L,0.8505197067124682
OP2-3_L,0.847750059784799
52_L,0.9100098833066872
RI_L,0.8541791093786016
PFcm_L,0.8345540506078005
PoI2_L,0.867717971226289
TA2_L,0.8879249778134403
FOP4_L,0.7834860158074266
MI_L,0.806927630669505
Pir_L,0.8026861589084084
AVI_L,0.7820942813583447
AAIC_L,0.8647489544831958
FOP1_L,0.8395343661135427
FOP3_L,0.8150234127476896
FOP2_L,0.794240023792827
PFt_L,0.866472802391512
AIP_L,0.909065303269959
EC_L,0.8350813003288222
