region,ak_icc
PreS_L,0.8812924977574095
H_L,0.9074047459350902
ProS_L,0.9161690315220936
PeEc_L,0.9018280617535724
STGa_L,0.8439971571132253
PBelt_L,0.8959405163884299
A5_L,0.8721872129432994
PHA1_L,0.9278144746757556
PHA3_L,0.9403298306135136
STSda_L,0.897461734522035
STSdp_L,0.9313092289097542
STSvp_L,0.9144112062963274
TGd_L,0.8406098409297343
TE1a_L,0.872167661409644
TE1p_L,0.921215489120971
TE2a_L,0.8927535686670185
TF_L,0.8761986161446799
TE2p_L,0.9309325974196196
PHT_L,0.9038651231773508
PH_L,0.8880765011657098
TPOJ1_L,0.9069419610139138
TPOJ2_L,0.9087904037248962
TPOJ3_L,0.9424715250774596
DVT_L,0.8797000167348946
PGp_L,0.8781142169630167
IP2_L,0.9067657717737913
IP1_L,0.8947533393351544
IP0_L,0.8450872887629479
PFop_L,0.8205388819599448
PF_L,0.8372191931311196
PFm_L,0.8717668679481826
PGi_L,0.8651389408024373
PGs_L,0.8428447502702143
V6A_L,0.9195254410744962
VMV1_L,0.9399933554502476
VMV3_L,0.9305036321595104
PHA2_L,0.9359951872714772
V4t_L,0.9200285901269512
FST_L,0.918330145751334
V3CD_L,0.9181211400298566
LO3_L,0.9021742736794806
VMV2_L,0.9181575418472778
31pd_L,0.8733319933755367
31a_L,0.8898853578849767
VVC_L,0.9078418285243
25_L,0.891164794973772
s32_L,0.8629734744443307
pOFC_L,0.8705636579638939
PoI1_L,0.8912071426197311
Ig_L,0.8583217750693048
FOP5_L,0.748392732907691
p10p_L,0.7653250187498374
p47r_L,0.7645998708004994
TGv_L,0.8890460328680724
MBelt_L,0.9153072847622612
LBelt_L,0.8849371455075397
A4_L,0.8951212217273193
STSva_L,0.8728315077147768
TE1m_L,0.9209409229987392
PI_L,0.880034765627337
a32pr_L,0.7320725286528305
p24_L,0.6198863675428006
V1_R,0.8906734019245554
MST_R,0.8877498738814334
V6_R,0.8843438881639887
V2_R,0.8912806276350929
V3_R,0.8828920938983514
V4_R,0.8602955689262823
V8_R,0.8781212180492677
4_R,0.790978430524499
3b_R,0.8229304592739148
FEF_R,0.8175310280265536
PEF_R,0.8149622344067439
55b_R,0.820103849025629
V3A_R,0.8810048169643915
RSC_R,0.8555698793812123
POS2_R,0.8753333800885098
V7_R,0.9061180638387494
IPS1_R,0.8720991560200101
FFC_R,0.8654226333815945
V3B_R,0.8539842501660899
LO1_R,0.875429253470714
LO2_R,0.8662080437733566
PIT_R,0.8763090424164565
MT_R,0.8611437630524678
A1_R,0.8075217897873082
PSL_R,0.7904453003182628
SFL_R,0.7788744749099312
PCV_R,0.8673345209678959
STV_R,0.8646841726927883
7Pm_R,0.8640780909015764
7m_R,0.9061250220237232
POS1_R,0.9022740499307852
23d_R,0.8780985207299329
v23ab_R,0.9082722065949628
d23ab_R,0.8967343511774919
31pv_R,0.8863773156034923
5m_R,0.838321513178416
5mv_R,0.857353012688634
23c_R,0.8736877106488485
5L_R,0.831975553369515
24dd_R,0.8495391887318707
24dv_R,0.8454535962393425
7AL_R,0.7893094400486489
SCEF_R,0.8176272175336143
6ma_R,0.752774232120563
7Am_R,0.8326850805073881
7Pl_R,0.8683310996697943
7PC_R,0.8268336222750574
LIPv_R,0.8723177847944086
VIP_R,0.8659644868394312
MIP_R,0.8770868907917361
1_R,0.7808562893018209
2_R,0.8145780996252716
3a_R,0.8081946166569279
6d_R,0.7943716940893635
6mp_R,0.7830963594098459
6v_R,0.7990483166052033
p24pr_R,0.8717191367504734
33pr_R,0.8715428176949148
a24pr_R,0.850205521419961
p32pr_R,0.8636270214055017
a24_R,0.7913815244437591
d32_R,0.7798320932380831
8BM_R,0.8059688222211092
p32_R,0.7767207300216983
10r_R,0.8180768538711638
47m_R,0.8520703594795803
8Av_R,0.7703744800695229
8Ad_R,0.7564017343700322
9m_R,0.7626352001683161
8BL_R,0.7901263918335891
9p_R,0.80828452762721
10d_R,0.7697980036685084
8C_R,0.7879181365042521
44_R,0.7586190247570048
45_R,0.8034855899933017
47l_R,0.8271921066893385
a47r_R,0.8240363165960377
6r_R,0.7605349821966345
IFJa_R,0.8147104730793829
IFJp_R,0.8025638272354062
IFSp_R,0.8045221922221403
IFSa_R,0.7402732760830187
p9-46v_R,0.7321696921538106
46_R,0.7683615134428664
a9-46v_R,0.7235906703429958
9-46d_R,0.7350967307456753
9a_R,0.8006283582969667
10v_R,0.8090055637598967
a10p_R,0.8100193809775187
10pp_R,0.8323291406886354
11l_R,0.8478034856455647
13l_R,0.8398271381598251
OFC_R,0.5596443636950993
47s_R,0.8687401210013924
LIPd_R,0.83531412860795
6a_R,0.8124641895013968
i6-8_R,0.8221664976209875
s6-8_R,0.7700577251501538
43_R,0.8111832702877779
OP4_R,0.8512196705011433
OP1_R,0.8274786999522067
OP2-3_R,0.8436984192715935
52_R,0.8907442072780614
RI_R,0.8224599450847446
PFcm_R,0.8174335039234756
PoI2_R,0.8498816071596942
TA2_R,0.8256901111151893
FOP4_R,0.7762877625756562
MI_R,0.7962500694011599
Pir_R,0.8741223586568541
AVI_R,0.7524906354983283
AAIC_R,0.8453871167130314
FOP1_R,0.7689481498611852
FOP3_R,0.7588376484071443
FOP2_R,0.795749425692979
PFt_R,0.8398725106042261
AIP_R,0.825284923754073
EC_R,0.8904811808447155
PreS_R,0.8332965738036594
H_R,0.9084089540935052
ProS_R,0.8871246215338459
PeEc_R,0.893554148267388
STGa_R,0.7959713497564442
PBelt_R,0.87932004092213
A5_R,0.8824705082737403
PHA1_R,0.9356829487759312
PHA3_R,0.9109638500235548
STSda_R,0.8349992397863834
STSdp_R,0.826012440234931
STSvp_R,0.8713088150144465
TGd_R,0.8364080608424638
TE1a_R,0.8689394188511862
TE1p_R,0.918738513711812
TE2a_R,0.8933789557863163
TF_R,0.8415365488236817
TE2p_R,0.900857148390648
PHT_R,0.892087428694026
PH_R,0.8664295654227434
TPOJ1_R,0.85906119486827
TPOJ2_R,0.8502496157941738
TPOJ3_R,0.8277258316385021
DVT_R,0.8948322791579568
PGp_R,0.8790219197242449
IP2_R,0.7984899828977624
IP1_R,0.8639619806400328
IP0_R,0.883543151294354
PFop_R,0.8519418583696181
PF_R,0.8550666589574831
PFm_R,0.8245461893230162
PGi_R,0.8375642880785409
PGs_R,0.8539935513151745
V6A_R,0.8774589799893799
VMV1_R,0.9232812588743998
VMV3_R,0.8789912756233745
PHA2_R,0.9160884221446112
V4t_R,0.882593343759124
FST_R,0.89899861579424
V3CD_R,0.8778373217046079
LO3_R,0.8739292376689234
VMV2_R,0.915876194453573
31pd_R,0.8916996507004965
31a_R,0.905896672917678
VVC_R,0.9022026665379808
25_R,0.9346088597047124
s32_R,0.8798597351817633
pOFC_R,0.8910024741825994
PoI1_R,0.8981967425724529
Ig_R,0.8323753428536602
FOP5_R,0.7447392062742916
p10p_R,0.7491330859973709
p47r_R,0.8268285584790156
TGv_R,0.8847778007929318
MBelt_R,0.8892258598888764
LBelt_R,0.8004120381662313
A4_R,0.8400077757182656
STSva_R,0.860194861099894
TE1m_R,0.9200969853897716
PI_R,0.8365127680111101
a32pr_R,0.8288724164123076
p24_R,0.7432616256649167
