region,dki-md_icc
V1_L,0.9073622485636504
MST_L,0.8679727837717511
V6_L,0.8606276661246163
V2_L,0.9033533043260796
V3_L,0.8830047327631917
V4_L,0.9118499036715348
V8_L,0.8852013824251221
4_L,0.8362609483886783
3b_L,0.820360552354836
FEF_L,0.8222984915678311
PEF_L,0.8862438946973143
55b_L,0.740453384975036
V3A_L,0.85905167638022
RSC_L,0.869321958175509
POS2_L,0.8453164995484493
V7_L,0.8408489428216953
IPS1_L,0.8021771274032942
FFC_L,0.8366604927776508
V3B_L,0.8689192146037161
LO1_L,0.940451757095108
LO2_L,0.8952679992668768
PIT_L,0.8722059360863889
MT_L,0.8589824144133817
A1_L,0.8700096927518103
PSL_L,0.885022391611508
SFL_L,0.7851237483203016
PCV_L,0.8023270626126302
STV_L,0.9042004261175812
7Pm_L,0.8552187093254828
7m_L,0.812267429056302
POS1_L,0.8781756755180631
23d_L,0.8581397721301278
v23ab_L,0.8730255949629819
d23ab_L,0.8086511197997418
31pv_L,0.7978222319546755
5m_L,0.8245764531108561
5mv_L,0.7837276760739533
23c_L,0.7878098426144207
5L_L,0.8303329946791757
24dd_L,0.782158731073067
24dv_L,0.8137563864093121
7AL_L,0.8601350409570063
SCEF_L,0.8512991345665925
6ma_L,0.8190295574411034
7Am_L,0.8622032039175487
7Pl_L,0.8918150425704264
7PC_L,0.838419186523525
LIPv_L,0.7836751046269121
VIP_L,0.8793172162985043
MIP_L,0.8362991034451862
1_L,0.8288150719155281
2_L,0.8235155256851898
3a_L,0.8292540999130469
6d_L,0.8401371206199223
6mp_L,0.8064420914895069
6v_L,0.8308983175790775
p24pr_L,0.8189673933034006
33pr_L,0.8929058538425101
a24pr_L,0.864807096228626
p32pr_L,0.8174053523170399
a24_L,0.8385694555444729
d32_L,0.7866005885711588
8BM_L,0.8321140620304351
p32_L,0.8327067704951747
10r_L,0.90675558164195
47m_L,0.8264348234432218
8Av_L,0.7791290567674691
8Ad_L,0.7713327641354978
9m_L,0.8283837674766974
8BL_L,0.8467142166131917
9p_L,0.9011811542410506
10d_L,0.8424262460721912
8C_L,0.7705878445010843
44_L,0.8496769619245667
45_L,0.8617623384973863
47l_L,0.8323582538379879
a47r_L,0.8358713808193597
6r_L,0.8443732495433839
IFJa_L,0.828647130182367
IFJp_L,0.8231611832377788
IFSp_L,0.8773855256897054
IFSa_L,0.854216363801901
p9-46v_L,0.8297962003277997
46_L,0.8203108238279084
a9-46v_L,0.8934308785821811
9-46d_L,0.8647357186877335
9a_L,0.8713864253426067
10v_L,0.8816990396865608
a10p_L,0.837811963154119
10pp_L,0.8931576799749167
11l_L,0.92305831088333
13l_L,0.851167479912591
OFC_L,0.9249965280557522
47s_L,0.8344772717437083
LIPd_L,0.8433994385539095
6a_L,0.7978222455214832
i6-8_L,0.7811073751882921
s6-8_L,0.86555430050881
43_L,0.8430943756694549
OP4_L,0.8765014875175574
OP1_L,0.8832000704037336
OP2-3_L,0.8898982636915989
52_L,0.8755276591173108
RI_L,0.8124348956504656
PFcm_L,0.8143790805385788
PoI2_L,0.8431221340949853
TA2_L,0.8862870066264577
FOP4_L,0.7970101437470718
MI_L,0.803329652067215
Pir_L,0.8261838163569745
AVI_L,0.8180750459077211
AAIC_L,0.8260245824148293
FOP1_L,0.8424844986821706
FOP3_L,0.8484131380755368
FOP2_L,0.8164418920652303
PFt_L,0.8193197392646704
AIP_L,0.7359693251545807
EC_L,0.8665517552641631
PreS_L,0.8437006594003023
H_L,0.873384193707126
ProS_L,0.8208597802620691
PeEc_L,0.8361471462208425
STGa_L,0.8213047979703707
PBelt_L,0.8167741608951906
A5_L,0.8326741885251148
PHA1_L,0.8720576705096544
PHA3_L,0.8375905170166517
STSda_L,0.837218953535403
STSdp_L,0.8697834887166402
STSvp_L,0.8820905058211241
TGd_L,0.9083106716665194
TE1a_L,0.8795165429086305
TE1p_L,0.9014832928881844
TE2a_L,0.8498042061542131
TF_L,0.8698650542534234
TE2p_L,0.8266520686856107
PHT_L,0.8662335686149334
PH_L,0.8751680835119202
TPOJ1_L,0.8720885831126707
TPOJ2_L,0.9064905570867348
TPOJ3_L,0.8610719017483941
DVT_L,0.8819241992145364
PGp_L,0.8670557392633078
IP2_L,0.7969897590791932
IP1_L,0.8085453541252215
IP0_L,0.8697062867482275
PFop_L,0.7670832208569491
PF_L,0.7877432210937334
PFm_L,0.7649889129006933
PGi_L,0.8248100250769613
PGs_L,0.769637907669007
V6A_L,0.8259641172180492
VMV1_L,0.8650618990587765
VMV3_L,0.8364805693516595
PHA2_L,0.8232444210215296
V4t_L,0.901344546792145
FST_L,0.8853659148158548
V3CD_L,0.9010428640389596
LO3_L,0.881385772021477
VMV2_L,0.8984463346208756
31pd_L,0.8212116507666967
31a_L,0.7162445783272515
VVC_L,0.875864649389412
25_L,0.8864308137080983
s32_L,0.8963779896333097
pOFC_L,0.9294295126987572
PoI1_L,0.8398625544161241
Ig_L,0.8936018949070802
FOP5_L,0.8636608915827899
p10p_L,0.865196117971331
p47r_L,0.8335877671117501
TGv_L,0.8724394191682828
MBelt_L,0.8373877633395929
LBelt_L,0.8726654166864778
A4_L,0.8280619020759494
STSva_L,0.8830145843643339
TE1m_L,0.8471318425651414
PI_L,0.8522397947003814
a32pr_L,0.8136660764149665
p24_L,0.8158072735734935
V1_R,0.8963225603356876
MST_R,0.8526334836417584
V6_R,0.8379841596979499
V2_R,0.8874110552468828
V3_R,0.8576368612222935
V4_R,0.8819036013625208
V8_R,0.8867077997483939
4_R,0.803990949041367
3b_R,0.8262797504746491
FEF_R,0.8090138707311106
PEF_R,0.8846998533218862
55b_R,0.8481674285493264
V3A_R,0.8852637262360019
RSC_R,0.8131319044738281
POS2_R,0.8153396796016393
V7_R,0.8888191930094336
IPS1_R,0.8780517589175035
FFC_R,0.8914113079172916
V3B_R,0.8418172337694503
LO1_R,0.8666968236385422
LO2_R,0.8591266204090676
PIT_R,0.8726208268421589
MT_R,0.8209737085129805
A1_R,0.8327370451627593
PSL_R,0.8748899064555916
SFL_R,0.7458594963625449
PCV_R,0.7578033801543017
STV_R,0.8440016977557482
7Pm_R,0.8092320845336547
7m_R,0.825995015963797
POS1_R,0.8790030053840853
23d_R,0.8158778638644726
v23ab_R,0.8189185514420145
d23ab_R,0.8279718861539642
31pv_R,0.8070308732766164
5m_R,0.8100626506085874
5mv_R,0.7492378337201977
23c_R,0.8132710593770642
5L_R,0.8080015790834622
24dd_R,0.7623827115624198
24dv_R,0.7641573548365488
7AL_R,0.8526566238990084
SCEF_R,0.7553103089295743
6ma_R,0.801784139325716
7Am_R,0.8354850797330291
7Pl_R,0.8611905428927165
7PC_R,0.8287190551722019
LIPv_R,0.8424726302280368
VIP_R,0.8745327628859868
MIP_R,0.8650438638457181
1_R,0.8603602277255405
2_R,0.8450663902035257
3a_R,0.8172783799845392
6d_R,0.8443524085083923
6mp_R,0.8029556507163251
6v_R,0.8719039104130888
p24pr_R,0.8545897079649328
33pr_R,0.9040938777959298
a24pr_R,0.8338128623969485
p32pr_R,0.8144491230992863
a24_R,0.8929318810374417
d32_R,0.8020224712279426
8BM_R,0.8107880344930884
p32_R,0.8644011672874274
10r_R,0.8809604647251196
47m_R,0.8487687408596795
8Av_R,0.8451358652027127
8Ad_R,0.7985625280059612
9m_R,0.821497742740872
8BL_R,0.8442769876857913
9p_R,0.8985897767875712
10d_R,0.8282791480923773
8C_R,0.8414977608390254
44_R,0.8288712357268728
45_R,0.8505930862642537
47l_R,0.8925578345740168
a47r_R,0.8662781402230216
6r_R,0.8163369456656527
IFJa_R,0.88742929481006
IFJp_R,0.8771395651019985
IFSp_R,0.8885878232835972
IFSa_R,0.8321168889696617
p9-46v_R,0.8764726948599352
46_R,0.8400093674348095
a9-46v_R,0.8832239022541605
9-46d_R,0.8603703473402343
9a_R,0.8109767879766583
10v_R,0.9420355994328412
a10p_R,0.8702203864646608
10pp_R,0.8930905293810342
11l_R,0.9049308031946184
13l_R,0.8777844083776841
OFC_R,0.9004111162177405
47s_R,0.8632026035438329
LIPd_R,0.8956580999440632
6a_R,0.8165496646688909
i6-8_R,0.828000241675429
s6-8_R,0.7920999517113748
43_R,0.8558672709544805
OP4_R,0.8542164874228861
OP1_R,0.8113898792398648
OP2-3_R,0.8652522630917692
52_R,0.850947149730813
RI_R,0.8228781214982341
PFcm_R,0.7617467060738643
PoI2_R,0.9155415628746404
TA2_R,0.8510612175941547
FOP4_R,0.8876077408868123
MI_R,0.869856497325767
Pir_R,0.8806810900840838
AVI_R,0.8830636843494617
AAIC_R,0.8135454916129068
FOP1_R,0.8696579138019637
FOP3_R,0.8505075134827998
FOP2_R,0.8801846083902318
PFt_R,0.8194499270350748
AIP_R,0.8495419037621782
EC_R,0.8759108482482529
PreS_R,0.8827126361764721
H_R,0.8575938180424546
ProS_R,0.8942138855104034
PeEc_R,0.8623847671369343
STGa_R,0.8945038581798014
PBelt_R,0.8187013699612374
A5_R,0.8725468697358971
PHA1_R,0.8896936519755277
PHA3_R,0.8978623992786862
STSda_R,0.8903936250342073
STSdp_R,0.872560073217316
STSvp_R,0.8409508516776577
TGd_R,0.8958647100913084
TE1a_R,0.8646572079751188
TE1p_R,0.881123077502271
TE2a_R,0.8490272013004355
TF_R,0.846066557273568
TE2p_R,0.8550595244767046
PHT_R,0.8306733085759933
PH_R,0.8551105416033213
TPOJ1_R,0.8353413230823659
TPOJ2_R,0.8522635349438329
TPOJ3_R,0.782206304672205
DVT_R,0.832073723259964
PGp_R,0.8338715608573639
IP2_R,0.8622895508040425
IP1_R,0.8347477122828816
IP0_R,0.8789440379265794
PFop_R,0.8460436137789346
PF_R,0.7914263476724102
PFm_R,0.779856682185614
PGi_R,0.807358308208949
PGs_R,0.8082365000781292
V6A_R,0.7938400087787421
VMV1_R,0.917888643035311
VMV3_R,0.8755556396761098
PHA2_R,0.8790429661500851
V4t_R,0.894208569482676
FST_R,0.8562795843252984
V3CD_R,0.8557212164199685
LO3_R,0.8743541914090752
VMV2_R,0.8939596107658404
31pd_R,0.7977429568047377
31a_R,0.759023026647055
VVC_R,0.8787271472438911
25_R,0.8262341330438963
s32_R,0.8777177699706957
pOFC_R,0.9217296089267611
PoI1_R,0.8976581432761416
Ig_R,0.8333780125041577
FOP5_R,0.8464848251667184
p10p_R,0.8649140433567399
p47r_R,0.8982595961894222
TGv_R,0.8606959026373437
MBelt_R,0.835886406502963
LBelt_R,0.8433967811136868
A4_R,0.8711399491065742
STSva_R,0.8869998152747592
TE1m_R,0.9028677604599068
PI_R,0.862638180985176
a32pr_R,0.8156572916294117
p24_R,0.8343098951831834
