region,md_icc
V1_L,0.9164540920973951
MST_L,0.9044934961641776
V6_L,0.9041394700138876
V2_L,0.9133247804222692
V3_L,0.9127653790653024
V4_L,0.9299892153639676
V8_L,0.864542956579958
4_L,0.8536671029700769
3b_L,0.8284653621516108
FEF_L,0.8736893810508074
PEF_L,0.9045561080251308
55b_L,0.8398708362142076
V3A_L,0.8987780777879556
RSC_L,0.8905097744458775
POS2_L,0.8624642317299788
V7_L,0.9361800873742931
IPS1_L,0.9240477745023152
FFC_L,0.866750709206374
V3B_L,0.9118851425253452
LO1_L,0.8877095983776184
LO2_L,0.9059260995390572
PIT_L,0.8946311226930794
MT_L,0.9152988599521892
A1_L,0.8739674768641145
PSL_L,0.8996484182589652
SFL_L,0.9099511367888092
PCV_L,0.783668651782166
STV_L,0.901975191206408
7Pm_L,0.892428654658777
7m_L,0.808732775639013
POS1_L,0.8766570708496328
23d_L,0.8658859199062912
v23ab_L,0.893299004134437
d23ab_L,0.8400174078899628
31pv_L,0.9131132455610208
5m_L,0.822499667564192
5mv_L,0.7645440865197082
23c_L,0.890463978273448
5L_L,0.8260565142332275
24dd_L,0.7996399850569352
24dv_L,0.8611528361271311
7AL_L,0.8988736668980879
SCEF_L,0.8411458920503708
6ma_L,0.8802427065542648
7Am_L,0.860866692379654
7Pl_L,0.9339435785930704
7PC_L,0.8303071818812875
LIPv_L,0.8320427945125498
VIP_L,0.885547886414973
MIP_L,0.8694796477129731
1_L,0.8604442418376718
2_L,0.8910650157337866
3a_L,0.8852574000690725
6d_L,0.853697640427593
6mp_L,0.846079429431719
6v_L,0.8673265377658274
p24pr_L,0.907110299937878
33pr_L,0.8798380262300534
a24pr_L,0.9092238938944676
p32pr_L,0.8718300285094052
a24_L,0.8495428514841822
d32_L,0.8545877422284484
8BM_L,0.8791484386359768
p32_L,0.7913099590294282
10r_L,0.8694891611460084
47m_L,0.8681899182583039
8Av_L,0.8781303475077428
8Ad_L,0.8436761145857102
9m_L,0.8621997210963702
8BL_L,0.8901151620750904
9p_L,0.8721194161520816
10d_L,0.9305944503231304
8C_L,0.7961114041898675
44_L,0.8440570035195725
45_L,0.8798403157049006
47l_L,0.8781141942782369
a47r_L,0.8648641371587514
6r_L,0.8878802459460812
IFJa_L,0.8245880608941176
IFJp_L,0.8268052047892499
IFSp_L,0.8876707614747548
IFSa_L,0.869324086888477
p9-46v_L,0.8424726376451097
46_L,0.8580697064193415
a9-46v_L,0.8927635860775395
9-46d_L,0.8611764328401503
9a_L,0.8853104378817874
10v_L,0.8699560233050079
a10p_L,0.867272708989869
10pp_L,0.8904069675048751
11l_L,0.8778675166964655
13l_L,0.9236653520847758
OFC_L,0.852138012853469
47s_L,0.855394150706965
LIPd_L,0.8809721285187423
6a_L,0.8224509087753887
i6-8_L,0.84243902322264
s6-8_L,0.9083886074270884
43_L,0.8927319944549229
OP4_L,0.884675883123945
OP1_L,0.8233581453893605
OP2-3_L,0.7939425167704867
52_L,0.85879801455338
RI_L,0.8091500273339158
PFcm_L,0.7949992675184312
PoI2_L,0.9024989316220338
TA2_L,0.8989353114795189
FOP4_L,0.8117416223918007
MI_L,0.8413321554267787
Pir_L,0.7785781154755357
AVI_L,0.8721963273347616
AAIC_L,0.8213516295117909
FOP1_L,0.8634535324573808
FOP3_L,0.8742907150509855
FOP2_L,0.8326045439994489
PFt_L,0.8075816742762364
AIP_L,0.8010255510923457
EC_L,0.8597450897034872
PreS_L,0.8557913000492013
H_L,0.890974567674483
ProS_L,0.9268635240171126
PeEc_L,0.8785223497018992
STGa_L,0.7369431205367781
PBelt_L,0.8838511667822779
A5_L,0.8359081337065636
PHA1_L,0.8168558447059239
PHA3_L,0.8385409354625536
STSda_L,0.8158464148442739
STSdp_L,0.8783718273215624
STSvp_L,0.8674663657560633
TGd_L,0.8775084686339794
TE1a_L,0.8447733233926736
TE1p_L,0.860487464403141
TE2a_L,0.8477241198153055
TF_L,0.8689375336215844
TE2p_L,0.8608559519059753
PHT_L,0.8545776533251597
PH_L,0.880639237867988
TPOJ1_L,0.842120470698166
TPOJ2_L,0.8795475551259467
TPOJ3_L,0.871133473123166
DVT_L,0.8394211158647515
PGp_L,0.868236727292128
IP2_L,0.8207586864973099
IP1_L,0.8836823919920159
IP0_L,0.9107693965941296
PFop_L,0.8480317839519772
PF_L,0.8146188577387391
PFm_L,0.7634076644278626
PGi_L,0.8784774276272166
PGs_L,0.7837612524425024
