region,rtop_icc
V1_L,0.928791860181494
MST_L,0.9370949034346384
V6_L,0.9421847462500784
V2_L,0.9222239463421514
V3_L,0.930813232759385
V4_L,0.938173146591514
V8_L,0.8823264587948171
4_L,0.8836314227903169
3b_L,0.8509257902846734
FEF_L,0.934034891604164
PEF_L,0.869555738287235
55b_L,0.89833692396641
V3A_L,0.920058722958544
RSC_L,0.8374155994645219
POS2_L,0.8437635095002248
V7_L,0.9572737008545265
IPS1_L,0.9350896679100286
FFC_L,0.8824643579928019
V3B_L,0.948304214453792
LO1_L,0.9271813730507592
LO2_L,0.9186770768475424
PIT_L,0.9198764974881558
MT_L,0.95079971827081
A1_L,0.8736693903202524
PSL_L,0.9070758226989816
SFL_L,0.9291241479275564
PCV_L,0.853500070426817
STV_L,0.9188561083940138
7Pm_L,0.8877565458696005
7m_L,0.8660301976706376
POS1_L,0.8725623699119267
23d_L,0.8426190340850296
v23ab_L,0.8862649060906767
d23ab_L,0.882504976169679
31pv_L,0.8971781542995644
5m_L,0.8808487099062042
5mv_L,0.8347428346404795
23c_L,0.902684812271648
5L_L,0.8786328527720487
24dd_L,0.9118917840696324
24dv_L,0.8922393371733958
7AL_L,0.8883580566453199
SCEF_L,0.9216384091092102
6ma_L,0.8573946534936032
7Am_L,0.874454209192643
7Pl_L,0.9194564468246392
7PC_L,0.8600641445169926
LIPv_L,0.9045631874031018
VIP_L,0.8933497828230001
MIP_L,0.9043649904973714
1_L,0.8803155396350795
2_L,0.9382351441885316
3a_L,0.8961612187101654
6d_L,0.8476795577551612
6mp_L,0.8948562492215798
6v_L,0.8345087987294036
p24pr_L,0.8749123653325086
33pr_L,0.8546271503523377
a24pr_L,0.8464232579968685
p32pr_L,0.8735233485218984
a24_L,0.7912009285031344
d32_L,0.826794140731392
8BM_L,0.9075801581478024
p32_L,0.7380084819094356
10r_L,0.8112650850208218
47m_L,0.8837846886207545
8Av_L,0.9232727630680292
8Ad_L,0.8361075459619185
9m_L,0.840573745596059
8BL_L,0.8995441078488042
9p_L,0.7986716454022641
10d_L,0.8293591950036117
8C_L,0.8587235265836357
44_L,0.8658327381623485
45_L,0.9338896287806474
47l_L,0.9004120080421257
a47r_L,0.8606858181511016
6r_L,0.8740066505886873
IFJa_L,0.8254804788283518
IFJp_L,0.8084720607985821
IFSp_L,0.8871028139678077
IFSa_L,0.8306732739050133
p9-46v_L,0.820040152806089
46_L,0.7994333192184097
a9-46v_L,0.8457474064492797
9-46d_L,0.8034565062463447
9a_L,0.8301126505523824
10v_L,0.850839036910419
a10p_L,0.786538311326692
10pp_L,0.8292377775651697
11l_L,0.8258848399101122
13l_L,0.8794268933704247
OFC_L,0.8649329744174389
47s_L,0.8354871238023546
LIPd_L,0.9020086563362087
6a_L,0.8268792782432374
i6-8_L,0.8979685927993862
s6-8_L,0.8968576760616709
43_L,0.9277372420559536
OP4_L,0.8971787941957537
OP1_L,0.8247962555125592
OP2-3_L,0.7991873466136845
52_L,0.8342442881230642
RI_L,0.853655683330329
PFcm_L,0.8082976637435864
PoI2_L,0.8226955883384033
TA2_L,0.9108864903204462
FOP4_L,0.8316960476331055
MI_L,0.8293954959944324
Pir_L,0.7767133937324965
AVI_L,0.867724483626664
AAIC_L,0.8069638746983768
FOP1_L,0.8900132293958649
FOP3_L,0.8281368052165079
FOP2_L,0.8380096111208505
PFt_L,0.8616990861519437
AIP_L,0.8836940549028782
EC_L,0.842264552420119
PreS_L,0.920763891391234
H_L,0.8954792864645295
ProS_L,0.9111247179739624
PeEc_L,0.8957097226050343
STGa_L,0.7979633468979996
PBelt_L,0.8850865062118035
A5_L,0.8939576485593959
PHA1_L,0.8410062038557528
PHA3_L,0.857975586401828
STSda_L,0.8545349642253274
STSdp_L,0.9309422671491516
STSvp_L,0.897828388692491
TGd_L,0.8219466116197005
TE1a_L,0.8429936774918312
TE1p_L,0.9027472738252562
TE2a_L,0.901951367750484
TF_L,0.8778152971887105
TE2p_L,0.9147688192000226
PHT_L,0.903725035323894
PH_L,0.9102975187320692
TPOJ1_L,0.9311094609456898
TPOJ2_L,0.9267817992870736
TPOJ3_L,0.9124826302650672
DVT_L,0.9077990273733612
PGp_L,0.8834726485496353
IP2_L,0.8350116199831159
IP1_L,0.8755722861188905
IP0_L,0.9331535748268004
PFop_L,0.8298813706812714
PF_L,0.8671517639486622
PFm_L,0.8215349378053662
PGi_L,0.9122032645976388
PGs_L,0.8397173662291524
V6A_L,0.9004784865919779
VMV1_L,0.9079585865087422
VMV3_L,0.8683809580755446
PHA2_L,0.8666532505502478
V4t_L,0.8835951340412914
FST_L,0.9128223478053968
V3CD_L,0.9065780742938426
LO3_L,0.9426974689615616
VMV2_L,0.8607823489664955
31pd_L,0.862369948450963
31a_L,0.882882797094833
VVC_L,0.8577683207704363
25_L,0.9163595829650344
s32_L,0.8994545751497104
pOFC_L,0.919245673037017
PoI1_L,0.8703388468143217
Ig_L,0.8234185694374794
FOP5_L,0.8197465067923844
p10p_L,0.807955945588374
p47r_L,0.9006657079430634
TGv_L,0.8770102504905717
MBelt_L,0.8634684978382609
LBelt_L,0.8922922557079801
A4_L,0.8740521621384469
STSva_L,0.8042111840654781
TE1m_L,0.929162143120208
PI_L,0.8406410178504766
a32pr_L,0.8352883002702851
p24_L,0.8519362126138844
V1_R,0.9137880491087632
MST_R,0.8818697163797374
V6_R,0.924507765984032
V2_R,0.9093010154418152
V3_R,0.9182428943543322
V4_R,0.910266517196204
V8_R,0.9133977573479348
4_R,0.904068476164636
3b_R,0.8441863102250343
FEF_R,0.9037722148552956
PEF_R,0.9351395571442818
55b_R,0.9197955277509344
V3A_R,0.9236063323216768
RSC_R,0.9141870490771123
POS2_R,0.9086002359592008
V7_R,0.9246183122883564
IPS1_R,0.9255964820366552
FFC_R,0.8941302572879654
V3B_R,0.9360195080089818
LO1_R,0.9105711337108848
LO2_R,0.928215156859528
PIT_R,0.9010383537430908
MT_R,0.9073316348051272
A1_R,0.8588229908072117
PSL_R,0.9334532012726818
SFL_R,0.8630373496667032
PCV_R,0.8632466650648568
STV_R,0.9249549390711004
7Pm_R,0.9517668627603986
7m_R,0.8829851492398264
POS1_R,0.8906237515035528
23d_R,0.8578993063745406
v23ab_R,0.8996914156033088
d23ab_R,0.907673238417126
31pv_R,0.8700236399215586
5m_R,0.9154423321154136
5mv_R,0.8806672717107914
23c_R,0.8448543674299742
5L_R,0.928142126863686
24dd_R,0.8863797312892602
24dv_R,0.8624170756969692
7AL_R,0.9437264749058616
SCEF_R,0.8699799907204117
6ma_R,0.9045299480750618
7Am_R,0.88416981277858
7Pl_R,0.9648837424071748
7PC_R,0.9474215801861612
LIPv_R,0.9506619465355708
VIP_R,0.9522073231234052
MIP_R,0.9349420431763984
1_R,0.938650765140333
2_R,0.946908734990088
3a_R,0.8769512904297968
6d_R,0.932912787739316
6mp_R,0.8857355262287496
6v_R,0.8921690062154304
p24pr_R,0.8740684836686424
33pr_R,0.8958476669691731
a24pr_R,0.8505346524798966
p32pr_R,0.8968848005737946
a24_R,0.8719156542915663
d32_R,0.8301017606046841
8BM_R,0.85030365964099
p32_R,0.8361453439140072
10r_R,0.849605471337151
47m_R,0.9006843481683203
8Av_R,0.9149438545738
8Ad_R,0.9108197497963536
9m_R,0.8361959351823993
8BL_R,0.8641963689190243
9p_R,0.930868292831295
10d_R,0.8017562713327553
8C_R,0.918763629042827
44_R,0.8651286939486136
45_R,0.8970202324873654
47l_R,0.8840839908210719
a47r_R,0.8970570699084762
6r_R,0.8703233422235814
IFJa_R,0.9154061270116116
IFJp_R,0.9367325817760618
IFSp_R,0.9017904086413644
IFSa_R,0.8569727415013483
p9-46v_R,0.873331269325187
46_R,0.8955887061260728
a9-46v_R,0.8867120301096455
9-46d_R,0.8480739578082558
9a_R,0.8120286748414218
10v_R,0.8454572668108894
a10p_R,0.7954583571317457
10pp_R,0.8908552128199251
11l_R,0.8330995469863185
13l_R,0.790095188963191
OFC_R,0.8610668478908856
47s_R,0.8518994779004274
LIPd_R,0.939794560828037
6a_R,0.9314045504279976
i6-8_R,0.8909888624937234
s6-8_R,0.9011512449367344
43_R,0.9091653805402572
OP4_R,0.8734121954760126
OP1_R,0.8863592240749129
OP2-3_R,0.8981552044104523
52_R,0.9041168496837976
RI_R,0.8972650410461905
PFcm_R,0.898183041014077
PoI2_R,0.8743370696261633
TA2_R,0.8542813874302487
FOP4_R,0.8754002935755787
MI_R,0.8499946015276432
Pir_R,0.8197604483030304
AVI_R,0.8884171673063587
AAIC_R,0.8727987253942
FOP1_R,0.854965025154739
FOP3_R,0.8568698632050918
FOP2_R,0.8260611428009977
PFt_R,0.9596639574940596
AIP_R,0.9504654007127408
EC_R,0.8435653674971861
PreS_R,0.9248743044274792
H_R,0.943246171613898
ProS_R,0.8856674157015957
PeEc_R,0.867306671855564
STGa_R,0.8562827859016884
PBelt_R,0.883242247419064
A5_R,0.9205579046013886
PHA1_R,0.906304749737259
PHA3_R,0.927243626580366
STSda_R,0.8932398443652126
STSdp_R,0.9090987406234972
STSvp_R,0.8867181161559
TGd_R,0.7770761086088692
TE1a_R,0.8356284664726991
TE1p_R,0.8837302468638373
TE2a_R,0.8407343134440289
TF_R,0.9048279547804748
TE2p_R,0.8949648350562214
PHT_R,0.8753409996497324
PH_R,0.8578469879720936
TPOJ1_R,0.8802175672282615
TPOJ2_R,0.894221441315638
TPOJ3_R,0.9156500584808536
DVT_R,0.9354441800361242
PGp_R,0.9285406647184808
IP2_R,0.9351076647029102
IP1_R,0.9106574265014558
IP0_R,0.8825251596869036
PFop_R,0.905779682070238
PF_R,0.885763086723259
PFm_R,0.8987650774612368
PGi_R,0.9113846906509524
PGs_R,0.9073541459209898
V6A_R,0.922663541291221
VMV1_R,0.8757415192687782
VMV3_R,0.8941001832554734
PHA2_R,0.9104314233177202
V4t_R,0.8766807763778877
FST_R,0.9064042906252016
V3CD_R,0.93033770129858
LO3_R,0.9160561632130206
VMV2_R,0.9261750890046728
31pd_R,0.8839306408351009
31a_R,0.8993751853304275
VVC_R,0.9091665135625088
25_R,0.8971530381950003
s32_R,0.9159714035028288
