region,icvf_icc
V1_L,0.9306367711977162
MST_L,0.9466309166100249
V6_L,0.9076339815476862
V2_L,0.9281085434371056
V3_L,0.9208896630730125
V4_L,0.9344681323370316
V8_L,0.91780131164046
4_L,0.9085982604203908
3b_L,0.8326093630096788
FEF_L,0.931957813681692
PEF_L,0.9342770966216756
55b_L,0.9424693875841628
V3A_L,0.9331253594303258
RSC_L,0.905174079430025
POS2_L,0.9209607877769171
V7_L,0.9449330831620948
IPS1_L,0.929585045473208
FFC_L,0.9254670707775192
V3B_L,0.9130697332911926
LO1_L,0.9046879207640908
LO2_L,0.9506354373819068
PIT_L,0.9406773814975818
MT_L,0.931673960230078
A1_L,0.9277835097715074
PSL_L,0.930711090972042
SFL_L,0.8939865098551834
PCV_L,0.8819956267352776
STV_L,0.9336048714474028
7Pm_L,0.886879729395777
7m_L,0.8739791562682885
POS1_L,0.9026439621944756
23d_L,0.9101286213701604
v23ab_L,0.92836046091293
d23ab_L,0.9287819190684604
31pv_L,0.8972907800896212
5m_L,0.8855457087415534
5mv_L,0.8348163554103578
23c_L,0.9033530667137676
5L_L,0.867391482474075
24dd_L,0.8935911528260571
24dv_L,0.9236025565005088
7AL_L,0.9211092795312268
SCEF_L,0.8740128938384698
6ma_L,0.8875419084346245
7Am_L,0.90855115020003
7Pl_L,0.9398863787986848
7PC_L,0.9422624393649868
LIPv_L,0.9288984165480764
VIP_L,0.9218692412132646
MIP_L,0.9297343617267854
1_L,0.8901039817276449
2_L,0.9355170536781838
3a_L,0.912441356158533
6d_L,0.9149741238287938
6mp_L,0.921280099232985
6v_L,0.9021301433277136
p24pr_L,0.947069161320056
33pr_L,0.8737794607396684
a24pr_L,0.9054504575009656
p32pr_L,0.8810836706593423
a24_L,0.8044390378004417
d32_L,0.8246833820862645
8BM_L,0.8626163997339376
p32_L,0.776533153371597
10r_L,0.8555259090847454
47m_L,0.8869007889302712
8Av_L,0.9232675826753256
8Ad_L,0.926498932257256
9m_L,0.8220114387323706
8BL_L,0.915327222273862
9p_L,0.9111793814739064
10d_L,0.8002559837127704
8C_L,0.9220762758341768
44_L,0.8849611334500233
45_L,0.9098080211261635
47l_L,0.8923583868821626
a47r_L,0.8863847189920994
6r_L,0.8893302159935719
