region,rk_icc
V1_L,0.9353555666784714
MST_L,0.916337771181699
V6_L,0.945581679128086
V2_L,0.909389234740855
V3_L,0.9131300357636477
V4_L,0.9088992860733224
V8_L,0.9284787654808723
4_L,0.8330630793985501
3b_L,0.8143020020478537
FEF_L,0.8560300670209584
PEF_L,0.9032612333164345
55b_L,0.8720747959358982
V3A_L,0.930665257598751
RSC_L,0.9042725732985999
POS2_L,0.9393362298474953
V7_L,0.9304434631565064
IPS1_L,0.9322127749878178
FFC_L,0.9260542407149418
V3B_L,0.931077554909439
LO1_L,0.9067158246157824
LO2_L,0.9295662349582873
PIT_L,0.931077982246642
MT_L,0.9449507594944245
A1_L,0.8837475599140204
PSL_L,0.916784889999309
SFL_L,0.7757424256985802
PCV_L,0.895432972058485
STV_L,0.9257423213579558
7Pm_L,0.9275070272159284
7m_L,0.9209653347531476
POS1_L,0.9240659335575676
23d_L,0.9021194272840325
v23ab_L,0.9520116474617951
d23ab_L,0.9038631764768574
31pv_L,0.9229975824026623
5m_L,0.8100646980769505
5mv_L,0.8485438891594924
23c_L,0.915729631663843
5L_L,0.8469765647073026
24dd_L,0.8669891323716151
24dv_L,0.8756673285316743
7AL_L,0.9044710482529028
SCEF_L,0.7712574023290902
6ma_L,0.8189734780343337
7Am_L,0.9155056430650615
7Pl_L,0.9571990781488513
7PC_L,0.9419515226734057
LIPv_L,0.9164962123724197
VIP_L,0.9304661042863634
MIP_L,0.9313770137396434
1_L,0.8769840290854596
2_L,0.9181629863569998
3a_L,0.8867409619613451
6d_L,0.7426057941727123
6mp_L,0.8208014234833371
6v_L,0.8780346852709202
p24pr_L,0.9008617321679356
33pr_L,0.8523671977376477
a24pr_L,0.8241780666968082
p32pr_L,0.8490397067202535
a24_L,0.7512324032885174
d32_L,0.6758917817101363
8BM_L,0.7626499521232667
p32_L,0.7579505171583333
10r_L,0.8224100161861053
47m_L,0.8840827621322178
8Av_L,0.8513668212064828
8Ad_L,0.8526229108442931
9m_L,0.7494662287324785
8BL_L,0.8185165439795871
9p_L,0.8548622767458955
10d_L,0.7415396252500052
8C_L,0.8879800600574351
44_L,0.898702161116367
45_L,0.9115180345773577
47l_L,0.9001452317154832
a47r_L,0.900219201902794
6r_L,0.852685153754116
IFJa_L,0.8970794058809198
IFJp_L,0.8904425414162369
IFSp_L,0.8863420534671009
IFSa_L,0.8637059783661123
p9-46v_L,0.8950135896732835
46_L,0.830479101889397
a9-46v_L,0.8237562621008421
9-46d_L,0.8207131617279803
9a_L,0.837814907217152
10v_L,0.8779814373722635
a10p_L,0.7713526028244659
10pp_L,0.8554316734949036
11l_L,0.8978163104201186
13l_L,0.8942922960153555
OFC_L,0.6453372011260633
47s_L,0.891317907486801
LIPd_L,0.9160412623704793
6a_L,0.8424264450579301
i6-8_L,0.898908072072222
s6-8_L,0.8564973961566048
43_L,0.9371592964405127
OP4_L,0.9134146982185614
OP1_L,0.8513162485644138
OP2-3_L,0.9209762460262455
52_L,0.9369621723009156
RI_L,0.908241162726969
PFcm_L,0.8946935724276285
PoI2_L,0.8806637107876203
TA2_L,0.909912837528311
FOP4_L,0.8024161180410282
MI_L,0.8539015817647242
Pir_L,0.8700503357043794
AVI_L,0.8480086830022437
AAIC_L,0.8969816492864265
FOP1_L,0.8684376131805626
FOP3_L,0.8462837596586156
FOP2_L,0.8360552282537838
PFt_L,0.911821325629139
AIP_L,0.9309806743408495
EC_L,0.8784695166945939
PreS_L,0.8747228790944263
H_L,0.9381588620678232
ProS_L,0.8933289566546718
PeEc_L,0.9281075365311693
STGa_L,0.9056018009561563
PBelt_L,0.8985278831897923
A5_L,0.9360032535390491
PHA1_L,0.9311523837908581
PHA3_L,0.9486299452809028
STSda_L,0.9289435655721784
STSdp_L,0.9592759540792682
STSvp_L,0.9364935020431665
TGd_L,0.885541969555324
TE1a_L,0.9331355801919203
TE1p_L,0.9251712731442979
TE2a_L,0.9355148706942145
TF_L,0.9476076977482906
TE2p_L,0.9450210296323132
PHT_L,0.9311193680747419
PH_L,0.9132395944543428
TPOJ1_L,0.9452002403524103
TPOJ2_L,0.9482513335362492
TPOJ3_L,0.9453195950419713
DVT_L,0.9383817971051813
PGp_L,0.9089550835274406
IP2_L,0.9227109124310713
IP1_L,0.9404167834769519
IP0_L,0.8976186310772447
PFop_L,0.8970726439836713
PF_L,0.9209626502872963
PFm_L,0.9183424305142472
PGi_L,0.9249915043759254
PGs_L,0.9190990446611578
V6A_L,0.9273833257178112
VMV1_L,0.9261641194036198
VMV3_L,0.8623553806653279
PHA2_L,0.9209358683737681
V4t_L,0.9143886302107731
FST_L,0.9458764453164892
V3CD_L,0.9276959557027932
LO3_L,0.9099250267525963
VMV2_L,0.9048075904922691
31pd_L,0.9177719339646193
31a_L,0.9056335145590217
VVC_L,0.8969830628480079
25_L,0.9455876522681567
s32_L,0.9091417235073966
pOFC_L,0.9568018200809949
PoI1_L,0.9261382644996881
Ig_L,0.9235606668908638
FOP5_L,0.7577915805302748
p10p_L,0.7982513818119765
p47r_L,0.8245205705593522
TGv_L,0.9238741634372521
MBelt_L,0.9241661302882683
LBelt_L,0.9573704266389548
A4_L,0.8954875282134421
STSva_L,0.9350384206334859
TE1m_L,0.955582465057965
PI_L,0.915159802363946
a32pr_L,0.7458716636350208
p24_L,0.6699021137924885
V1_R,0.9058684005079694
MST_R,0.8587109525121646
V6_R,0.8942099322068979
V2_R,0.9200109640159663
V3_R,0.9054842119249213
V4_R,0.8897600727433839
V8_R,0.85132529729425
4_R,0.8445008726598149
