region,ad_icc
V1_L,0.9222361376413485
MST_L,0.9063818940851202
V6_L,0.8983994806959595
V2_L,0.8854774666203264
V3_L,0.8859585061901172
V4_L,0.9201680703588077
V8_L,0.8386720338795522
4_L,0.8077799780839179
3b_L,0.8218271494343373
FEF_L,0.8699097615892342
PEF_L,0.8841902156284334
55b_L,0.8483986672173228
V3A_L,0.892609284778879
RSC_L,0.8258941452470135
POS2_L,0.8849864957391627
V7_L,0.8985757190778884
IPS1_L,0.9113574278999855
FFC_L,0.8246015426911051
V3B_L,0.9143578201312883
LO1_L,0.8744927406102454
LO2_L,0.8802505146990632
PIT_L,0.8896093069091459
MT_L,0.9069014682064139
A1_L,0.8396395969115515
PSL_L,0.8804218638675617
SFL_L,0.8636223236237405
PCV_L,0.7533383762317444
STV_L,0.8776414800543557
7Pm_L,0.8929068455200542
7m_L,0.7599098298512779
POS1_L,0.8569300508418755
23d_L,0.8605302911517183
v23ab_L,0.8781706208873876
d23ab_L,0.8175313167895725
31pv_L,0.8965382490732218
5m_L,0.7986577469602694
5mv_L,0.744851507744279
23c_L,0.8801465048709671
5L_L,0.8262880337064054
24dd_L,0.7734778962350537
24dv_L,0.8312783053006517
7AL_L,0.9076479529772552
SCEF_L,0.8021908539864028
6ma_L,0.8717309852482698
7Am_L,0.8466417203108043
7Pl_L,0.927387333161154
7PC_L,0.8345446478775904
LIPv_L,0.8315727164511111
VIP_L,0.8726773277896527
MIP_L,0.8357626579750171
1_L,0.8498147411690594
2_L,0.8528519668266029
3a_L,0.8765581547667299
6d_L,0.8197627946989444
6mp_L,0.8423013991806824
6v_L,0.8771472455372139
p24pr_L,0.889191356396308
33pr_L,0.8072737194498104
a24pr_L,0.8988465222764809
p32pr_L,0.8517246585397329
a24_L,0.8431312456605476
d32_L,0.8201885796660758
8BM_L,0.8219914902817231
p32_L,0.7993566643717382
10r_L,0.877596399464045
47m_L,0.8625156849000079
8Av_L,0.8657002450163865
8Ad_L,0.8405452621158
9m_L,0.8366148134852709
8BL_L,0.8713695174650244
9p_L,0.8691919096208454
10d_L,0.9043655733146161
8C_L,0.7931598168765356
44_L,0.8523300133888849
45_L,0.8461394264790068
47l_L,0.8626980759445023
a47r_L,0.8351629463692273
6r_L,0.8665666703810813
IFJa_L,0.8300726142901678
IFJp_L,0.7935721727264112
IFSp_L,0.8795208146326117
IFSa_L,0.857634218048874
p9-46v_L,0.8110119500935263
46_L,0.8378344454615522
a9-46v_L,0.8907083802404555
9-46d_L,0.8506301337495208
9a_L,0.8628885027394334
10v_L,0.8510807646948537
a10p_L,0.8617222033096043
10pp_L,0.8754868109437834
11l_L,0.8343894126076551
13l_L,0.9184664508390178
OFC_L,0.8170919736595483
47s_L,0.827506612976466
LIPd_L,0.8620120547978054
6a_L,0.85563301108933
i6-8_L,0.8276645869194206
s6-8_L,0.8789081116593226
43_L,0.8737469558461127
OP4_L,0.8564020997706411
OP1_L,0.8407733442647684
OP2-3_L,0.7847964862240883
52_L,0.8617333628632063
RI_L,0.8302707720866204
PFcm_L,0.7915402968549309
PoI2_L,0.8707350624928261
TA2_L,0.8535075020686508
FOP4_L,0.7934443416285613
MI_L,0.8674706288025709
Pir_L,0.7903761643743161
AVI_L,0.8793178901674765
AAIC_L,0.7847304919402802
FOP1_L,0.8464052203456578
FOP3_L,0.8571302384728309
FOP2_L,0.8167641172170962
PFt_L,0.8309240532756471
AIP_L,0.7923919946514006
EC_L,0.8601209798543724
PreS_L,0.8390691913234937
H_L,0.8907779026414506
ProS_L,0.8919805286314164
PeEc_L,0.8573956322234546
STGa_L,0.7348509043348788
PBelt_L,0.8728834932000438
A5_L,0.8217904690725226
PHA1_L,0.8312548419602283
PHA3_L,0.8202201050269099
STSda_L,0.8205963306654526
STSdp_L,0.8563207901048558
STSvp_L,0.859710139582534
TGd_L,0.8497348689267251
TE1a_L,0.8363059681807604
TE1p_L,0.8396615823908111
TE2a_L,0.821218534876243
TF_L,0.8496817048482458
TE2p_L,0.8175872694147758
PHT_L,0.8271963321114807
PH_L,0.8460060458069034
TPOJ1_L,0.8191395623945888
TPOJ2_L,0.8714835844253747
TPOJ3_L,0.8696653687592862
DVT_L,0.8080228928365745
PGp_L,0.8767893252884343
IP2_L,0.7727011791898184
IP1_L,0.8542933156167243
IP0_L,0.8819002946739374
PFop_L,0.8592975676255202
PF_L,0.8197249223260041
PFm_L,0.7311772238759351
PGi_L,0.8593010816934447
PGs_L,0.7859621526481076
V6A_L,0.8768595179734662
VMV1_L,0.8198889849828466
VMV3_L,0.8553873312106809
PHA2_L,0.8586701823966809
V4t_L,0.8877857638961815
FST_L,0.8708549999769819
V3CD_L,0.9159422963287418
LO3_L,0.88397647927569
VMV2_L,0.8273077386721491
31pd_L,0.8148181738339808
31a_L,0.8118591662471273
VVC_L,0.7826427338237143
25_L,0.8490378599101708
s32_L,0.879722388799142
pOFC_L,0.8651080613690283
PoI1_L,0.8890349177482109
Ig_L,0.8727663066363462
FOP5_L,0.8056845666372467
p10p_L,0.8589115959421241
p47r_L,0.8785566842741784
TGv_L,0.8851913444738746
MBelt_L,0.8460001672459141
