region,ad_icc
10v_R,0.8768118557791214
a10p_R,0.8486543161418615
10pp_R,0.9044509173292379
11l_R,0.8090220412109186
13l_R,0.7714189596993504
OFC_R,0.7740951731369646
47s_R,0.8483417733160856
LIPd_R,0.9111449384759217
6a_R,0.8574166167198733
i6-8_R,0.8704926801919418
s6-8_R,0.8416009414872259
43_R,0.8911609782535326
OP4_R,0.8398371942315287
OP1_R,0.826872101742423
OP2-3_R,0.8761974127851923
52_R,0.832003837189166
RI_R,0.8112206874870591
PFcm_R,0.7888767396521839
PoI2_R,0.8616256199251539
TA2_R,0.8503593515322909
FOP4_R,0.8918885002037865
MI_R,0.8249928670328289
Pir_R,0.8378781518570839
AVI_R,0.8040182940046644
AAIC_R,0.8521317498180877
FOP1_R,0.9193138041351167
FOP3_R,0.8600069645696192
FOP2_R,0.8373472569070083
PFt_R,0.8947257194691586
AIP_R,0.9227409895524955
EC_R,0.8659210349000546
PreS_R,0.8758440366832208
H_R,0.871549226261285
ProS_R,0.9039736617334403
PeEc_R,0.8447862337386217
STGa_R,0.8506713732764133
PBelt_R,0.8729754100258682
A5_R,0.8910632579512914
PHA1_R,0.896860121776879
PHA3_R,0.9214000878851022
STSda_R,0.8440453149676795
STSdp_R,0.8830219211276383
STSvp_R,0.861856491113215
TGd_R,0.7913658446766183
TE1a_R,0.9091006364741971
TE1p_R,0.910448333139973
TE2a_R,0.9073163823634228
TF_R,0.8349805420848925
TE2p_R,0.8495811414381715
PHT_R,0.8801494857847912
PH_R,0.9070145934258231
TPOJ1_R,0.8310023178785394
TPOJ2_R,0.8828207746434354
TPOJ3_R,0.8648794924560874
DVT_R,0.8880159219901731
PGp_R,0.8963337480625629
IP2_R,0.930011276366404
IP1_R,0.9116145945851404
IP0_R,0.9187425059317632
PFop_R,0.8464878530633307
PF_R,0.7882035289478044
PFm_R,0.8223493040322296
PGi_R,0.8447895448798896
PGs_R,0.8636457019945175
V6A_R,0.8721424016238554
VMV1_R,0.9087978300189202
VMV3_R,0.9080272270512305
PHA2_R,0.8845755272937668
V4t_R,0.9219478389027881
FST_R,0.9050364047761498
V3CD_R,0.9294480796018717
LO3_R,0.8933967610679068
VMV2_R,0.922438625936466
31pd_R,0.8853097021721291
31a_R,0.8607784723468112
VVC_R,0.9186469944089659
25_R,0.8660902317459479
s32_R,0.877324722831857
pOFC_R,0.8269094774463995
PoI1_R,0.8619464529027583
Ig_R,0.8635220516296797
FOP5_R,0.8968190730683376
p10p_R,0.8629308026366345
p47r_R,0.746921472091049
TGv_R,0.8594549832286573
MBelt_R,0.8376987276669876
LBelt_R,0.8692186816645596
A4_R,0.8629180570163635
STSva_R,0.8997481321198411
TE1m_R,0.9284621027452745
PI_R,0.8513527065805637
a32pr_R,0.8868566536653429
p24_R,0.8865328035117358
